ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.66,0.66,0.33,0.08,0.46,0.0,1.0,0.01,0.99,0.01,0.99,0.0,0.99,0.0,1.0,0.76,0.2,0.0,1.0,0.45,0.2,0.0,1.0
0.72,0.62,0.5,0.13,0.27,0.16,0.56,0.1,0.09,0.13,0.33,0.91,0.09,0.38,0.56,0.92,0.08,0.89,0.08,0.51,0.08,0.8,0.08
0.81,0.8,0.62,0.46,0.23,0.68,0.29,0.12,0.38,0.4,0.33,0.6,0.38,0.24,0.29,0.91,0.07,0.94,0.05,0.66,0.07,0.77,0.05
0.8,0.77,0.61,0.82,0.05,0.83,0.13,0.75,0.03,0.79,0.08,0.97,0.03,0.62,0.13,0.84,0.15,0.68,0.28,0.32,0.15,0.28,0.28
0.78,0.73,0.59,0.85,0.04,0.74,0.19,0.81,0.01,0.78,0.1,0.99,0.01,0.57,0.19,0.89,0.1,0.63,0.33,0.36,0.1,0.27,0.33
0.81,0.77,0.62,0.66,0.11,1.0,0.0,0.6,0.04,0.8,0.02,0.96,0.04,0.99,0.0,0.92,0.07,0.73,0.23,0.53,0.07,0.38,0.23
0.8,0.77,0.6,0.4,0.23,0.58,0.35,0.12,0.24,0.35,0.29,0.75,0.24,0.32,0.35,0.95,0.04,0.91,0.07,0.74,0.04,0.75,0.07
0.8,0.8,0.6,0.43,0.25,0.65,0.33,0.09,0.51,0.37,0.42,0.47,0.51,0.15,0.33,0.86,0.12,0.99,0.01,0.53,0.12,0.94,0.01
0.79,0.8,0.6,0.47,0.25,0.72,0.27,0.09,0.62,0.4,0.45,0.34,0.62,0.1,0.27,0.83,0.14,1.0,0.0,0.52,0.14,0.99,0.0
0.76,0.79,0.55,0.48,0.26,0.77,0.23,0.09,0.84,0.43,0.54,0.08,0.84,0.01,0.23,0.79,0.17,0.96,0.04,0.51,0.17,0.65,0.04
0.8,0.81,0.62,0.5,0.23,0.78,0.21,0.11,0.55,0.45,0.38,0.41,0.55,0.17,0.21,0.86,0.12,0.95,0.04,0.57,0.12,0.73,0.04
0.81,0.82,0.63,0.56,0.19,0.83,0.16,0.19,0.41,0.51,0.28,0.55,0.41,0.32,0.16,0.95,0.04,0.9,0.09,0.83,0.04,0.56,0.09
0.81,0.78,0.63,0.75,0.08,0.88,0.09,0.83,0.02,0.85,0.06,0.98,0.02,0.72,0.09,0.9,0.09,0.69,0.27,0.45,0.09,0.3,0.27
0.79,0.81,0.6,0.52,0.23,0.79,0.2,0.13,0.62,0.46,0.41,0.32,0.62,0.11,0.2,0.87,0.11,0.98,0.02,0.64,0.11,0.85,0.02
0.81,0.78,0.62,0.78,0.07,0.86,0.11,0.99,0.0,0.93,0.06,1.0,0.0,0.67,0.11,0.86,0.13,0.69,0.28,0.39,0.13,0.29,0.28
0.83,0.82,0.65,0.62,0.15,0.92,0.07,0.3,0.21,0.61,0.14,0.77,0.21,0.71,0.07,0.98,0.02,0.81,0.17,0.91,0.02,0.4,0.17
0.82,0.82,0.65,0.63,0.14,0.93,0.06,0.33,0.19,0.63,0.12,0.79,0.19,0.75,0.06,0.97,0.03,0.8,0.18,0.87,0.03,0.39,0.18
0.77,0.8,0.58,0.52,0.23,0.79,0.2,0.14,0.69,0.47,0.44,0.23,0.69,0.07,0.2,0.87,0.11,1.0,0.0,0.67,0.11,0.96,0.0
0.8,0.81,0.61,0.49,0.23,0.77,0.22,0.11,0.59,0.44,0.4,0.36,0.59,0.13,0.22,0.85,0.13,0.97,0.02,0.56,0.13,0.83,0.02
0.81,0.82,0.63,0.54,0.2,0.82,0.17,0.16,0.47,0.49,0.32,0.49,0.47,0.26,0.17,0.91,0.07,0.91,0.08,0.72,0.07,0.59,0.08
0.79,0.8,0.59,0.56,0.2,0.82,0.17,0.2,0.54,0.51,0.36,0.38,0.54,0.16,0.17,0.95,0.04,0.95,0.04,0.86,0.04,0.71,0.04
0.76,0.79,0.56,0.61,0.18,0.84,0.15,0.26,0.54,0.55,0.35,0.33,0.54,0.13,0.15,0.98,0.01,0.97,0.03,0.96,0.01,0.78,0.03
0.82,0.82,0.64,0.57,0.18,0.84,0.14,0.22,0.35,0.53,0.24,0.61,0.35,0.39,0.14,0.97,0.02,0.89,0.1,0.9,0.02,0.53,0.1
0.78,0.78,0.57,0.38,0.28,0.58,0.4,0.06,0.6,0.32,0.5,0.37,0.6,0.08,0.4,0.82,0.15,0.95,0.04,0.46,0.15,0.79,0.04
0.78,0.8,0.58,0.5,0.24,0.78,0.22,0.11,0.71,0.45,0.46,0.22,0.71,0.07,0.22,0.83,0.13,0.99,0.01,0.59,0.13,0.95,0.01
0.78,0.8,0.59,0.55,0.21,0.81,0.19,0.17,0.6,0.49,0.4,0.31,0.6,0.12,0.19,0.91,0.07,0.97,0.02,0.78,0.07,0.82,0.02
0.79,0.81,0.6,0.52,0.22,0.79,0.2,0.14,0.6,0.47,0.4,0.34,0.6,0.12,0.2,0.88,0.1,0.97,0.02,0.67,0.1,0.82,0.02
