ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.67,0.19,0.95,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.57,0.27,0.0,1.0,0.58,0.27,0.0,1.0
0.72,0.77,0.51,0.69,0.15,0.88,0.12,0.38,0.5,0.63,0.31,0.29,0.5,0.12,0.12,0.87,0.09,0.97,0.03,0.79,0.09,0.74,0.03
0.78,0.73,0.58,0.56,0.13,0.82,0.12,0.53,0.04,0.68,0.08,0.96,0.04,0.75,0.12,0.92,0.07,0.75,0.2,0.49,0.07,0.5,0.2
0.72,0.62,0.5,0.12,0.28,0.14,0.57,0.09,0.09,0.12,0.33,0.91,0.09,0.36,0.57,0.92,0.07,0.9,0.07,0.53,0.07,0.82,0.07
0.78,0.73,0.58,0.38,0.21,0.54,0.34,0.17,0.14,0.36,0.24,0.85,0.14,0.43,0.34,0.99,0.01,0.86,0.11,0.96,0.01,0.69,0.11
0.8,0.76,0.61,0.63,0.12,0.94,0.04,0.56,0.04,0.75,0.04,0.96,0.04,0.9,0.04,0.93,0.06,0.73,0.22,0.53,0.06,0.43,0.22
0.8,0.77,0.62,0.77,0.07,0.84,0.12,0.93,0.01,0.89,0.07,0.99,0.01,0.68,0.12,0.9,0.1,0.68,0.29,0.42,0.1,0.29,0.29
0.81,0.78,0.63,0.68,0.1,0.96,0.03,0.55,0.06,0.76,0.04,0.94,0.06,0.91,0.03,0.93,0.06,0.72,0.24,0.6,0.06,0.35,0.24
0.81,0.78,0.63,0.75,0.08,0.87,0.1,0.86,0.01,0.86,0.06,0.99,0.01,0.72,0.1,0.9,0.09,0.69,0.27,0.44,0.09,0.3,0.27
0.83,0.83,0.66,0.55,0.19,0.83,0.15,0.18,0.35,0.51,0.25,0.63,0.35,0.38,0.15,0.94,0.05,0.89,0.1,0.78,0.05,0.54,0.1
0.82,0.8,0.64,0.69,0.11,0.97,0.03,0.51,0.09,0.74,0.06,0.9,0.09,0.9,0.03,0.92,0.07,0.74,0.23,0.64,0.07,0.32,0.23
