ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.01,0.04,0.4,0.0,0.85,0.0,0.0,1.0,0.42,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.01,0.04,0.4,0.0,0.85,0.0,0.0,1.0,0.42,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.01,0.03,0.6,0.0,0.98,0.0,0.0,1.0,0.49,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.02,0.08,0.96,0.0,0.71,0.0,0.0,1.0,0.35,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.02,0.09,0.09,0.0,0.26,0.01,0.0,1.0,0.13,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.77,0.03,0.1,0.96,0.0,0.57,0.01,0.0,1.0,0.28,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.02,0.1,0.25,0.0,0.73,0.0,0.0,1.0,0.36,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.77,0.04,0.1,0.93,0.0,0.6,0.01,0.0,1.0,0.3,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.03,0.1,0.85,0.0,0.66,0.01,0.0,1.0,0.33,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.05,0.12,0.87,0.0,0.65,0.01,0.0,1.0,0.33,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.77,0.04,0.11,0.67,0.0,0.7,0.01,0.0,1.0,0.35,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.77,0.03,0.11,0.76,0.0,0.68,0.01,0.0,1.0,0.34,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.77,0.05,0.12,0.99,0.0,0.6,0.01,0.0,1.0,0.3,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.77,0.07,0.15,0.82,0.0,0.72,0.01,0.18,0.0,0.45,0.01,1.0,0.0,0.99,0.01,0.58,0.4,0.79,0.19,0.12,0.4,0.34,0.19
0.77,0.06,0.14,0.96,0.0,0.57,0.02,0.05,0.0,0.31,0.01,1.0,0.0,0.98,0.02,0.58,0.42,0.78,0.19,0.04,0.42,0.34,0.19
