ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.84,0.91,0.35,0.8,0.09,0.77,0.21,0.69,0.16,0.73,0.18,0.75,0.16,0.32,0.21,0.87,0.13,0.62,0.17,0.26,0.13,0.76,0.17
0.9,0.95,0.22,0.95,0.03,0.0,1.0,0.77,0.22,0.39,0.61,0.02,0.22,0.0,1.0,0.82,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.21,0.97,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.9,0.95,0.21,0.95,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.89,0.94,0.09,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.26,0.2,0.0,1.0
0.9,0.95,0.18,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.2,0.97,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.29,0.89,0.06,0.89,0.11,0.0,1.0,0.45,0.56,0.0,1.0,0.0,0.11,0.86,0.13,0.0,1.0,0.36,0.13,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.9,0.95,0.17,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.29,0.89,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.13,0.0,1.0,0.36,0.13,0.0,1.0
0.9,0.94,0.35,0.75,0.12,0.74,0.26,0.0,1.0,0.37,0.63,0.0,1.0,0.0,0.26,0.95,0.05,0.0,1.0,0.61,0.05,0.0,1.0
0.9,0.95,0.28,0.9,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.85,0.13,0.0,1.0,0.35,0.13,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.26,0.21,0.0,1.0
0.9,0.95,0.27,0.9,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.85,0.14,0.0,1.0,0.34,0.14,0.0,1.0
0.9,0.95,0.2,0.97,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.75,0.84,0.36,0.42,0.25,0.37,0.51,0.05,0.31,0.21,0.41,0.69,0.31,0.28,0.51,0.99,0.01,0.61,0.14,0.68,0.01,0.82,0.14
0.9,0.95,0.29,0.89,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.13,0.0,1.0,0.36,0.13,0.0,1.0
0.9,0.95,0.24,0.94,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.16,0.0,1.0,0.31,0.16,0.0,1.0
0.9,0.94,0.13,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.9,0.95,0.17,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.28,0.91,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.85,0.14,0.0,1.0,0.35,0.14,0.0,1.0
0.9,0.95,0.21,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.2,0.97,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.3,0.91,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.13,0.0,1.0,0.36,0.13,0.0,1.0
0.9,0.95,0.31,0.88,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.12,0.0,1.0,0.38,0.12,0.0,1.0
0.89,0.94,0.33,0.75,0.13,0.71,0.29,0.3,0.69,0.51,0.49,0.03,0.69,0.0,0.29,0.93,0.07,0.78,0.13,0.52,0.07,0.74,0.13
0.9,0.95,0.28,0.92,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.85,0.14,0.0,1.0,0.34,0.14,0.0,1.0
0.9,0.95,0.19,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.31,0.87,0.06,0.88,0.12,0.51,0.49,0.7,0.3,0.01,0.49,0.0,0.12,0.88,0.11,0.82,0.11,0.39,0.11,0.78,0.11
0.9,0.95,0.26,0.94,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.15,0.0,1.0,0.32,0.15,0.0,1.0
0.9,0.95,0.21,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.26,0.92,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.15,0.0,1.0,0.33,0.15,0.0,1.0
0.9,0.95,0.17,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.21,0.95,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.21,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.2,0.97,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.21,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.3,0.91,0.05,0.93,0.07,0.0,1.0,0.47,0.54,0.0,1.0,0.0,0.07,0.86,0.13,0.0,1.0,0.36,0.13,0.0,1.0
0.9,0.94,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.26,0.2,0.0,1.0
0.9,0.94,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.26,0.2,0.0,1.0
0.9,0.95,0.16,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.27,0.19,0.0,1.0
0.9,0.94,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.26,0.2,0.0,1.0
0.9,0.94,0.11,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.9,0.94,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.26,0.2,0.0,1.0
0.9,0.94,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.26,0.2,0.0,1.0
0.9,0.94,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.26,0.2,0.0,1.0
