ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.61,0.51,0.33,0.01,0.45,0.03,0.96,0.0,0.75,0.01,0.85,0.24,0.75,0.01,0.96,0.46,0.42,0.91,0.09,0.34,0.42,0.14,0.09
0.77,0.0,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.01,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.81,0.52,0.42,0.07,0.17,0.07,0.45,0.09,0.09,0.08,0.27,0.91,0.09,0.53,0.45,0.46,0.37,0.89,0.1,0.47,0.37,0.51,0.1
0.78,0.17,0.24,0.04,0.03,0.11,0.09,0.06,0.01,0.08,0.05,0.99,0.01,0.9,0.09,0.9,0.09,0.8,0.18,0.57,0.09,0.36,0.18
0.77,0.02,0.09,0.6,0.0,0.68,0.0,0.0,1.0,0.34,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.04,0.1,0.47,0.0,0.26,0.04,0.0,1.0,0.13,0.52,0.0,1.0,0.96,0.04,0.0,1.0,0.78,0.2,0.0,1.0,0.33,0.2
0.77,0.04,0.11,0.71,0.0,0.64,0.01,0.0,1.0,0.32,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.17,0.18,0.52,0.03,0.52,0.08,0.07,0.04,0.3,0.06,0.96,0.04,0.91,0.08,0.34,0.62,0.79,0.19,0.1,0.62,0.32,0.19
