ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.34,0.21
0.76,0.04,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.81,0.49,0.41,0.02,0.16,0.04,0.41,0.02,0.08,0.03,0.24,0.92,0.08,0.58,0.41,0.85,0.11,0.87,0.11,0.73,0.11,0.47,0.11
0.82,0.57,0.46,0.02,0.21,0.04,0.55,0.02,0.13,0.03,0.34,0.87,0.13,0.43,0.55,0.76,0.16,0.91,0.08,0.69,0.16,0.57,0.08
0.65,0.54,0.38,0.14,0.37,0.15,0.83,0.09,0.59,0.12,0.71,0.38,0.59,0.03,0.83,0.57,0.17,0.93,0.07,0.78,0.17,0.31,0.07
0.81,0.57,0.46,0.04,0.22,0.06,0.56,0.04,0.15,0.05,0.36,0.85,0.15,0.41,0.56,0.65,0.22,0.92,0.07,0.62,0.22,0.58,0.07
0.78,0.24,0.24,0.78,0.01,0.93,0.01,0.44,0.02,0.69,0.01,0.98,0.02,0.99,0.01,0.41,0.49,0.8,0.19,0.26,0.49,0.34,0.19
0.82,0.6,0.48,0.03,0.24,0.05,0.62,0.02,0.17,0.04,0.4,0.83,0.17,0.35,0.62,0.94,0.04,0.94,0.05,0.91,0.04,0.65,0.05
0.81,0.56,0.45,0.17,0.17,0.22,0.43,0.22,0.09,0.22,0.26,0.9,0.09,0.51,0.43,0.53,0.31,0.9,0.09,0.51,0.31,0.51,0.09
0.82,0.51,0.44,0.02,0.16,0.07,0.42,0.01,0.07,0.04,0.24,0.93,0.07,0.57,0.42,0.88,0.1,0.88,0.11,0.62,0.1,0.48,0.11
0.81,0.62,0.49,0.04,0.27,0.07,0.68,0.02,0.21,0.05,0.45,0.78,0.21,0.28,0.68,0.94,0.04,0.96,0.03,0.91,0.04,0.76,0.03
0.81,0.45,0.4,0.05,0.13,0.12,0.33,0.05,0.06,0.08,0.2,0.94,0.06,0.66,0.33,0.85,0.11,0.86,0.13,0.7,0.11,0.44,0.13
0.82,0.61,0.49,0.12,0.22,0.17,0.57,0.11,0.16,0.14,0.36,0.84,0.16,0.36,0.57,0.64,0.23,0.94,0.05,0.62,0.23,0.64,0.05
0.81,0.62,0.49,0.15,0.22,0.24,0.54,0.14,0.17,0.19,0.36,0.82,0.17,0.35,0.54,0.69,0.19,0.95,0.05,0.67,0.19,0.65,0.05
0.82,0.58,0.48,0.01,0.21,0.05,0.55,0.0,1.0,0.03,0.78,0.0,1.0,0.43,0.55,0.0,1.0,0.92,0.08,0.0,1.0,0.58,0.08
0.77,0.12,0.15,0.16,0.04,0.09,0.27,0.01,0.03,0.05,0.15,0.97,0.03,0.72,0.27,0.56,0.43,0.75,0.23,0.04,0.43,0.26,0.23
0.83,0.57,0.48,0.02,0.19,0.06,0.52,0.01,0.1,0.03,0.31,0.9,0.1,0.46,0.52,0.88,0.1,0.91,0.08,0.68,0.1,0.56,0.08
0.81,0.46,0.42,0.03,0.13,0.1,0.34,0.01,0.05,0.06,0.2,0.95,0.05,0.65,0.34,0.83,0.15,0.86,0.13,0.32,0.15,0.44,0.13
0.78,0.24,0.27,0.97,0.0,0.54,0.11,0.32,0.01,0.43,0.06,0.99,0.01,0.88,0.11,0.65,0.31,0.78,0.2,0.24,0.31,0.3,0.2
0.78,0.22,0.23,0.41,0.04,0.26,0.26,0.06,0.04,0.16,0.15,0.96,0.04,0.71,0.26,0.52,0.45,0.77,0.22,0.12,0.45,0.25,0.22
0.78,0.23,0.27,0.87,0.01,0.45,0.14,0.21,0.02,0.33,0.08,0.98,0.02,0.84,0.14,0.65,0.32,0.78,0.2,0.19,0.32,0.29,0.2
0.82,0.64,0.52,0.32,0.18,0.6,0.29,0.27,0.15,0.43,0.22,0.85,0.15,0.49,0.29,0.79,0.13,0.93,0.07,0.74,0.13,0.49,0.07
