ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.34,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.34,0.21
0.76,0.05,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.79,0.28,0.29,0.01,0.08,0.01,0.2,0.01,0.03,0.01,0.12,0.97,0.03,0.8,0.2,0.66,0.25,0.82,0.17,0.49,0.25,0.39,0.17
0.8,0.39,0.34,0.07,0.11,0.09,0.28,0.1,0.05,0.1,0.17,0.95,0.05,0.71,0.28,0.49,0.36,0.84,0.14,0.45,0.36,0.41,0.14
0.8,0.45,0.38,0.08,0.14,0.09,0.35,0.12,0.07,0.1,0.21,0.93,0.07,0.64,0.35,0.45,0.38,0.86,0.13,0.45,0.38,0.44,0.13
0.8,0.47,0.39,0.1,0.14,0.11,0.37,0.16,0.07,0.14,0.22,0.93,0.07,0.61,0.37,0.4,0.41,0.87,0.12,0.43,0.41,0.46,0.12
0.81,0.51,0.42,0.1,0.16,0.11,0.41,0.15,0.08,0.13,0.24,0.92,0.08,0.56,0.41,0.44,0.39,0.88,0.11,0.45,0.39,0.48,0.11
0.81,0.5,0.41,0.1,0.15,0.13,0.39,0.14,0.08,0.14,0.24,0.92,0.08,0.58,0.39,0.51,0.34,0.88,0.11,0.48,0.34,0.47,0.11
0.81,0.51,0.42,0.11,0.16,0.14,0.41,0.14,0.08,0.14,0.24,0.92,0.08,0.56,0.41,0.52,0.33,0.88,0.11,0.49,0.33,0.48,0.11
0.81,0.52,0.43,0.11,0.16,0.15,0.41,0.15,0.08,0.15,0.24,0.91,0.08,0.56,0.41,0.53,0.32,0.88,0.11,0.49,0.32,0.48,0.11
0.81,0.5,0.41,0.09,0.15,0.15,0.38,0.11,0.08,0.13,0.23,0.92,0.08,0.59,0.38,0.64,0.25,0.87,0.12,0.55,0.25,0.46,0.12
0.81,0.49,0.41,0.1,0.15,0.16,0.37,0.12,0.08,0.14,0.23,0.92,0.08,0.6,0.37,0.64,0.25,0.87,0.12,0.55,0.25,0.46,0.12
0.81,0.5,0.41,0.09,0.15,0.15,0.38,0.11,0.08,0.13,0.23,0.92,0.08,0.6,0.38,0.63,0.26,0.87,0.12,0.54,0.26,0.46,0.12
0.81,0.52,0.43,0.08,0.16,0.14,0.41,0.09,0.09,0.12,0.25,0.91,0.09,0.56,0.41,0.66,0.23,0.88,0.11,0.57,0.23,0.48,0.11
0.81,0.51,0.42,0.09,0.16,0.14,0.4,0.1,0.08,0.12,0.24,0.92,0.08,0.58,0.4,0.66,0.24,0.88,0.11,0.57,0.24,0.47,0.11
0.81,0.53,0.44,0.09,0.16,0.14,0.42,0.1,0.09,0.12,0.26,0.91,0.09,0.55,0.42,0.65,0.24,0.89,0.1,0.56,0.24,0.49,0.1
0.81,0.53,0.44,0.08,0.17,0.13,0.43,0.09,0.09,0.11,0.26,0.91,0.09,0.54,0.43,0.66,0.23,0.89,0.1,0.57,0.23,0.49,0.1
0.82,0.53,0.44,0.07,0.17,0.13,0.43,0.07,0.09,0.1,0.26,0.91,0.09,0.54,0.43,0.74,0.18,0.89,0.1,0.63,0.18,0.49,0.1
0.82,0.54,0.44,0.08,0.17,0.13,0.44,0.08,0.1,0.11,0.27,0.9,0.1,0.52,0.44,0.7,0.21,0.89,0.1,0.6,0.21,0.5,0.1
0.82,0.54,0.45,0.06,0.17,0.12,0.45,0.06,0.1,0.09,0.28,0.9,0.1,0.52,0.45,0.78,0.15,0.89,0.1,0.67,0.15,0.5,0.1
0.82,0.54,0.45,0.05,0.18,0.12,0.45,0.04,0.1,0.08,0.28,0.9,0.1,0.52,0.45,0.87,0.09,0.89,0.1,0.78,0.09,0.51,0.1
0.82,0.55,0.46,0.06,0.18,0.12,0.46,0.04,0.1,0.08,0.28,0.9,0.1,0.51,0.46,0.93,0.05,0.89,0.09,0.86,0.05,0.51,0.09
0.82,0.56,0.47,0.06,0.18,0.13,0.47,0.04,0.1,0.09,0.28,0.89,0.1,0.49,0.47,0.94,0.04,0.9,0.09,0.88,0.04,0.52,0.09
0.82,0.55,0.46,0.04,0.18,0.1,0.46,0.02,0.1,0.06,0.28,0.9,0.1,0.51,0.46,0.9,0.08,0.89,0.1,0.73,0.08,0.51,0.1
0.82,0.56,0.47,0.05,0.18,0.14,0.46,0.03,0.1,0.09,0.28,0.9,0.1,0.5,0.46,0.93,0.06,0.9,0.09,0.81,0.06,0.52,0.09
0.82,0.57,0.48,0.06,0.18,0.15,0.46,0.02,0.1,0.08,0.28,0.9,0.1,0.5,0.46,0.88,0.1,0.9,0.09,0.67,0.1,0.52,0.09
0.83,0.56,0.48,0.06,0.18,0.17,0.44,0.02,0.1,0.1,0.27,0.9,0.1,0.52,0.44,0.83,0.15,0.9,0.09,0.49,0.15,0.51,0.09
0.83,0.57,0.49,0.07,0.18,0.21,0.43,0.03,0.1,0.12,0.27,0.9,0.1,0.51,0.43,0.88,0.1,0.9,0.09,0.66,0.1,0.51,0.09
0.83,0.58,0.49,0.09,0.18,0.25,0.42,0.04,0.1,0.14,0.26,0.9,0.1,0.52,0.42,0.89,0.09,0.9,0.09,0.7,0.09,0.5,0.09
0.83,0.59,0.5,0.12,0.18,0.31,0.39,0.06,0.1,0.18,0.24,0.9,0.1,0.53,0.39,0.91,0.07,0.9,0.09,0.76,0.07,0.49,0.09
