ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.62,0.51,0.32,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.92,0.08,0.0,1.0,0.34,0.08
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.71,0.56,0.41,0.0,0.39,0.0,1.0,0.0,0.51,0.0,0.76,0.49,0.51,0.0,1.0,0.0,1.0,0.94,0.06,0.0,1.0,0.49,0.06
0.76,0.01,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.38,0.18
0.76,0.01,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.38,0.18
0.64,0.52,0.35,0.01,0.43,0.02,0.97,0.0,0.69,0.01,0.83,0.31,0.69,0.01,0.97,0.57,0.29,0.9,0.1,0.54,0.29,0.15,0.1
0.6,0.5,0.31,0.01,0.45,0.03,0.97,0.0,0.78,0.01,0.88,0.22,0.78,0.01,0.97,0.53,0.31,0.9,0.1,0.52,0.31,0.09,0.1
0.78,0.2,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.16,0.0,1.0,0.42,0.16
0.62,0.52,0.35,0.14,0.38,0.16,0.83,0.08,0.64,0.12,0.73,0.32,0.64,0.01,0.83,0.71,0.11,0.91,0.09,0.85,0.11,0.16,0.09
0.57,0.49,0.29,0.05,0.45,0.09,0.91,0.02,0.82,0.06,0.86,0.17,0.82,0.0,0.91,0.79,0.09,0.9,0.1,0.86,0.09,0.09,0.1
0.78,0.13,0.21,0.22,0.02,0.57,0.03,0.14,0.0,0.35,0.01,1.0,0.0,0.97,0.03,0.97,0.02,0.8,0.18,0.82,0.02,0.39,0.18
0.8,0.43,0.35,0.49,0.06,0.71,0.1,0.69,0.02,0.7,0.06,0.98,0.02,0.87,0.1,0.6,0.28,0.85,0.14,0.52,0.28,0.4,0.14
