ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.72,0.62,0.48,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.96,0.03,0.0,1.0,0.92,0.03
0.71,0.66,0.43,0.0,0.42,0.0,0.88,0.0,1.0,0.0,0.94,0.0,1.0,0.12,0.88,0.0,1.0,0.93,0.05,0.0,1.0,0.84,0.05
0.7,0.68,0.4,0.05,0.44,0.07,0.91,0.01,0.71,0.04,0.81,0.29,0.71,0.03,0.91,0.8,0.18,0.8,0.17,0.44,0.18,0.44,0.17
0.74,0.67,0.5,0.09,0.33,0.11,0.7,0.04,0.22,0.07,0.46,0.77,0.22,0.23,0.7,0.95,0.04,0.99,0.01,0.79,0.04,0.98,0.01
0.72,0.6,0.48,0.17,0.24,0.22,0.48,0.15,0.08,0.18,0.28,0.92,0.08,0.45,0.48,0.9,0.09,0.84,0.12,0.48,0.09,0.72,0.12
0.81,0.78,0.62,0.71,0.09,0.92,0.06,0.62,0.05,0.77,0.06,0.94,0.05,0.8,0.06,0.91,0.08,0.71,0.26,0.57,0.08,0.31,0.26
0.8,0.76,0.61,0.58,0.14,0.87,0.09,0.38,0.1,0.62,0.1,0.9,0.1,0.76,0.09,0.94,0.05,0.77,0.2,0.7,0.05,0.45,0.2
0.76,0.7,0.54,0.27,0.25,0.36,0.47,0.14,0.16,0.25,0.32,0.83,0.16,0.35,0.47,0.96,0.03,0.9,0.08,0.81,0.03,0.78,0.08
0.82,0.81,0.63,0.51,0.2,0.78,0.2,0.16,0.34,0.47,0.27,0.64,0.34,0.36,0.2,0.94,0.05,0.89,0.1,0.76,0.05,0.58,0.1
0.79,0.78,0.59,0.39,0.26,0.58,0.38,0.1,0.4,0.34,0.39,0.58,0.4,0.2,0.38,0.91,0.08,0.97,0.02,0.67,0.08,0.89,0.02
0.78,0.8,0.59,0.49,0.24,0.78,0.21,0.12,0.64,0.45,0.42,0.3,0.64,0.12,0.21,0.85,0.12,0.96,0.04,0.61,0.12,0.74,0.04
0.79,0.75,0.59,0.44,0.2,0.64,0.27,0.2,0.17,0.42,0.22,0.82,0.17,0.46,0.27,0.99,0.01,0.84,0.12,0.96,0.01,0.62,0.12
0.73,0.73,0.46,0.26,0.36,0.38,0.61,0.04,0.8,0.21,0.71,0.18,0.8,0.02,0.61,0.78,0.19,0.86,0.13,0.44,0.19,0.46,0.13
0.72,0.6,0.48,0.04,0.3,0.06,0.63,0.02,0.12,0.04,0.38,0.88,0.12,0.34,0.63,1.0,0.0,0.91,0.06,1.0,0.0,0.83,0.06
0.74,0.64,0.51,0.24,0.23,0.32,0.44,0.17,0.08,0.24,0.26,0.91,0.08,0.44,0.44,0.93,0.06,0.85,0.11,0.59,0.06,0.71,0.11
0.79,0.8,0.59,0.47,0.24,0.75,0.24,0.1,0.63,0.42,0.43,0.32,0.63,0.12,0.24,0.83,0.14,0.96,0.03,0.56,0.14,0.79,0.03
