ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.57,0.28,0.0,1.0,0.54,0.28
0.69,0.53,0.43,0.01,0.28,0.01,0.57,0.0,1.0,0.01,0.78,0.0,1.0,0.42,0.57,0.0,1.0,0.86,0.09,0.0,1.0,0.78,0.09
0.75,0.78,0.55,0.54,0.23,0.81,0.19,0.15,0.77,0.48,0.48,0.12,0.77,0.03,0.19,0.85,0.11,0.97,0.02,0.68,0.11,0.76,0.02
0.73,0.64,0.51,0.13,0.28,0.15,0.59,0.08,0.11,0.11,0.35,0.89,0.11,0.33,0.59,0.95,0.05,0.94,0.04,0.67,0.05,0.89,0.04
0.83,0.82,0.66,0.63,0.15,0.92,0.07,0.32,0.22,0.62,0.15,0.76,0.22,0.67,0.07,0.98,0.01,0.84,0.14,0.93,0.01,0.42,0.14
0.79,0.8,0.6,0.51,0.23,0.78,0.22,0.11,0.64,0.45,0.43,0.3,0.64,0.07,0.22,0.83,0.14,0.97,0.03,0.56,0.14,0.77,0.03
0.78,0.78,0.57,0.39,0.27,0.57,0.41,0.08,0.5,0.32,0.45,0.47,0.5,0.13,0.41,0.86,0.12,0.97,0.02,0.56,0.12,0.89,0.02
0.82,0.79,0.64,0.72,0.09,0.92,0.06,0.63,0.04,0.78,0.05,0.95,0.04,0.81,0.06,0.92,0.07,0.73,0.24,0.58,0.07,0.33,0.24
0.82,0.8,0.65,0.7,0.1,0.96,0.03,0.49,0.09,0.72,0.06,0.91,0.09,0.88,0.03,0.94,0.05,0.75,0.22,0.7,0.05,0.33,0.22
0.81,0.81,0.63,0.53,0.21,0.8,0.19,0.14,0.48,0.47,0.33,0.48,0.48,0.25,0.19,0.88,0.1,0.93,0.06,0.62,0.1,0.66,0.06
0.8,0.81,0.62,0.55,0.2,0.84,0.16,0.16,0.51,0.5,0.34,0.43,0.51,0.24,0.16,0.89,0.09,0.92,0.07,0.7,0.09,0.6,0.07
0.82,0.82,0.65,0.56,0.19,0.83,0.15,0.17,0.36,0.5,0.26,0.61,0.36,0.36,0.15,0.92,0.06,0.9,0.09,0.73,0.06,0.58,0.09
0.8,0.75,0.61,0.58,0.14,0.83,0.12,0.44,0.06,0.64,0.09,0.93,0.06,0.72,0.12,0.94,0.06,0.79,0.18,0.62,0.06,0.51,0.18
0.82,0.82,0.65,0.57,0.18,0.86,0.13,0.19,0.36,0.53,0.24,0.6,0.36,0.4,0.13,0.94,0.05,0.89,0.1,0.78,0.05,0.53,0.1
0.82,0.82,0.64,0.56,0.19,0.84,0.15,0.17,0.41,0.51,0.28,0.55,0.41,0.32,0.15,0.92,0.07,0.91,0.08,0.73,0.07,0.59,0.08
0.81,0.82,0.64,0.6,0.17,0.88,0.11,0.25,0.34,0.56,0.23,0.61,0.34,0.44,0.11,0.98,0.02,0.88,0.11,0.93,0.02,0.49,0.11
0.82,0.81,0.63,0.51,0.21,0.76,0.22,0.14,0.39,0.45,0.3,0.58,0.39,0.27,0.22,0.9,0.08,0.93,0.06,0.65,0.08,0.71,0.06
0.81,0.81,0.62,0.51,0.22,0.77,0.21,0.13,0.47,0.45,0.34,0.49,0.47,0.22,0.21,0.88,0.1,0.95,0.04,0.61,0.1,0.75,0.04
0.8,0.81,0.62,0.53,0.21,0.81,0.18,0.14,0.55,0.48,0.36,0.4,0.55,0.18,0.18,0.87,0.11,0.95,0.05,0.62,0.11,0.71,0.05
0.81,0.78,0.63,0.76,0.07,0.88,0.09,0.89,0.01,0.89,0.05,0.99,0.01,0.74,0.09,0.9,0.09,0.71,0.25,0.44,0.09,0.32,0.25
0.78,0.73,0.58,0.86,0.04,0.74,0.19,0.79,0.01,0.77,0.1,0.98,0.01,0.57,0.19,0.89,0.1,0.64,0.31,0.37,0.1,0.28,0.31
0.82,0.79,0.64,0.75,0.08,0.89,0.09,0.76,0.03,0.82,0.06,0.97,0.03,0.72,0.09,0.9,0.09,0.72,0.25,0.51,0.09,0.3,0.25
0.79,0.81,0.6,0.54,0.22,0.81,0.19,0.14,0.61,0.48,0.4,0.32,0.61,0.1,0.19,0.87,0.11,1.0,0.0,0.65,0.11,1.0,0.0
