ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.66,0.53,0.37,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.92,0.08,0.0,1.0,0.32,0.08
0.77,0.08,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.39,0.18
0.7,0.56,0.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.93,0.07,0.0,1.0,0.41,0.07
0.77,0.06,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.39,0.18
0.8,0.57,0.44,0.02,0.25,0.03,0.65,0.02,0.21,0.03,0.43,0.79,0.21,0.34,0.65,0.78,0.13,0.96,0.04,0.77,0.13,0.74,0.04
0.78,0.2,0.25,0.03,0.04,0.06,0.12,0.03,0.01,0.04,0.07,0.99,0.01,0.87,0.12,0.92,0.07,0.82,0.16,0.72,0.07,0.41,0.16
0.79,0.23,0.27,0.03,0.05,0.07,0.14,0.02,0.01,0.05,0.08,0.99,0.01,0.86,0.14,0.98,0.02,0.82,0.16,0.92,0.02,0.42,0.16
0.81,0.44,0.38,0.02,0.13,0.06,0.35,0.01,0.06,0.03,0.2,0.94,0.06,0.64,0.35,0.81,0.17,0.87,0.11,0.39,0.17,0.5,0.11
0.79,0.3,0.31,0.09,0.07,0.25,0.15,0.05,0.02,0.15,0.08,0.98,0.02,0.84,0.15,0.92,0.07,0.83,0.15,0.67,0.07,0.42,0.15
0.8,0.6,0.47,0.1,0.25,0.18,0.6,0.07,0.22,0.12,0.41,0.78,0.22,0.31,0.6,0.9,0.05,0.97,0.03,0.89,0.05,0.78,0.03
0.78,0.61,0.47,0.05,0.31,0.09,0.77,0.02,0.31,0.06,0.54,0.68,0.31,0.17,0.77,0.98,0.01,0.98,0.02,0.97,0.01,0.86,0.02
0.82,0.47,0.42,0.05,0.13,0.14,0.34,0.02,0.06,0.08,0.2,0.94,0.06,0.63,0.34,0.88,0.1,0.88,0.11,0.62,0.1,0.51,0.11
0.81,0.47,0.41,0.4,0.08,0.63,0.14,0.62,0.02,0.62,0.08,0.98,0.02,0.82,0.14,0.65,0.26,0.86,0.13,0.47,0.26,0.42,0.13
0.8,0.34,0.36,0.19,0.06,0.37,0.15,0.3,0.01,0.33,0.08,0.99,0.01,0.84,0.15,0.8,0.17,0.84,0.14,0.46,0.17,0.42,0.14
0.83,0.56,0.48,0.17,0.15,0.33,0.35,0.16,0.07,0.24,0.21,0.93,0.07,0.58,0.35,0.85,0.11,0.91,0.09,0.72,0.11,0.54,0.09
