ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.17,0.98,0.01,0.99,0.01,0.91,0.09,0.95,0.05,0.12,0.09,0.05,0.01,0.81,0.18,0.8,0.15,0.29,0.18,0.62,0.15
0.9,0.95,0.12,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.89,0.94,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.34,0.9,0.05,0.9,0.1,0.63,0.33,0.77,0.22,0.28,0.33,0.1,0.1,0.87,0.12,0.8,0.12,0.36,0.12,0.76,0.12
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.34,0.9,0.05,0.91,0.09,0.62,0.34,0.77,0.22,0.26,0.34,0.08,0.09,0.88,0.12,0.84,0.1,0.37,0.12,0.79,0.1
0.82,0.89,0.38,0.69,0.14,0.66,0.29,0.35,0.28,0.51,0.29,0.67,0.28,0.31,0.29,0.95,0.05,0.61,0.16,0.43,0.05,0.78,0.16
0.9,0.94,0.37,0.86,0.07,0.86,0.13,0.53,0.39,0.7,0.26,0.3,0.39,0.11,0.13,0.9,0.1,0.79,0.12,0.4,0.1,0.78,0.12
0.9,0.95,0.35,0.88,0.06,0.89,0.11,0.56,0.38,0.73,0.24,0.24,0.38,0.09,0.11,0.89,0.1,0.8,0.12,0.39,0.1,0.76,0.12
0.89,0.94,0.38,0.83,0.09,0.82,0.18,0.44,0.44,0.63,0.31,0.32,0.44,0.12,0.18,0.92,0.08,0.76,0.13,0.44,0.08,0.78,0.13
0.9,0.95,0.31,0.93,0.03,0.95,0.05,0.69,0.3,0.82,0.17,0.11,0.3,0.02,0.05,0.86,0.13,0.91,0.07,0.35,0.13,0.77,0.07
0.9,0.94,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.2,0.97,0.01,0.98,0.02,0.87,0.12,0.93,0.07,0.11,0.12,0.01,0.02,0.82,0.17,0.87,0.11,0.3,0.17,0.65,0.11
0.9,0.95,0.36,0.88,0.06,0.89,0.11,0.53,0.41,0.71,0.26,0.23,0.41,0.08,0.11,0.9,0.1,0.8,0.12,0.41,0.1,0.75,0.12
0.9,0.94,0.11,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.9,0.95,0.28,0.92,0.04,0.93,0.07,0.68,0.31,0.81,0.19,0.08,0.31,0.01,0.07,0.86,0.13,0.92,0.06,0.35,0.13,0.84,0.06
0.9,0.95,0.14,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.89,0.94,0.08,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.94,0.08,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.94,0.08,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.94,0.09,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.13,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.11,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.1,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.32,0.9,0.05,0.9,0.1,0.56,0.43,0.73,0.27,0.06,0.43,0.01,0.1,0.88,0.11,0.9,0.07,0.4,0.11,0.82,0.07
0.9,0.94,0.08,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.94,0.39,0.84,0.08,0.84,0.16,0.45,0.44,0.65,0.3,0.31,0.44,0.12,0.16,0.92,0.08,0.76,0.14,0.44,0.08,0.76,0.14
0.91,0.95,0.36,0.89,0.06,0.9,0.1,0.52,0.46,0.71,0.28,0.11,0.46,0.02,0.1,0.9,0.09,0.96,0.02,0.43,0.09,0.93,0.02
0.9,0.95,0.1,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.19,0.97,0.01,0.0,1.0,0.85,0.15,0.42,0.57,0.03,0.15,0.0,1.0,0.82,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.28,0.93,0.04,0.94,0.06,0.68,0.32,0.81,0.19,0.05,0.32,0.02,0.06,0.86,0.13,0.85,0.1,0.36,0.13,0.76,0.1
0.9,0.95,0.12,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.15,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.89,0.94,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.11,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.9,0.95,0.1,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.1,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.12,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.94,0.11,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.94,0.11,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.27,0.95,0.03,0.96,0.04,0.75,0.25,0.85,0.14,0.07,0.25,0.02,0.04,0.84,0.15,0.87,0.09,0.33,0.15,0.76,0.09
0.9,0.94,0.1,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.1,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
