ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.68,0.71,0.36,0.9,0.04,0.98,0.01,0.74,0.11,0.86,0.06,0.84,0.11,0.95,0.01,0.96,0.03,0.81,0.13,0.9,0.03,0.71,0.13
0.68,0.7,0.35,0.9,0.04,0.99,0.01,0.75,0.1,0.87,0.06,0.85,0.1,0.97,0.01,0.96,0.03,0.81,0.13,0.89,0.03,0.71,0.13
0.67,0.72,0.33,0.91,0.04,0.96,0.03,0.8,0.1,0.88,0.07,0.84,0.1,0.88,0.03,0.92,0.05,0.84,0.11,0.84,0.05,0.74,0.11
0.68,0.71,0.35,0.9,0.04,0.96,0.03,0.77,0.1,0.86,0.07,0.84,0.1,0.89,0.03,0.94,0.04,0.83,0.11,0.86,0.04,0.74,0.11
0.67,0.71,0.33,0.9,0.04,0.95,0.03,0.78,0.11,0.86,0.07,0.83,0.11,0.88,0.03,0.93,0.05,0.84,0.11,0.85,0.05,0.74,0.11
0.67,0.7,0.33,0.93,0.03,0.99,0.01,0.84,0.07,0.92,0.04,0.89,0.07,0.98,0.01,0.92,0.06,0.82,0.12,0.83,0.06,0.72,0.12
0.67,0.71,0.33,0.92,0.03,0.97,0.02,0.83,0.08,0.9,0.05,0.87,0.08,0.92,0.02,0.92,0.06,0.84,0.11,0.83,0.06,0.74,0.11
0.67,0.7,0.34,0.94,0.02,0.99,0.0,0.86,0.06,0.93,0.03,0.91,0.06,0.99,0.0,0.92,0.06,0.81,0.13,0.83,0.06,0.72,0.13
0.67,0.71,0.33,0.92,0.03,0.98,0.02,0.83,0.07,0.91,0.05,0.88,0.07,0.94,0.02,0.92,0.06,0.83,0.12,0.83,0.06,0.73,0.12
0.67,0.72,0.34,0.94,0.02,0.99,0.01,0.86,0.06,0.93,0.03,0.9,0.06,0.97,0.01,0.92,0.06,0.81,0.13,0.83,0.06,0.7,0.13
0.67,0.7,0.34,0.94,0.02,0.99,0.01,0.9,0.04,0.95,0.03,0.94,0.04,0.98,0.01,0.91,0.07,0.83,0.11,0.79,0.07,0.74,0.11
0.67,0.7,0.34,0.93,0.02,1.0,0.0,0.87,0.05,0.94,0.03,0.92,0.05,0.99,0.0,0.92,0.06,0.82,0.12,0.82,0.06,0.73,0.12
0.67,0.7,0.33,0.91,0.03,0.97,0.02,0.81,0.08,0.89,0.05,0.87,0.08,0.92,0.02,0.93,0.05,0.83,0.11,0.84,0.05,0.74,0.11
0.67,0.69,0.33,0.96,0.02,0.98,0.02,0.92,0.03,0.95,0.03,0.96,0.03,0.95,0.02,0.91,0.07,0.81,0.12,0.79,0.07,0.73,0.12
0.68,0.72,0.34,0.93,0.03,0.99,0.01,0.85,0.07,0.92,0.04,0.88,0.07,0.96,0.01,0.92,0.06,0.83,0.12,0.83,0.06,0.72,0.12
0.68,0.71,0.34,0.93,0.03,0.98,0.01,0.85,0.06,0.92,0.03,0.9,0.06,0.96,0.01,0.92,0.06,0.83,0.11,0.82,0.06,0.74,0.11
0.68,0.71,0.34,0.92,0.03,0.99,0.01,0.81,0.08,0.9,0.04,0.87,0.08,0.97,0.01,0.93,0.05,0.82,0.13,0.85,0.05,0.71,0.13
0.67,0.7,0.34,0.93,0.03,0.98,0.01,0.85,0.06,0.92,0.03,0.91,0.06,0.96,0.01,0.92,0.06,0.83,0.11,0.82,0.06,0.74,0.11
0.67,0.71,0.34,0.94,0.02,0.99,0.01,0.89,0.05,0.94,0.03,0.92,0.05,0.98,0.01,0.91,0.07,0.84,0.11,0.8,0.07,0.74,0.11
0.67,0.7,0.34,0.95,0.02,0.98,0.02,0.91,0.04,0.95,0.03,0.95,0.04,0.95,0.02,0.91,0.06,0.82,0.13,0.8,0.06,0.72,0.13
0.67,0.71,0.34,0.94,0.02,0.98,0.01,0.9,0.04,0.94,0.03,0.93,0.04,0.96,0.01,0.9,0.07,0.84,0.11,0.79,0.07,0.75,0.11
0.67,0.71,0.34,0.96,0.01,0.98,0.01,0.95,0.02,0.96,0.01,0.97,0.02,0.95,0.01,0.9,0.07,0.83,0.12,0.78,0.07,0.73,0.12
0.68,0.71,0.35,0.96,0.02,0.99,0.01,0.95,0.02,0.97,0.01,0.97,0.02,0.97,0.01,0.9,0.07,0.83,0.12,0.77,0.07,0.73,0.12
0.68,0.7,0.35,0.96,0.01,0.97,0.02,0.95,0.02,0.96,0.02,0.97,0.02,0.94,0.02,0.9,0.07,0.82,0.12,0.78,0.07,0.72,0.12
0.68,0.71,0.34,0.95,0.02,0.99,0.0,0.89,0.05,0.94,0.03,0.92,0.05,0.98,0.0,0.91,0.06,0.82,0.12,0.81,0.06,0.71,0.12
0.68,0.71,0.34,0.95,0.02,1.0,0.0,0.93,0.03,0.97,0.01,0.95,0.03,1.0,0.0,0.9,0.07,0.84,0.11,0.78,0.07,0.74,0.11
0.68,0.72,0.34,0.94,0.02,0.99,0.01,0.91,0.04,0.95,0.03,0.94,0.04,0.98,0.01,0.9,0.07,0.84,0.11,0.79,0.07,0.74,0.11
0.67,0.7,0.34,0.94,0.02,0.99,0.01,0.93,0.03,0.96,0.02,0.96,0.03,0.98,0.01,0.9,0.08,0.84,0.1,0.77,0.08,0.76,0.1
0.67,0.7,0.33,0.98,0.01,0.95,0.04,0.97,0.01,0.96,0.03,0.99,0.01,0.89,0.04,0.9,0.07,0.8,0.13,0.78,0.07,0.71,0.13
0.68,0.72,0.34,0.95,0.02,0.99,0.01,0.89,0.05,0.94,0.03,0.92,0.05,0.98,0.01,0.91,0.06,0.82,0.12,0.81,0.06,0.71,0.12
0.67,0.7,0.34,0.95,0.02,1.0,0.0,0.92,0.03,0.96,0.01,0.95,0.03,0.99,0.0,0.91,0.07,0.83,0.11,0.78,0.07,0.74,0.11
0.67,0.7,0.34,0.97,0.01,0.97,0.02,0.98,0.01,0.97,0.01,0.99,0.01,0.93,0.02,0.9,0.08,0.82,0.12,0.77,0.08,0.73,0.12
0.68,0.72,0.35,0.97,0.01,0.96,0.03,0.93,0.03,0.95,0.03,0.95,0.03,0.9,0.03,0.91,0.07,0.81,0.13,0.8,0.07,0.69,0.13
0.67,0.7,0.33,0.97,0.01,0.96,0.03,0.94,0.02,0.95,0.03,0.96,0.02,0.92,0.03,0.91,0.07,0.81,0.13,0.79,0.07,0.71,0.13
0.68,0.71,0.35,0.94,0.02,0.99,0.01,0.9,0.04,0.95,0.03,0.93,0.04,0.96,0.01,0.91,0.07,0.85,0.11,0.79,0.07,0.75,0.11
0.67,0.71,0.34,0.94,0.02,1.0,0.0,0.87,0.05,0.94,0.03,0.92,0.05,0.99,0.0,0.92,0.06,0.82,0.12,0.81,0.06,0.72,0.12
0.68,0.72,0.36,0.96,0.02,0.97,0.02,0.91,0.04,0.94,0.03,0.94,0.04,0.92,0.02,0.92,0.06,0.81,0.13,0.81,0.06,0.69,0.13
0.68,0.72,0.35,0.94,0.02,1.0,0.0,0.9,0.04,0.95,0.02,0.93,0.04,1.0,0.0,0.91,0.07,0.84,0.11,0.8,0.07,0.73,0.11
