ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.67,0.72,0.33,0.81,0.08,0.81,0.16,0.6,0.23,0.71,0.2,0.64,0.23,0.49,0.16,0.97,0.02,0.95,0.03,0.94,0.02,0.92,0.03
0.67,0.71,0.33,0.8,0.08,0.8,0.16,0.6,0.23,0.7,0.2,0.65,0.23,0.5,0.16,0.97,0.02,0.95,0.03,0.93,0.02,0.92,0.03
0.68,0.72,0.34,0.8,0.08,0.81,0.16,0.59,0.24,0.7,0.2,0.64,0.24,0.5,0.16,0.98,0.02,0.95,0.03,0.94,0.02,0.92,0.03
0.68,0.72,0.34,0.81,0.08,0.82,0.16,0.61,0.22,0.71,0.19,0.65,0.22,0.49,0.16,0.97,0.02,0.96,0.03,0.93,0.02,0.93,0.03
0.68,0.72,0.34,0.82,0.08,0.82,0.15,0.63,0.21,0.72,0.18,0.68,0.21,0.51,0.15,0.96,0.03,0.96,0.02,0.92,0.03,0.93,0.02
0.68,0.72,0.34,0.82,0.08,0.82,0.15,0.62,0.21,0.72,0.18,0.67,0.21,0.53,0.15,0.97,0.02,0.95,0.03,0.92,0.02,0.91,0.03
0.67,0.72,0.33,0.82,0.08,0.82,0.14,0.63,0.21,0.72,0.17,0.68,0.21,0.55,0.14,0.96,0.03,0.94,0.04,0.92,0.03,0.9,0.04
0.67,0.72,0.33,0.81,0.08,0.82,0.15,0.62,0.22,0.72,0.18,0.67,0.22,0.53,0.15,0.97,0.02,0.94,0.04,0.93,0.02,0.9,0.04
0.68,0.72,0.34,0.82,0.08,0.82,0.15,0.63,0.2,0.72,0.17,0.7,0.2,0.53,0.15,0.96,0.03,0.96,0.03,0.91,0.03,0.92,0.03
0.67,0.72,0.33,0.81,0.08,0.82,0.15,0.63,0.21,0.72,0.18,0.69,0.21,0.53,0.15,0.96,0.03,0.95,0.03,0.91,0.03,0.92,0.03
0.67,0.72,0.33,0.82,0.08,0.83,0.15,0.63,0.21,0.73,0.18,0.68,0.21,0.53,0.15,0.96,0.03,0.94,0.04,0.92,0.03,0.91,0.04
0.67,0.72,0.33,0.82,0.08,0.82,0.15,0.64,0.2,0.73,0.17,0.68,0.2,0.53,0.15,0.96,0.03,0.95,0.03,0.9,0.03,0.92,0.03
0.67,0.72,0.33,0.81,0.08,0.82,0.15,0.62,0.21,0.72,0.18,0.68,0.21,0.54,0.15,0.97,0.02,0.94,0.04,0.92,0.02,0.9,0.04
0.67,0.72,0.33,0.81,0.08,0.82,0.15,0.62,0.21,0.72,0.18,0.67,0.21,0.53,0.15,0.96,0.03,0.94,0.04,0.92,0.03,0.91,0.04
0.67,0.72,0.33,0.81,0.08,0.82,0.15,0.62,0.21,0.72,0.18,0.68,0.21,0.53,0.15,0.96,0.03,0.95,0.03,0.92,0.03,0.92,0.03
0.67,0.72,0.33,0.81,0.08,0.82,0.15,0.62,0.21,0.72,0.18,0.67,0.21,0.52,0.15,0.96,0.03,0.95,0.03,0.92,0.03,0.91,0.03
0.67,0.72,0.34,0.82,0.07,0.82,0.15,0.64,0.2,0.73,0.17,0.7,0.2,0.53,0.15,0.96,0.03,0.96,0.03,0.9,0.03,0.93,0.03
0.68,0.72,0.34,0.83,0.07,0.82,0.15,0.67,0.18,0.74,0.16,0.72,0.18,0.51,0.15,0.95,0.04,0.98,0.01,0.88,0.04,0.96,0.01
0.68,0.72,0.35,0.82,0.07,0.82,0.15,0.66,0.18,0.74,0.16,0.72,0.18,0.52,0.15,0.95,0.04,0.97,0.02,0.89,0.04,0.95,0.02
0.68,0.72,0.34,0.83,0.07,0.83,0.14,0.67,0.19,0.75,0.17,0.71,0.19,0.52,0.14,0.95,0.04,0.97,0.02,0.88,0.04,0.95,0.02
0.68,0.73,0.35,0.82,0.08,0.83,0.15,0.64,0.2,0.73,0.17,0.69,0.2,0.51,0.15,0.96,0.03,0.96,0.02,0.91,0.03,0.93,0.02
0.68,0.72,0.34,0.82,0.08,0.82,0.15,0.64,0.2,0.73,0.17,0.69,0.2,0.51,0.15,0.96,0.03,0.97,0.02,0.9,0.03,0.94,0.02
0.68,0.72,0.34,0.82,0.08,0.82,0.15,0.64,0.2,0.73,0.17,0.69,0.2,0.51,0.15,0.95,0.03,0.97,0.02,0.9,0.03,0.94,0.02
0.68,0.72,0.34,0.82,0.08,0.82,0.15,0.63,0.21,0.72,0.18,0.68,0.21,0.51,0.15,0.96,0.03,0.96,0.02,0.91,0.03,0.94,0.02
0.68,0.72,0.34,0.82,0.08,0.81,0.16,0.63,0.21,0.72,0.18,0.68,0.21,0.5,0.16,0.96,0.03,0.97,0.02,0.91,0.03,0.95,0.02
0.68,0.72,0.34,0.82,0.08,0.82,0.15,0.64,0.21,0.73,0.18,0.68,0.21,0.51,0.15,0.96,0.03,0.96,0.03,0.91,0.03,0.93,0.03
0.68,0.72,0.34,0.82,0.07,0.83,0.15,0.64,0.21,0.73,0.18,0.67,0.21,0.51,0.15,0.96,0.03,0.96,0.03,0.91,0.03,0.93,0.03
0.68,0.72,0.34,0.83,0.07,0.83,0.14,0.64,0.2,0.73,0.17,0.68,0.2,0.51,0.14,0.96,0.03,0.96,0.03,0.91,0.03,0.92,0.03
0.68,0.73,0.34,0.83,0.07,0.84,0.14,0.65,0.2,0.74,0.17,0.67,0.2,0.52,0.14,0.96,0.03,0.95,0.03,0.91,0.03,0.92,0.03
0.67,0.72,0.33,0.84,0.07,0.84,0.13,0.67,0.19,0.76,0.16,0.68,0.19,0.53,0.13,0.95,0.03,0.95,0.03,0.9,0.03,0.91,0.03
0.67,0.72,0.33,0.83,0.07,0.83,0.15,0.67,0.19,0.75,0.17,0.68,0.19,0.5,0.15,0.95,0.04,0.97,0.02,0.88,0.04,0.95,0.02
0.67,0.72,0.33,0.83,0.07,0.83,0.14,0.67,0.18,0.75,0.16,0.7,0.18,0.51,0.14,0.94,0.04,0.97,0.02,0.88,0.04,0.95,0.02
0.67,0.72,0.32,0.84,0.07,0.83,0.14,0.68,0.19,0.76,0.17,0.7,0.19,0.53,0.14,0.94,0.04,0.96,0.03,0.88,0.04,0.93,0.03
0.67,0.72,0.32,0.84,0.07,0.84,0.13,0.67,0.19,0.76,0.16,0.69,0.19,0.55,0.13,0.95,0.04,0.94,0.04,0.89,0.04,0.9,0.04
