ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.88,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.89,0.94,0.23,0.98,0.01,0.99,0.01,0.97,0.03,0.98,0.02,0.76,0.03,0.4,0.01,0.8,0.19,0.79,0.17,0.3,0.19,0.56,0.17
0.89,0.94,0.21,0.99,0.01,1.0,0.0,0.95,0.04,0.97,0.02,0.54,0.04,0.35,0.0,0.8,0.19,0.8,0.18,0.31,0.19,0.45,0.18
0.88,0.94,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.89,0.94,0.26,0.97,0.01,0.98,0.02,0.9,0.09,0.94,0.06,0.44,0.09,0.14,0.02,0.81,0.18,0.93,0.05,0.31,0.18,0.82,0.05
0.88,0.94,0.15,0.99,0.0,0.0,1.0,0.96,0.04,0.48,0.52,0.32,0.04,0.0,1.0,0.79,0.19,0.0,1.0,0.3,0.19,0.0,1.0
0.89,0.94,0.21,0.98,0.01,0.99,0.01,0.92,0.08,0.96,0.04,0.28,0.08,0.08,0.01,0.8,0.18,0.97,0.02,0.31,0.18,0.88,0.02
0.89,0.94,0.39,0.9,0.05,0.91,0.09,0.77,0.15,0.84,0.12,0.68,0.15,0.28,0.09,0.86,0.13,0.77,0.14,0.32,0.13,0.74,0.14
0.89,0.94,0.33,0.94,0.03,0.95,0.05,0.84,0.14,0.9,0.1,0.56,0.14,0.2,0.05,0.83,0.16,0.85,0.1,0.32,0.16,0.78,0.1
0.89,0.94,0.23,0.98,0.01,0.99,0.01,0.93,0.06,0.96,0.03,0.48,0.06,0.15,0.01,0.8,0.18,0.93,0.05,0.31,0.18,0.81,0.05
0.89,0.94,0.32,0.96,0.02,0.97,0.03,0.95,0.04,0.96,0.04,0.85,0.04,0.36,0.03,0.82,0.17,0.79,0.14,0.29,0.17,0.69,0.14
0.88,0.94,0.15,0.99,0.0,0.0,1.0,0.97,0.02,0.48,0.51,0.4,0.02,0.0,1.0,0.79,0.19,0.0,1.0,0.3,0.19,0.0,1.0
0.88,0.94,0.13,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.54,0.01,0.0,1.0,0.79,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.89,0.94,0.31,0.96,0.02,0.97,0.03,0.9,0.09,0.94,0.06,0.63,0.09,0.26,0.03,0.82,0.17,0.83,0.12,0.31,0.17,0.69,0.12
0.89,0.94,0.21,0.98,0.01,0.99,0.01,0.93,0.07,0.96,0.04,0.4,0.07,0.1,0.01,0.8,0.18,0.98,0.01,0.31,0.18,0.94,0.01
0.89,0.94,0.37,0.95,0.03,0.96,0.04,0.95,0.03,0.95,0.04,0.91,0.03,0.47,0.04,0.83,0.16,0.72,0.19,0.28,0.16,0.63,0.19
0.89,0.94,0.19,0.99,0.01,0.99,0.01,0.97,0.03,0.98,0.02,0.6,0.03,0.15,0.01,0.79,0.19,0.98,0.01,0.3,0.19,0.94,0.01
0.89,0.94,0.18,0.99,0.0,0.99,0.01,0.97,0.03,0.98,0.02,0.59,0.03,0.1,0.01,0.79,0.19,0.95,0.05,0.3,0.19,0.77,0.05
0.88,0.93,0.41,0.91,0.04,0.95,0.05,0.8,0.12,0.88,0.08,0.78,0.12,0.52,0.05,0.87,0.12,0.61,0.26,0.32,0.12,0.57,0.26
0.89,0.94,0.27,0.97,0.01,0.99,0.01,0.91,0.08,0.95,0.04,0.55,0.08,0.27,0.01,0.81,0.17,0.81,0.15,0.31,0.17,0.59,0.15
0.89,0.94,0.19,0.99,0.01,0.99,0.01,0.96,0.04,0.97,0.03,0.52,0.04,0.11,0.01,0.79,0.19,0.99,0.01,0.3,0.19,0.95,0.01
0.89,0.94,0.21,0.99,0.01,0.99,0.01,0.97,0.03,0.98,0.02,0.65,0.03,0.23,0.01,0.79,0.19,0.91,0.07,0.3,0.19,0.73,0.07
0.89,0.94,0.23,0.98,0.01,0.98,0.02,0.9,0.1,0.94,0.06,0.29,0.1,0.06,0.02,0.81,0.18,0.96,0.03,0.32,0.18,0.88,0.03
0.89,0.94,0.18,0.98,0.01,0.99,0.01,0.93,0.07,0.96,0.04,0.22,0.07,0.03,0.01,0.8,0.19,0.91,0.07,0.31,0.19,0.66,0.07
0.89,0.94,0.19,0.99,0.01,0.99,0.01,0.95,0.05,0.97,0.03,0.42,0.05,0.09,0.01,0.8,0.19,0.98,0.01,0.31,0.19,0.94,0.01
0.88,0.94,0.33,0.97,0.01,0.98,0.02,0.89,0.09,0.94,0.06,0.73,0.09,0.65,0.02,0.81,0.18,0.73,0.17,0.25,0.18,0.67,0.17
0.89,0.94,0.25,0.99,0.0,1.0,0.0,0.97,0.03,0.98,0.01,0.77,0.03,0.94,0.0,0.79,0.19,0.74,0.22,0.28,0.19,0.43,0.22
0.89,0.94,0.29,0.99,0.01,1.0,0.0,0.95,0.04,0.97,0.02,0.76,0.04,0.99,0.0,0.8,0.19,0.73,0.23,0.28,0.19,0.42,0.23
0.89,0.94,0.21,0.99,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.88,0.01,0.55,0.0,0.79,0.19,0.83,0.14,0.29,0.19,0.58,0.14
0.89,0.94,0.2,0.99,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.89,0.01,0.5,0.0,0.79,0.19,0.85,0.12,0.29,0.19,0.62,0.12
0.89,0.94,0.16,1.0,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.83,0.01,0.3,0.0,0.78,0.2,0.98,0.01,0.29,0.2,0.94,0.01
0.89,0.94,0.18,0.99,0.0,0.99,0.01,0.98,0.02,0.98,0.01,0.65,0.02,0.15,0.01,0.79,0.19,1.0,0.0,0.3,0.19,1.0,0.0
0.89,0.94,0.18,0.99,0.01,0.99,0.01,0.94,0.06,0.96,0.03,0.28,0.06,0.03,0.01,0.8,0.19,0.87,0.11,0.31,0.19,0.53,0.11
0.89,0.94,0.16,0.99,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.89,0.0,0.23,0.0,0.79,0.2,0.98,0.01,0.3,0.2,0.93,0.01
0.88,0.94,0.13,0.99,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.54,0.01,0.0,1.0,0.79,0.2,0.0,1.0,0.3,0.2,0.0,1.0
0.88,0.93,0.29,0.99,0.0,1.0,0.0,0.87,0.11,0.94,0.06,0.62,0.11,0.94,0.0,0.8,0.19,0.64,0.25,0.25,0.19,0.55,0.25
