ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.56,0.29,0.0,1.0,0.54,0.29
0.78,0.76,0.57,0.35,0.26,0.49,0.43,0.11,0.29,0.3,0.36,0.7,0.29,0.25,0.43,0.95,0.04,0.96,0.03,0.77,0.04,0.87,0.03
0.79,0.76,0.58,0.39,0.23,0.54,0.38,0.14,0.24,0.34,0.31,0.75,0.24,0.32,0.38,0.97,0.02,0.92,0.07,0.87,0.02,0.78,0.07
0.8,0.81,0.62,0.62,0.17,0.88,0.12,0.29,0.37,0.58,0.24,0.57,0.37,0.37,0.12,0.98,0.02,0.9,0.09,0.94,0.02,0.52,0.09
0.82,0.79,0.64,0.7,0.1,0.93,0.05,0.51,0.07,0.72,0.06,0.93,0.07,0.82,0.05,0.94,0.05,0.72,0.25,0.67,0.05,0.32,0.25
0.81,0.82,0.62,0.56,0.2,0.84,0.15,0.17,0.47,0.51,0.31,0.48,0.47,0.29,0.15,0.91,0.07,0.9,0.09,0.74,0.07,0.55,0.09
0.81,0.78,0.64,0.72,0.09,0.9,0.08,0.66,0.03,0.78,0.06,0.96,0.03,0.77,0.08,0.93,0.07,0.7,0.26,0.55,0.07,0.32,0.26
0.8,0.75,0.61,0.63,0.11,0.95,0.04,0.53,0.05,0.74,0.04,0.95,0.05,0.9,0.04,0.93,0.06,0.74,0.22,0.57,0.06,0.43,0.22
0.81,0.78,0.63,0.77,0.07,0.86,0.11,0.82,0.02,0.84,0.07,0.98,0.02,0.66,0.11,0.9,0.09,0.69,0.27,0.48,0.09,0.28,0.27
0.79,0.75,0.6,0.83,0.05,0.76,0.18,0.91,0.01,0.83,0.1,0.99,0.01,0.57,0.18,0.9,0.1,0.64,0.31,0.4,0.1,0.27,0.31
0.8,0.81,0.62,0.52,0.22,0.81,0.18,0.12,0.57,0.47,0.38,0.38,0.57,0.16,0.18,0.86,0.12,0.96,0.04,0.6,0.12,0.73,0.04
0.82,0.82,0.64,0.54,0.2,0.83,0.16,0.15,0.43,0.49,0.29,0.53,0.43,0.32,0.16,0.9,0.09,0.9,0.09,0.65,0.09,0.55,0.09
0.79,0.76,0.58,0.35,0.26,0.5,0.43,0.09,0.3,0.29,0.36,0.69,0.3,0.25,0.43,0.93,0.07,0.96,0.03,0.65,0.07,0.87,0.03
0.83,0.82,0.66,0.58,0.17,0.88,0.1,0.2,0.27,0.54,0.18,0.71,0.27,0.57,0.1,0.96,0.04,0.84,0.14,0.8,0.04,0.45,0.14
0.83,0.82,0.66,0.58,0.17,0.88,0.11,0.21,0.27,0.55,0.19,0.71,0.27,0.57,0.11,0.96,0.04,0.84,0.14,0.81,0.04,0.45,0.14
0.79,0.81,0.61,0.56,0.2,0.83,0.16,0.18,0.54,0.51,0.35,0.39,0.54,0.18,0.16,0.92,0.06,0.95,0.04,0.79,0.06,0.69,0.04
