ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.46,0.07,0.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.06,0.0,1.0,0.89,0.06
0.55,0.44,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.73,0.18,0.0,1.0,0.67,0.18
0.52,0.47,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.57,0.72,0.13,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.86,0.06,0.0,1.0
0.52,0.47,0.08,0.02,0.49,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.91,0.06,0.0,1.0,0.84,0.06,0.0,1.0
0.59,0.73,0.18,0.97,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.92,0.05,0.0,1.0,0.89,0.05,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.53,0.47,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.53,0.42,0.0,1.0,0.2,0.42
0.56,0.71,0.05,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.56,0.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.53,0.38,0.17,0.0,0.36,0.0,0.67,0.0,1.0,0.0,0.83,0.0,1.0,0.33,0.67,0.0,1.0,0.86,0.07,0.0,1.0,0.86,0.07
0.62,0.71,0.23,0.74,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.95,0.03,0.0,1.0,0.92,0.03,0.0,1.0
0.58,0.71,0.12,0.84,0.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.16,0.0,1.0,0.65,0.16,0.0,1.0
0.48,0.57,-0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.61,0.55,0.26,0.59,0.14,0.57,0.26,0.4,0.2,0.48,0.23,0.77,0.2,0.6,0.26,0.99,0.01,0.97,0.02,0.97,0.01,0.97,0.02
0.63,0.7,0.23,0.72,0.14,0.68,0.32,0.43,0.55,0.56,0.44,0.05,0.55,0.01,0.32,0.95,0.04,0.74,0.21,0.91,0.04,0.44,0.21
0.65,0.72,0.29,0.81,0.09,0.76,0.22,0.64,0.25,0.7,0.23,0.55,0.25,0.22,0.22,0.95,0.03,0.83,0.13,0.91,0.03,0.65,0.13
0.56,0.72,0.08,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.84,0.07,0.0,1.0
0.55,0.66,0.03,0.54,0.23,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.71,0.22,0.0,1.0,0.54,0.22,0.0,1.0
0.59,0.53,0.23,0.63,0.1,0.54,0.24,0.47,0.13,0.51,0.18,0.85,0.13,0.67,0.24,0.89,0.09,0.77,0.14,0.71,0.09,0.76,0.14
0.5,0.23,0.14,0.07,0.19,0.08,0.29,0.0,1.0,0.04,0.65,0.0,1.0,0.7,0.29,0.0,1.0,0.93,0.03,0.0,1.0,0.94,0.03
0.61,0.73,0.22,0.91,0.04,0.0,1.0,0.74,0.26,0.37,0.63,0.02,0.26,0.0,1.0,0.96,0.02,0.0,1.0,0.95,0.02,0.0,1.0
0.64,0.66,0.29,0.67,0.13,0.62,0.32,0.48,0.27,0.55,0.3,0.64,0.27,0.36,0.32,0.98,0.01,0.9,0.06,0.95,0.01,0.85,0.06
0.62,0.73,0.24,0.88,0.06,0.9,0.1,0.66,0.34,0.78,0.22,0.02,0.34,0.07,0.1,1.0,0.0,0.45,0.4,1.0,0.0,0.39,0.4
0.61,0.66,0.21,0.55,0.23,0.0,1.0,0.25,0.75,0.12,0.88,0.01,0.75,0.0,1.0,0.88,0.08,0.0,1.0,0.79,0.08,0.0,1.0
0.65,0.71,0.29,0.69,0.15,0.64,0.35,0.43,0.44,0.54,0.4,0.34,0.44,0.08,0.35,0.98,0.02,0.74,0.22,0.95,0.02,0.44,0.22
0.56,0.5,0.17,0.07,0.44,0.06,0.91,0.01,0.75,0.03,0.83,0.25,0.75,0.04,0.91,0.78,0.19,0.59,0.34,0.44,0.19,0.35,0.34
0.58,0.65,0.15,0.42,0.26,0.33,0.62,0.19,0.59,0.26,0.6,0.32,0.59,0.11,0.62,0.76,0.19,0.59,0.31,0.55,0.19,0.44,0.31
0.61,0.57,0.27,0.45,0.21,0.39,0.45,0.25,0.32,0.32,0.39,0.64,0.32,0.36,0.45,0.97,0.02,0.89,0.07,0.91,0.02,0.85,0.07
0.63,0.71,0.25,0.8,0.09,0.74,0.24,0.55,0.32,0.65,0.28,0.48,0.32,0.26,0.24,0.81,0.14,0.73,0.21,0.67,0.14,0.54,0.21
0.66,0.7,0.31,0.85,0.06,0.82,0.14,0.76,0.12,0.79,0.13,0.81,0.12,0.57,0.14,0.93,0.05,0.99,0.01,0.85,0.05,0.98,0.01
