ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.61,0.73,0.23,0.91,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.92,0.05,0.0,1.0,0.89,0.05,0.0,1.0
0.62,0.73,0.25,0.88,0.06,0.0,1.0,0.67,0.33,0.34,0.67,0.04,0.33,0.0,1.0,0.95,0.03,0.0,1.0,0.92,0.03,0.0,1.0
0.67,0.74,0.33,0.79,0.1,0.81,0.19,0.51,0.43,0.66,0.31,0.24,0.43,0.12,0.19,0.99,0.01,0.94,0.05,0.98,0.01,0.84,0.05
0.68,0.73,0.34,0.72,0.13,0.73,0.26,0.41,0.48,0.57,0.37,0.27,0.48,0.14,0.26,0.95,0.03,0.93,0.05,0.9,0.03,0.84,0.05
0.68,0.73,0.35,0.71,0.14,0.71,0.28,0.41,0.44,0.56,0.36,0.38,0.44,0.18,0.28,0.97,0.02,0.91,0.07,0.93,0.02,0.81,0.07
0.68,0.72,0.34,0.7,0.14,0.7,0.28,0.4,0.43,0.55,0.35,0.39,0.43,0.22,0.28,0.96,0.03,0.96,0.03,0.91,0.03,0.91,0.03
0.68,0.73,0.35,0.72,0.13,0.74,0.24,0.42,0.41,0.58,0.32,0.41,0.41,0.27,0.24,0.96,0.03,1.0,0.0,0.91,0.03,1.0,0.0
