ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.59,0.73,0.18,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.92,0.05,0.0,1.0,0.89,0.05,0.0,1.0
0.61,0.73,0.2,0.9,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.96,0.02,0.0,1.0,0.94,0.02,0.0,1.0
0.61,0.73,0.21,0.89,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.97,0.02,0.0,1.0,0.96,0.02,0.0,1.0
0.61,0.73,0.22,0.89,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.98,0.01,0.0,1.0,0.97,0.01,0.0,1.0
0.63,0.72,0.24,0.82,0.09,0.8,0.2,0.58,0.4,0.69,0.3,0.12,0.4,0.02,0.2,1.0,0.0,0.74,0.23,0.99,0.0,0.3,0.23
0.63,0.73,0.24,0.83,0.08,0.81,0.19,0.59,0.38,0.7,0.29,0.12,0.38,0.02,0.19,1.0,0.0,0.75,0.23,1.0,0.0,0.3,0.23
0.63,0.72,0.24,0.83,0.08,0.81,0.19,0.61,0.37,0.71,0.28,0.12,0.37,0.02,0.19,0.99,0.01,0.74,0.23,0.99,0.01,0.3,0.23
0.63,0.72,0.25,0.82,0.09,0.8,0.2,0.58,0.39,0.69,0.3,0.15,0.39,0.04,0.2,1.0,0.0,0.78,0.19,1.0,0.0,0.43,0.19
0.64,0.72,0.26,0.8,0.1,0.77,0.23,0.55,0.4,0.66,0.32,0.21,0.4,0.05,0.23,1.0,0.0,0.76,0.2,0.99,0.0,0.41,0.2
0.64,0.72,0.26,0.8,0.1,0.77,0.22,0.56,0.4,0.67,0.31,0.21,0.4,0.05,0.22,0.99,0.0,0.77,0.2,0.99,0.0,0.42,0.2
0.64,0.73,0.26,0.81,0.09,0.78,0.21,0.58,0.38,0.68,0.29,0.21,0.38,0.03,0.21,1.0,0.0,0.74,0.23,1.0,0.0,0.31,0.23
0.64,0.73,0.26,0.81,0.09,0.78,0.21,0.58,0.38,0.68,0.29,0.22,0.38,0.03,0.21,1.0,0.0,0.73,0.24,0.99,0.0,0.29,0.24
0.64,0.72,0.25,0.82,0.09,0.79,0.21,0.58,0.38,0.69,0.29,0.19,0.38,0.04,0.21,1.0,0.0,0.75,0.22,0.99,0.0,0.35,0.22
0.63,0.73,0.25,0.82,0.09,0.8,0.19,0.59,0.38,0.7,0.29,0.16,0.38,0.04,0.19,1.0,0.0,0.78,0.19,1.0,0.0,0.43,0.19
0.63,0.73,0.25,0.84,0.08,0.83,0.17,0.62,0.36,0.72,0.27,0.17,0.36,0.04,0.17,0.99,0.0,0.8,0.17,0.99,0.0,0.46,0.17
