ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.03,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.79,0.54,0.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.93,0.06,0.0,1.0,0.64,0.06
0.77,0.0,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.01,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.78,0.12,0.19,0.1,0.02,0.12,0.07,0.28,0.01,0.2,0.04,0.99,0.01,0.93,0.07,0.41,0.48,0.8,0.18,0.28,0.48,0.38,0.18
0.78,0.13,0.2,0.23,0.02,0.29,0.06,0.72,0.0,0.51,0.03,1.0,0.0,0.94,0.06,0.45,0.46,0.8,0.18,0.25,0.46,0.37,0.18
0.81,0.48,0.39,0.12,0.14,0.16,0.36,0.15,0.08,0.15,0.22,0.92,0.08,0.61,0.36,0.57,0.29,0.88,0.11,0.54,0.29,0.48,0.11
0.78,0.09,0.17,0.16,0.01,0.22,0.04,0.9,0.0,0.56,0.02,1.0,0.0,0.96,0.04,0.48,0.48,0.8,0.18,0.14,0.48,0.37,0.18
0.78,0.14,0.21,0.22,0.02,0.35,0.05,0.85,0.0,0.6,0.03,1.0,0.0,0.94,0.05,0.58,0.38,0.8,0.18,0.2,0.38,0.37,0.18
0.79,0.23,0.27,0.28,0.03,0.49,0.07,0.59,0.0,0.54,0.04,1.0,0.0,0.92,0.07,0.66,0.28,0.81,0.17,0.36,0.28,0.37,0.17
