ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.74,0.58,0.43,0.14,0.3,0.08,0.8,0.12,0.34,0.1,0.57,0.64,0.34,0.14,0.8,0.3,0.34,0.98,0.02,0.6,0.34,0.8,0.02
0.77,0.01,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.79,0.37,0.31,0.31,0.08,0.22,0.23,0.57,0.03,0.39,0.13,0.97,0.03,0.75,0.23,0.29,0.49,0.85,0.14,0.39,0.49,0.43,0.14
0.68,0.55,0.4,0.22,0.31,0.17,0.79,0.16,0.46,0.17,0.62,0.5,0.46,0.05,0.79,0.44,0.24,0.94,0.06,0.71,0.24,0.38,0.06
0.78,0.2,0.21,0.74,0.01,0.74,0.03,0.48,0.01,0.61,0.02,0.99,0.01,0.96,0.03,0.36,0.51,0.81,0.17,0.28,0.51,0.37,0.17
0.78,0.15,0.18,0.88,0.0,0.81,0.02,0.23,0.02,0.52,0.02,0.98,0.02,0.98,0.02,0.39,0.53,0.8,0.18,0.21,0.53,0.35,0.18
0.8,0.34,0.31,0.29,0.06,0.37,0.15,0.54,0.02,0.46,0.08,0.98,0.02,0.83,0.15,0.49,0.38,0.84,0.15,0.4,0.38,0.4,0.15
0.8,0.39,0.34,0.34,0.07,0.48,0.15,0.57,0.02,0.52,0.08,0.98,0.02,0.82,0.15,0.54,0.34,0.84,0.14,0.44,0.34,0.4,0.14
