ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.36,0.2
0.76,0.08,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.37,0.19
0.76,0.08,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.37,0.19
0.79,0.29,0.29,0.0,0.08,0.01,0.21,0.0,1.0,0.01,0.6,0.0,1.0,0.79,0.21,0.0,1.0,0.82,0.16,0.0,1.0,0.42,0.16
0.77,0.1,0.17,0.01,0.02,0.04,0.06,0.0,1.0,0.02,0.53,0.0,1.0,0.94,0.06,0.0,1.0,0.79,0.19,0.0,1.0,0.37,0.19
0.77,0.09,0.16,0.45,0.01,0.94,0.0,0.98,0.0,0.96,0.0,1.0,0.0,1.0,0.0,0.75,0.22,0.78,0.19,0.34,0.22,0.36,0.19
0.8,0.54,0.42,0.19,0.17,0.22,0.43,0.23,0.11,0.23,0.27,0.89,0.11,0.51,0.43,0.51,0.32,0.9,0.09,0.53,0.32,0.54,0.09
0.81,0.52,0.42,0.2,0.14,0.24,0.37,0.27,0.07,0.26,0.22,0.93,0.07,0.58,0.37,0.52,0.33,0.89,0.1,0.48,0.33,0.5,0.1
0.82,0.55,0.45,0.06,0.18,0.11,0.47,0.05,0.1,0.08,0.28,0.9,0.1,0.5,0.47,0.87,0.09,0.9,0.09,0.78,0.09,0.55,0.09
0.82,0.55,0.45,0.06,0.18,0.12,0.47,0.05,0.11,0.08,0.29,0.89,0.11,0.5,0.47,0.84,0.11,0.91,0.08,0.75,0.11,0.56,0.08
0.8,0.35,0.35,0.05,0.09,0.15,0.22,0.01,0.03,0.08,0.12,0.97,0.03,0.77,0.22,0.86,0.13,0.83,0.15,0.34,0.13,0.42,0.15
0.8,0.34,0.35,0.13,0.07,0.28,0.18,0.17,0.02,0.23,0.1,0.98,0.02,0.81,0.18,0.81,0.15,0.83,0.15,0.56,0.15,0.41,0.15
0.81,0.46,0.41,0.04,0.13,0.11,0.34,0.01,0.06,0.06,0.2,0.94,0.06,0.65,0.34,0.8,0.19,0.87,0.12,0.25,0.19,0.47,0.12
0.82,0.52,0.44,0.04,0.16,0.12,0.41,0.0,0.08,0.06,0.24,0.92,0.08,0.57,0.41,0.75,0.24,0.89,0.1,0.16,0.24,0.51,0.1
0.82,0.56,0.46,0.03,0.19,0.09,0.49,0.0,0.12,0.04,0.3,0.88,0.12,0.48,0.49,0.71,0.27,0.91,0.08,0.16,0.27,0.57,0.08
0.79,0.24,0.29,0.26,0.04,0.64,0.05,0.31,0.01,0.47,0.03,0.99,0.01,0.94,0.05,0.91,0.08,0.8,0.18,0.64,0.08,0.37,0.18
0.8,0.39,0.37,0.22,0.08,0.46,0.15,0.28,0.02,0.37,0.08,0.98,0.02,0.83,0.15,0.8,0.16,0.83,0.15,0.57,0.16,0.4,0.15
0.81,0.5,0.43,0.33,0.1,0.61,0.16,0.39,0.04,0.5,0.1,0.96,0.04,0.79,0.16,0.75,0.18,0.85,0.13,0.59,0.18,0.4,0.13
0.81,0.46,0.42,0.09,0.12,0.22,0.29,0.05,0.05,0.14,0.17,0.95,0.05,0.68,0.29,0.95,0.04,0.86,0.12,0.82,0.04,0.45,0.12
0.82,0.49,0.43,0.05,0.14,0.13,0.37,0.02,0.07,0.07,0.22,0.93,0.07,0.61,0.37,0.85,0.13,0.88,0.11,0.48,0.13,0.49,0.11
0.82,0.52,0.45,0.07,0.15,0.19,0.38,0.02,0.08,0.1,0.23,0.92,0.08,0.59,0.38,0.84,0.14,0.89,0.1,0.5,0.14,0.5,0.1
0.82,0.53,0.45,0.04,0.16,0.11,0.42,0.01,0.08,0.06,0.25,0.92,0.08,0.55,0.42,0.8,0.18,0.89,0.1,0.33,0.18,0.52,0.1
