ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.27,0.21,0.0,1.0
0.87,0.93,0.4,0.84,0.08,0.84,0.15,0.63,0.22,0.73,0.18,0.64,0.22,0.28,0.15,0.88,0.11,0.67,0.18,0.31,0.11,0.71,0.18
0.9,0.94,0.38,0.89,0.06,0.9,0.1,0.64,0.29,0.77,0.2,0.41,0.29,0.15,0.1,0.86,0.13,0.77,0.15,0.34,0.13,0.71,0.15
0.9,0.95,0.32,0.93,0.03,0.95,0.05,0.74,0.24,0.84,0.14,0.25,0.24,0.05,0.05,0.83,0.16,0.97,0.03,0.32,0.16,0.91,0.03
0.9,0.94,0.3,0.94,0.03,0.95,0.05,0.77,0.22,0.86,0.14,0.22,0.22,0.03,0.05,0.82,0.16,0.92,0.06,0.31,0.16,0.78,0.06
0.9,0.94,0.32,0.93,0.03,0.94,0.06,0.73,0.25,0.83,0.15,0.24,0.25,0.05,0.06,0.83,0.16,0.98,0.01,0.32,0.16,0.96,0.01
0.89,0.94,0.25,0.95,0.03,0.96,0.04,0.79,0.21,0.88,0.12,0.12,0.21,0.04,0.04,0.81,0.17,0.83,0.12,0.31,0.17,0.72,0.12
0.9,0.94,0.31,0.93,0.03,0.95,0.05,0.73,0.25,0.84,0.15,0.2,0.25,0.05,0.05,0.83,0.16,0.94,0.04,0.32,0.16,0.86,0.04
0.9,0.94,0.31,0.93,0.03,0.95,0.05,0.72,0.26,0.83,0.15,0.17,0.26,0.05,0.05,0.83,0.16,0.9,0.07,0.33,0.16,0.79,0.07
0.9,0.94,0.29,0.94,0.03,0.95,0.05,0.73,0.26,0.84,0.15,0.14,0.26,0.04,0.05,0.83,0.16,0.88,0.08,0.32,0.16,0.78,0.08
0.9,0.95,0.35,0.91,0.04,0.93,0.07,0.64,0.33,0.79,0.2,0.2,0.33,0.04,0.07,0.85,0.14,0.98,0.02,0.35,0.14,0.95,0.02
