ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.58,0.67,0.15,0.78,0.1,0.71,0.26,0.55,0.35,0.63,0.3,0.39,0.35,0.27,0.26,0.76,0.17,0.72,0.2,0.64,0.17,0.6,0.2
0.65,0.71,0.3,0.87,0.05,0.86,0.12,0.78,0.13,0.82,0.12,0.75,0.13,0.55,0.12,0.89,0.08,0.96,0.03,0.8,0.08,0.92,0.03
0.67,0.71,0.32,0.82,0.08,0.8,0.18,0.69,0.18,0.74,0.18,0.7,0.18,0.43,0.18,0.9,0.07,0.99,0.01,0.82,0.07,0.97,0.01
0.67,0.71,0.32,0.78,0.1,0.76,0.22,0.58,0.28,0.67,0.25,0.55,0.28,0.3,0.22,0.94,0.04,0.95,0.03,0.89,0.04,0.9,0.03
0.68,0.72,0.35,0.77,0.1,0.76,0.22,0.57,0.26,0.67,0.24,0.6,0.26,0.32,0.22,0.95,0.04,0.95,0.03,0.89,0.04,0.89,0.03
0.68,0.71,0.35,0.74,0.11,0.73,0.24,0.52,0.29,0.62,0.27,0.57,0.29,0.3,0.24,0.97,0.02,0.95,0.04,0.93,0.02,0.89,0.04
0.68,0.72,0.35,0.75,0.11,0.73,0.25,0.53,0.3,0.63,0.28,0.55,0.3,0.26,0.25,0.96,0.03,0.91,0.06,0.92,0.03,0.81,0.06
0.67,0.72,0.34,0.77,0.1,0.75,0.23,0.57,0.28,0.66,0.26,0.56,0.28,0.26,0.23,0.94,0.04,0.91,0.06,0.89,0.04,0.81,0.06
0.67,0.71,0.33,0.76,0.11,0.76,0.21,0.53,0.3,0.65,0.26,0.55,0.3,0.35,0.21,0.97,0.02,1.0,0.0,0.93,0.02,1.0,0.0
0.67,0.72,0.33,0.8,0.09,0.8,0.18,0.59,0.26,0.7,0.22,0.59,0.26,0.4,0.18,0.95,0.03,0.98,0.01,0.9,0.03,0.96,0.01
0.68,0.71,0.35,0.77,0.1,0.77,0.2,0.57,0.24,0.67,0.22,0.65,0.24,0.42,0.2,0.95,0.03,0.99,0.01,0.9,0.03,0.98,0.01
0.68,0.72,0.34,0.81,0.08,0.81,0.16,0.63,0.21,0.72,0.18,0.67,0.21,0.46,0.16,0.94,0.04,0.97,0.02,0.87,0.04,0.95,0.02
0.68,0.71,0.34,0.78,0.09,0.78,0.19,0.59,0.23,0.69,0.21,0.65,0.23,0.42,0.19,0.94,0.04,0.99,0.0,0.88,0.04,0.99,0.0
0.68,0.71,0.35,0.79,0.09,0.79,0.18,0.61,0.21,0.7,0.2,0.68,0.21,0.45,0.18,0.94,0.04,0.99,0.01,0.87,0.04,0.98,0.01
0.67,0.71,0.34,0.82,0.08,0.81,0.16,0.68,0.18,0.75,0.17,0.72,0.18,0.47,0.16,0.92,0.06,0.99,0.01,0.83,0.06,0.97,0.01
0.68,0.71,0.34,0.81,0.08,0.8,0.17,0.65,0.19,0.73,0.18,0.7,0.19,0.45,0.17,0.92,0.05,0.99,0.0,0.85,0.05,0.99,0.0
0.67,0.71,0.34,0.82,0.08,0.81,0.16,0.67,0.18,0.74,0.17,0.71,0.18,0.47,0.16,0.92,0.06,0.99,0.01,0.84,0.06,0.97,0.01
0.68,0.72,0.35,0.82,0.08,0.82,0.15,0.67,0.18,0.74,0.16,0.71,0.18,0.48,0.15,0.92,0.05,0.98,0.01,0.84,0.05,0.96,0.01
0.67,0.72,0.34,0.81,0.08,0.8,0.17,0.65,0.2,0.73,0.18,0.69,0.2,0.44,0.17,0.92,0.05,1.0,0.0,0.84,0.05,1.0,0.0
0.67,0.71,0.33,0.8,0.08,0.8,0.18,0.63,0.21,0.72,0.2,0.66,0.21,0.43,0.18,0.93,0.05,0.99,0.01,0.86,0.05,0.98,0.01
0.67,0.71,0.34,0.79,0.09,0.79,0.19,0.6,0.24,0.7,0.21,0.62,0.24,0.4,0.19,0.94,0.04,1.0,0.0,0.88,0.04,0.99,0.0
0.67,0.71,0.34,0.78,0.09,0.77,0.2,0.59,0.23,0.68,0.22,0.65,0.23,0.41,0.2,0.94,0.04,0.99,0.0,0.87,0.04,0.99,0.0
