ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.45,0.56,0.2,0.46,0.15,0.47,0.22,0.32,0.07,0.4,0.15,0.93,0.07,0.73,0.22,0.95,0.05,0.33,0.22,0.29,0.05,0.75,0.22
0.89,0.94,0.08,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.22,0.0,1.0,0.25,0.22,0.0,1.0
0.9,0.95,0.28,0.93,0.04,0.93,0.07,0.73,0.26,0.83,0.17,0.16,0.26,0.03,0.07,0.82,0.17,0.97,0.02,0.3,0.17,0.94,0.02
0.9,0.95,0.23,0.96,0.02,0.0,1.0,0.81,0.18,0.41,0.59,0.06,0.18,0.0,1.0,0.8,0.18,0.0,1.0,0.28,0.18,0.0,1.0
0.83,0.9,0.4,0.64,0.17,0.6,0.35,0.29,0.32,0.44,0.33,0.64,0.32,0.25,0.35,0.94,0.05,0.63,0.16,0.42,0.05,0.78,0.16
0.61,0.72,0.28,0.51,0.18,0.5,0.31,0.35,0.11,0.42,0.21,0.88,0.11,0.56,0.31,0.95,0.05,0.4,0.21,0.29,0.05,0.75,0.21
0.59,0.71,0.27,0.49,0.18,0.47,0.31,0.27,0.12,0.37,0.21,0.88,0.12,0.57,0.31,0.96,0.04,0.39,0.22,0.35,0.04,0.75,0.22
0.9,0.95,0.26,0.95,0.03,0.96,0.04,0.77,0.23,0.86,0.14,0.09,0.23,0.02,0.04,0.81,0.17,0.94,0.04,0.29,0.17,0.88,0.04
0.9,0.95,0.28,0.95,0.03,0.96,0.04,0.76,0.23,0.86,0.14,0.12,0.23,0.02,0.04,0.82,0.17,1.0,0.0,0.29,0.17,1.0,0.0
0.9,0.95,0.29,0.93,0.03,0.95,0.05,0.71,0.28,0.83,0.17,0.1,0.28,0.02,0.05,0.83,0.16,0.96,0.03,0.31,0.16,0.91,0.03
0.9,0.95,0.23,0.97,0.02,0.0,1.0,0.84,0.16,0.42,0.58,0.07,0.16,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.27,0.93,0.03,0.94,0.06,0.72,0.28,0.83,0.17,0.07,0.28,0.01,0.06,0.82,0.16,0.94,0.04,0.3,0.16,0.87,0.04
0.9,0.95,0.28,0.94,0.03,0.0,1.0,0.72,0.27,0.36,0.64,0.05,0.27,0.0,1.0,0.82,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.26,0.94,0.03,0.0,1.0,0.76,0.23,0.38,0.61,0.08,0.23,0.0,1.0,0.81,0.17,0.0,1.0,0.29,0.17,0.0,1.0
0.87,0.93,0.42,0.73,0.13,0.72,0.27,0.36,0.37,0.54,0.32,0.53,0.37,0.19,0.27,0.93,0.07,0.7,0.15,0.41,0.07,0.77,0.15
0.9,0.95,0.18,0.98,0.01,0.0,1.0,0.89,0.11,0.45,0.56,0.07,0.11,0.0,1.0,0.79,0.2,0.0,1.0,0.27,0.2,0.0,1.0
0.9,0.94,0.14,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.26,0.2,0.0,1.0
0.9,0.95,0.28,0.94,0.03,0.0,1.0,0.73,0.26,0.36,0.63,0.04,0.26,0.0,1.0,0.82,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.31,0.91,0.05,0.92,0.08,0.63,0.36,0.78,0.22,0.07,0.36,0.0,0.08,0.84,0.15,0.76,0.21,0.33,0.15,0.37,0.21
0.9,0.95,0.33,0.87,0.06,0.88,0.12,0.54,0.45,0.71,0.29,0.06,0.45,0.01,0.12,0.87,0.13,0.99,0.01,0.36,0.13,0.98,0.01
0.9,0.95,0.23,0.96,0.02,0.0,1.0,0.81,0.19,0.41,0.59,0.02,0.19,0.0,1.0,0.8,0.18,0.0,1.0,0.28,0.18,0.0,1.0
0.9,0.95,0.2,0.97,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.26,0.94,0.03,0.0,1.0,0.74,0.26,0.37,0.63,0.03,0.26,0.0,1.0,0.82,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.34,0.82,0.09,0.82,0.18,0.43,0.55,0.62,0.36,0.07,0.55,0.02,0.18,0.89,0.1,0.92,0.04,0.41,0.1,0.91,0.04
0.9,0.95,0.27,0.94,0.03,0.0,1.0,0.72,0.28,0.36,0.64,0.03,0.28,0.0,1.0,0.82,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.19,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19,0.0,1.0,0.28,0.19,0.0,1.0
