ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.55,0.3,0.0,1.0,0.52,0.3
0.81,0.81,0.63,0.57,0.18,0.85,0.13,0.21,0.35,0.53,0.24,0.62,0.35,0.45,0.13,0.97,0.03,0.85,0.13,0.88,0.03,0.47,0.13
0.79,0.8,0.6,0.51,0.23,0.77,0.22,0.13,0.61,0.45,0.41,0.33,0.61,0.1,0.22,0.87,0.1,0.99,0.01,0.66,0.1,0.92,0.01
0.79,0.81,0.6,0.54,0.21,0.8,0.19,0.16,0.57,0.48,0.38,0.36,0.57,0.15,0.19,0.91,0.07,0.96,0.04,0.76,0.07,0.74,0.04
0.81,0.78,0.62,0.64,0.12,0.96,0.03,0.43,0.1,0.69,0.07,0.89,0.1,0.91,0.03,0.94,0.05,0.75,0.22,0.69,0.05,0.38,0.22
0.82,0.82,0.64,0.56,0.18,0.84,0.15,0.21,0.35,0.53,0.25,0.61,0.35,0.39,0.15,0.97,0.02,0.88,0.11,0.9,0.02,0.52,0.11
0.81,0.81,0.63,0.63,0.15,0.9,0.08,0.32,0.26,0.61,0.17,0.7,0.26,0.59,0.08,0.96,0.04,0.83,0.15,0.85,0.04,0.41,0.15
0.82,0.8,0.63,0.65,0.13,0.96,0.03,0.39,0.15,0.68,0.09,0.84,0.15,0.88,0.03,0.94,0.05,0.77,0.21,0.77,0.05,0.36,0.21
0.82,0.81,0.63,0.64,0.14,0.94,0.05,0.37,0.19,0.66,0.12,0.79,0.19,0.78,0.05,0.94,0.05,0.79,0.19,0.78,0.05,0.37,0.19
0.82,0.8,0.63,0.66,0.12,0.99,0.01,0.41,0.13,0.7,0.07,0.86,0.13,0.96,0.01,0.94,0.05,0.75,0.22,0.74,0.05,0.35,0.22
0.81,0.81,0.62,0.51,0.21,0.77,0.21,0.15,0.42,0.46,0.32,0.54,0.42,0.27,0.21,0.92,0.06,0.91,0.07,0.74,0.06,0.64,0.07
0.82,0.8,0.63,0.65,0.13,0.99,0.01,0.39,0.14,0.69,0.08,0.85,0.14,0.95,0.01,0.95,0.04,0.75,0.22,0.76,0.04,0.35,0.22
0.81,0.8,0.61,0.71,0.11,1.0,0.0,0.55,0.13,0.78,0.07,0.85,0.13,0.99,0.0,0.87,0.11,0.77,0.21,0.61,0.11,0.32,0.21
0.82,0.8,0.64,0.62,0.14,0.93,0.05,0.32,0.18,0.62,0.11,0.81,0.18,0.79,0.05,0.97,0.02,0.78,0.2,0.88,0.02,0.38,0.2
0.81,0.79,0.63,0.62,0.14,0.93,0.06,0.35,0.14,0.64,0.1,0.85,0.14,0.81,0.06,0.96,0.04,0.77,0.2,0.8,0.04,0.4,0.2
0.82,0.8,0.63,0.66,0.12,1.0,0.0,0.42,0.12,0.71,0.06,0.87,0.12,0.99,0.0,0.94,0.05,0.74,0.23,0.73,0.05,0.34,0.23
0.79,0.81,0.6,0.56,0.2,0.83,0.17,0.19,0.53,0.51,0.35,0.39,0.53,0.2,0.17,0.94,0.05,0.93,0.06,0.83,0.05,0.63,0.06
0.82,0.81,0.64,0.61,0.16,0.89,0.1,0.28,0.27,0.58,0.18,0.7,0.27,0.57,0.1,0.98,0.02,0.83,0.15,0.93,0.02,0.43,0.15
0.81,0.79,0.62,0.62,0.13,0.93,0.05,0.37,0.13,0.65,0.09,0.86,0.13,0.83,0.05,0.95,0.04,0.76,0.21,0.76,0.04,0.4,0.21
