ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.7,0.1,1.0,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.64,0.01,0.0,1.0,0.81,0.11,0.0,1.0,0.77,0.11,0.0,1.0
