ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.77,0.15,0.16,0.83,0.01,0.74,0.02,0.48,0.01,0.61,0.01,0.99,0.01,0.98,0.02,0.28,0.55,0.78,0.2,0.31,0.55,0.32,0.2
0.78,0.29,0.26,0.35,0.05,0.33,0.14,0.7,0.01,0.52,0.08,0.99,0.01,0.85,0.14,0.3,0.5,0.81,0.17,0.37,0.5,0.35,0.17
0.77,0.57,0.42,0.39,0.17,0.26,0.53,0.48,0.12,0.37,0.33,0.86,0.12,0.36,0.53,0.25,0.43,0.94,0.05,0.5,0.43,0.62,0.05
0.71,0.57,0.43,0.49,0.18,0.37,0.57,0.49,0.21,0.43,0.39,0.74,0.21,0.15,0.57,0.3,0.34,0.99,0.01,0.6,0.34,0.87,0.01
0.64,0.55,0.4,0.69,0.12,0.62,0.37,0.69,0.16,0.66,0.27,0.76,0.16,0.09,0.37,0.33,0.3,0.97,0.03,0.64,0.3,0.53,0.03
0.67,0.55,0.4,0.83,0.06,0.76,0.22,0.98,0.01,0.87,0.12,0.99,0.01,0.34,0.22,0.31,0.34,0.98,0.02,0.59,0.34,0.71,0.02
0.69,0.56,0.41,0.72,0.1,0.66,0.3,0.81,0.07,0.74,0.18,0.89,0.07,0.29,0.3,0.33,0.34,0.98,0.02,0.6,0.34,0.77,0.02
0.65,0.55,0.41,0.75,0.09,0.73,0.25,0.79,0.1,0.76,0.17,0.84,0.1,0.19,0.25,0.35,0.31,1.0,0.0,0.64,0.31,0.95,0.0
0.67,0.56,0.41,0.76,0.09,0.73,0.24,0.84,0.07,0.78,0.15,0.89,0.07,0.26,0.24,0.34,0.32,0.99,0.01,0.62,0.32,0.83,0.01
0.69,0.57,0.42,0.65,0.12,0.63,0.33,0.68,0.13,0.66,0.23,0.82,0.13,0.24,0.33,0.36,0.32,0.99,0.01,0.62,0.32,0.85,0.01
0.71,0.58,0.44,0.52,0.17,0.5,0.45,0.5,0.21,0.5,0.33,0.74,0.21,0.17,0.45,0.38,0.3,1.0,0.0,0.63,0.3,0.97,0.0
0.68,0.57,0.42,0.62,0.14,0.63,0.34,0.61,0.17,0.62,0.26,0.77,0.17,0.2,0.34,0.38,0.3,1.0,0.0,0.64,0.3,0.93,0.0
0.6,0.53,0.39,0.72,0.12,0.79,0.21,0.66,0.2,0.73,0.21,0.68,0.2,0.11,0.21,0.41,0.25,0.99,0.01,0.7,0.25,0.67,0.01
0.56,0.51,0.36,0.76,0.1,0.87,0.13,0.69,0.2,0.78,0.17,0.65,0.2,0.12,0.13,0.42,0.23,0.99,0.01,0.72,0.23,0.78,0.01
0.56,0.51,0.36,0.74,0.11,0.86,0.14,0.66,0.23,0.76,0.18,0.61,0.23,0.09,0.14,0.43,0.23,0.99,0.01,0.73,0.23,0.59,0.01
0.56,0.51,0.36,0.75,0.11,0.87,0.13,0.67,0.21,0.77,0.17,0.63,0.21,0.12,0.13,0.43,0.23,0.99,0.01,0.72,0.23,0.77,0.01
0.53,0.5,0.34,0.73,0.12,0.87,0.13,0.61,0.28,0.74,0.21,0.5,0.28,0.06,0.13,0.46,0.21,0.99,0.01,0.75,0.21,0.5,0.01
0.54,0.5,0.34,0.69,0.14,0.84,0.15,0.56,0.32,0.7,0.23,0.47,0.32,0.05,0.15,0.48,0.2,0.98,0.02,0.76,0.2,0.41,0.02
