ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.03,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.32,0.21
0.77,0.11,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.33,0.2
0.79,0.26,0.27,0.0,0.07,0.02,0.18,0.0,1.0,0.01,0.59,0.0,1.0,0.82,0.18,0.0,1.0,0.81,0.18,0.0,1.0,0.35,0.18
0.8,0.39,0.34,0.05,0.11,0.08,0.28,0.08,0.05,0.08,0.17,0.95,0.05,0.71,0.28,0.5,0.36,0.83,0.15,0.45,0.36,0.39,0.15
0.81,0.47,0.39,0.09,0.14,0.1,0.36,0.15,0.06,0.12,0.21,0.93,0.06,0.62,0.36,0.38,0.43,0.86,0.13,0.41,0.43,0.42,0.13
0.81,0.5,0.41,0.14,0.14,0.17,0.37,0.2,0.07,0.18,0.22,0.93,0.07,0.6,0.37,0.45,0.38,0.87,0.12,0.45,0.38,0.43,0.12
0.81,0.52,0.42,0.17,0.15,0.2,0.39,0.25,0.08,0.23,0.24,0.92,0.08,0.57,0.39,0.43,0.39,0.88,0.11,0.45,0.39,0.44,0.11
0.81,0.54,0.43,0.19,0.15,0.21,0.41,0.26,0.08,0.23,0.24,0.92,0.08,0.55,0.41,0.41,0.39,0.88,0.11,0.46,0.39,0.46,0.11
0.81,0.54,0.43,0.21,0.15,0.24,0.4,0.29,0.08,0.27,0.24,0.92,0.08,0.54,0.4,0.43,0.38,0.89,0.1,0.47,0.38,0.46,0.1
0.81,0.55,0.44,0.22,0.16,0.25,0.4,0.3,0.09,0.28,0.24,0.91,0.09,0.54,0.4,0.43,0.38,0.89,0.1,0.47,0.38,0.46,0.1
0.81,0.55,0.44,0.23,0.16,0.28,0.39,0.3,0.09,0.29,0.24,0.91,0.09,0.54,0.39,0.45,0.36,0.89,0.1,0.49,0.36,0.46,0.1
0.81,0.56,0.44,0.25,0.16,0.3,0.39,0.33,0.09,0.32,0.24,0.91,0.09,0.53,0.39,0.45,0.36,0.89,0.1,0.49,0.36,0.46,0.1
0.81,0.56,0.44,0.27,0.15,0.31,0.39,0.36,0.09,0.33,0.24,0.91,0.09,0.53,0.39,0.43,0.37,0.89,0.1,0.49,0.37,0.46,0.1
0.8,0.56,0.44,0.31,0.15,0.37,0.36,0.4,0.08,0.39,0.22,0.91,0.08,0.55,0.36,0.44,0.36,0.89,0.1,0.5,0.36,0.45,0.1
0.8,0.56,0.44,0.34,0.14,0.4,0.34,0.43,0.08,0.42,0.21,0.91,0.08,0.56,0.34,0.45,0.35,0.89,0.1,0.5,0.35,0.44,0.1
