ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.81,0.55,0.44,0.0,0.22,0.01,0.57,0.0,1.0,0.01,0.78,0.0,1.0,0.43,0.57,0.0,1.0,0.91,0.09,0.0,1.0,0.53,0.09
0.77,0.05,0.12,0.03,0.01,0.12,0.02,0.0,1.0,0.06,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.77,0.2,0.0,1.0,0.32,0.2
0.78,0.21,0.23,0.3,0.03,0.33,0.09,0.75,0.0,0.54,0.04,1.0,0.0,0.91,0.09,0.36,0.51,0.79,0.19,0.29,0.51,0.33,0.19
0.79,0.33,0.31,0.32,0.06,0.39,0.15,0.65,0.01,0.52,0.08,0.99,0.01,0.84,0.15,0.4,0.45,0.82,0.17,0.36,0.45,0.35,0.17
0.78,0.22,0.25,0.22,0.04,0.32,0.1,0.48,0.01,0.4,0.06,0.99,0.01,0.9,0.1,0.48,0.41,0.8,0.18,0.34,0.41,0.33,0.18
0.8,0.58,0.46,0.12,0.22,0.18,0.53,0.12,0.17,0.15,0.35,0.83,0.17,0.4,0.53,0.59,0.25,0.92,0.07,0.62,0.25,0.54,0.07
0.82,0.52,0.43,0.07,0.16,0.11,0.42,0.09,0.08,0.1,0.25,0.92,0.08,0.56,0.42,0.55,0.31,0.88,0.11,0.49,0.31,0.45,0.11
0.82,0.51,0.43,0.04,0.16,0.06,0.43,0.04,0.08,0.05,0.26,0.92,0.08,0.55,0.43,0.68,0.23,0.88,0.11,0.57,0.23,0.46,0.11
0.82,0.59,0.48,0.03,0.23,0.06,0.6,0.03,0.16,0.04,0.38,0.84,0.16,0.38,0.6,0.73,0.17,0.93,0.07,0.68,0.17,0.58,0.07
0.82,0.58,0.47,0.04,0.21,0.07,0.56,0.04,0.14,0.06,0.35,0.86,0.14,0.42,0.56,0.69,0.2,0.91,0.08,0.64,0.2,0.54,0.08
0.82,0.48,0.42,0.05,0.14,0.12,0.36,0.05,0.06,0.08,0.21,0.94,0.06,0.63,0.36,0.83,0.13,0.86,0.13,0.67,0.13,0.42,0.13
0.82,0.48,0.42,0.05,0.13,0.1,0.36,0.05,0.06,0.08,0.21,0.94,0.06,0.63,0.36,0.8,0.15,0.86,0.13,0.63,0.15,0.42,0.13
0.78,0.19,0.26,0.04,0.04,0.14,0.1,0.0,1.0,0.07,0.55,0.0,1.0,0.9,0.1,0.0,1.0,0.79,0.19,0.0,1.0,0.34,0.19
0.82,0.57,0.47,0.03,0.2,0.07,0.52,0.02,0.12,0.05,0.32,0.88,0.12,0.46,0.52,0.94,0.04,0.9,0.09,0.88,0.04,0.51,0.09
0.81,0.41,0.39,0.03,0.1,0.11,0.28,0.0,1.0,0.06,0.64,0.0,1.0,0.71,0.28,0.0,1.0,0.84,0.15,0.0,1.0,0.39,0.15
0.82,0.54,0.46,0.04,0.17,0.12,0.43,0.02,0.08,0.07,0.26,0.92,0.08,0.54,0.43,0.89,0.09,0.88,0.11,0.68,0.09,0.46,0.11
0.81,0.4,0.39,0.12,0.09,0.34,0.19,0.08,0.03,0.21,0.11,0.97,0.03,0.79,0.19,0.99,0.01,0.83,0.16,0.96,0.01,0.36,0.16
