ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.99,0.0,0.97,0.02,0.88,0.04,0.94,0.04,0.94,0.02,0.86,0.09,0.71,0.16,0.81,0.09,0.74,0.16
0.61,0.77,0.1,0.74,0.23,0.37,0.35,0.56,0.35,0.35,0.23,0.93,0.04,0.84,0.1,0.9,0.04,0.8,0.1
0.64,0.76,0.11,0.74,0.24,0.4,0.35,0.54,0.35,0.27,0.24,0.95,0.03,0.98,0.01,0.91,0.03,0.96,0.01
0.66,0.8,0.1,0.8,0.19,0.28,0.39,0.53,0.39,0.14,0.19,0.98,0.01,0.94,0.04,0.97,0.01,0.85,0.04
0.66,0.77,0.11,0.75,0.23,0.41,0.35,0.54,0.35,0.21,0.23,0.96,0.03,0.94,0.05,0.93,0.03,0.87,0.05
0.68,0.79,0.09,0.78,0.19,0.61,0.25,0.58,0.25,0.37,0.19,0.95,0.04,0.99,0.01,0.89,0.04,0.98,0.01
0.68,0.83,0.07,0.85,0.12,0.7,0.19,0.65,0.19,0.56,0.12,0.95,0.04,0.92,0.05,0.88,0.04,0.85,0.05
0.69,0.86,0.06,0.89,0.09,0.76,0.15,0.7,0.15,0.67,0.09,0.94,0.04,0.89,0.07,0.86,0.04,0.8,0.07
0.68,0.89,0.05,0.94,0.05,0.8,0.12,0.75,0.12,0.81,0.05,0.93,0.05,0.85,0.1,0.85,0.05,0.74,0.1
0.69,0.86,0.06,0.89,0.09,0.79,0.13,0.73,0.13,0.68,0.09,0.93,0.05,0.9,0.07,0.84,0.05,0.82,0.07
0.69,0.89,0.05,0.94,0.05,0.82,0.12,0.76,0.12,0.79,0.05,0.93,0.05,0.87,0.09,0.84,0.05,0.76,0.09
0.69,0.89,0.05,0.93,0.06,0.78,0.13,0.74,0.13,0.77,0.06,0.93,0.05,0.87,0.1,0.85,0.05,0.75,0.1
0.69,0.89,0.05,0.94,0.05,0.81,0.12,0.75,0.12,0.8,0.05,0.93,0.05,0.86,0.1,0.85,0.05,0.74,0.1
0.69,0.89,0.05,0.94,0.05,0.8,0.12,0.75,0.12,0.8,0.05,0.93,0.05,0.86,0.1,0.85,0.05,0.75,0.1
0.69,0.89,0.04,0.95,0.04,0.82,0.11,0.77,0.11,0.84,0.04,0.93,0.05,0.85,0.11,0.85,0.05,0.73,0.11
0.69,0.9,0.04,0.97,0.03,0.84,0.1,0.78,0.1,0.89,0.03,0.93,0.05,0.83,0.12,0.85,0.05,0.71,0.12
0.69,0.92,0.03,0.98,0.02,0.86,0.09,0.81,0.09,0.93,0.02,0.92,0.06,0.83,0.12,0.83,0.06,0.7,0.12
0.69,0.91,0.04,0.96,0.03,0.84,0.1,0.79,0.1,0.88,0.03,0.93,0.05,0.84,0.11,0.84,0.05,0.72,0.11
0.69,0.92,0.03,0.99,0.01,0.84,0.1,0.79,0.1,0.96,0.01,0.93,0.05,0.82,0.13,0.85,0.05,0.68,0.13
0.69,0.89,0.04,0.94,0.05,0.82,0.11,0.76,0.11,0.82,0.05,0.93,0.05,0.86,0.1,0.85,0.05,0.74,0.1
0.69,0.88,0.05,0.94,0.05,0.8,0.13,0.74,0.13,0.8,0.05,0.94,0.04,0.86,0.1,0.86,0.04,0.74,0.1
0.69,0.86,0.06,0.9,0.08,0.77,0.15,0.69,0.15,0.7,0.08,0.95,0.04,0.88,0.08,0.88,0.04,0.78,0.08
0.69,0.86,0.06,0.9,0.09,0.68,0.2,0.66,0.2,0.63,0.09,0.96,0.03,0.88,0.08,0.9,0.03,0.77,0.08
0.69,0.83,0.07,0.87,0.11,0.62,0.24,0.6,0.24,0.58,0.11,0.97,0.02,0.88,0.08,0.94,0.02,0.78,0.08
0.69,0.85,0.07,0.89,0.09,0.68,0.2,0.64,0.2,0.61,0.09,0.96,0.03,0.89,0.08,0.91,0.03,0.79,0.08
0.69,0.88,0.05,0.91,0.07,0.81,0.12,0.75,0.12,0.71,0.07,0.93,0.05,0.9,0.07,0.83,0.05,0.8,0.07
0.7,0.92,0.03,0.98,0.02,0.87,0.08,0.82,0.08,0.93,0.02,0.92,0.06,0.84,0.11,0.82,0.06,0.7,0.11
0.69,0.92,0.03,1.0,0.0,0.86,0.09,0.8,0.09,0.99,0.0,0.93,0.05,0.81,0.13,0.85,0.05,0.68,0.13
0.69,0.93,0.03,1.0,0.0,0.86,0.09,0.81,0.09,0.99,0.0,0.93,0.05,0.81,0.14,0.84,0.05,0.67,0.14
0.69,0.93,0.03,0.99,0.01,0.85,0.09,0.8,0.09,0.97,0.01,0.94,0.04,0.8,0.14,0.86,0.04,0.66,0.14
0.69,0.92,0.03,0.99,0.01,0.88,0.07,0.83,0.07,0.97,0.01,0.92,0.06,0.82,0.12,0.82,0.06,0.7,0.12
0.69,0.89,0.04,0.96,0.03,0.8,0.13,0.74,0.13,0.87,0.03,0.94,0.04,0.83,0.12,0.87,0.04,0.71,0.12
0.69,0.87,0.05,0.92,0.06,0.77,0.15,0.7,0.15,0.76,0.06,0.95,0.04,0.86,0.1,0.88,0.04,0.75,0.1
0.7,0.9,0.04,0.97,0.03,0.81,0.12,0.76,0.12,0.89,0.03,0.94,0.04,0.83,0.12,0.86,0.04,0.7,0.12
0.69,0.92,0.03,0.99,0.0,0.83,0.11,0.78,0.11,0.98,0.0,0.94,0.04,0.8,0.15,0.87,0.04,0.65,0.15
0.69,0.95,0.02,0.97,0.02,0.91,0.06,0.87,0.06,0.91,0.02,0.92,0.06,0.8,0.14,0.82,0.06,0.66,0.14
0.69,0.94,0.02,0.97,0.02,0.89,0.07,0.83,0.07,0.92,0.02,0.93,0.05,0.79,0.15,0.85,0.05,0.65,0.15
0.69,0.91,0.04,0.98,0.01,0.83,0.11,0.77,0.11,0.94,0.01,0.94,0.04,0.82,0.13,0.86,0.04,0.68,0.13
0.7,0.89,0.05,0.95,0.04,0.8,0.13,0.73,0.13,0.82,0.04,0.94,0.04,0.85,0.11,0.87,0.04,0.72,0.11
