ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.72,0.57,0.42,0.13,0.32,0.07,0.84,0.11,0.4,0.09,0.62,0.58,0.4,0.09,0.84,0.3,0.32,0.96,0.04,0.62,0.32,0.6,0.04
0.77,0.01,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.79,0.4,0.33,0.26,0.09,0.19,0.27,0.47,0.04,0.33,0.15,0.96,0.04,0.71,0.27,0.29,0.48,0.86,0.13,0.4,0.48,0.45,0.13
0.67,0.55,0.39,0.22,0.32,0.17,0.8,0.16,0.47,0.17,0.64,0.48,0.47,0.05,0.8,0.44,0.23,0.93,0.06,0.71,0.23,0.35,0.06
0.78,0.19,0.21,0.75,0.01,0.78,0.02,0.43,0.01,0.6,0.01,0.99,0.01,0.97,0.02,0.38,0.51,0.81,0.17,0.25,0.51,0.36,0.17
0.77,0.13,0.17,0.81,0.0,0.72,0.03,0.18,0.02,0.45,0.03,0.98,0.02,0.97,0.03,0.4,0.53,0.8,0.18,0.17,0.53,0.35,0.18
0.79,0.29,0.29,0.29,0.05,0.39,0.12,0.59,0.01,0.49,0.07,0.99,0.01,0.87,0.12,0.51,0.38,0.83,0.16,0.37,0.38,0.39,0.16
0.8,0.34,0.31,0.34,0.06,0.5,0.12,0.57,0.02,0.53,0.07,0.98,0.02,0.86,0.12,0.56,0.32,0.83,0.15,0.44,0.32,0.39,0.15
