ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.64,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.53,0.29,0.0,1.0,0.58,0.29,0.0,1.0
0.73,0.74,0.47,0.33,0.33,0.52,0.48,0.04,0.89,0.28,0.69,0.07,0.89,0.0,0.48,0.73,0.23,0.85,0.14,0.38,0.23,0.26,0.14
0.73,0.63,0.49,0.08,0.3,0.11,0.63,0.04,0.13,0.07,0.38,0.87,0.13,0.32,0.63,0.98,0.02,0.94,0.04,0.88,0.02,0.88,0.04
0.74,0.64,0.51,0.13,0.28,0.18,0.59,0.06,0.13,0.12,0.36,0.86,0.13,0.33,0.59,0.98,0.02,0.93,0.05,0.87,0.02,0.86,0.05
0.68,0.5,0.43,0.08,0.22,0.12,0.43,0.03,0.05,0.07,0.24,0.95,0.05,0.54,0.43,1.0,0.0,0.79,0.15,0.95,0.0,0.68,0.15
0.78,0.79,0.58,0.48,0.25,0.76,0.24,0.1,0.69,0.43,0.46,0.26,0.69,0.08,0.24,0.81,0.16,0.99,0.01,0.53,0.16,0.94,0.01
0.76,0.78,0.55,0.47,0.26,0.76,0.24,0.09,0.8,0.42,0.52,0.13,0.8,0.04,0.24,0.78,0.18,1.0,0.0,0.51,0.18,0.99,0.0
0.79,0.8,0.6,0.66,0.14,0.91,0.09,0.39,0.3,0.65,0.2,0.62,0.3,0.46,0.09,0.91,0.07,0.89,0.1,0.79,0.07,0.47,0.1
0.76,0.78,0.56,0.52,0.23,0.81,0.19,0.14,0.73,0.48,0.46,0.18,0.73,0.07,0.19,0.85,0.12,0.97,0.03,0.66,0.12,0.77,0.03
0.78,0.79,0.59,0.58,0.19,0.84,0.15,0.22,0.52,0.53,0.34,0.39,0.52,0.2,0.15,0.96,0.03,0.94,0.05,0.91,0.03,0.64,0.05
0.78,0.79,0.58,0.73,0.11,0.94,0.05,0.56,0.2,0.75,0.12,0.73,0.2,0.59,0.05,0.81,0.14,0.88,0.11,0.63,0.14,0.43,0.11
0.75,0.67,0.53,0.92,0.02,0.56,0.34,0.4,0.05,0.48,0.2,0.95,0.05,0.41,0.34,0.85,0.14,0.58,0.37,0.26,0.14,0.23,0.37
0.82,0.8,0.63,0.62,0.14,0.94,0.04,0.3,0.17,0.62,0.11,0.81,0.17,0.83,0.04,0.99,0.01,0.78,0.19,0.97,0.01,0.38,0.19
0.83,0.81,0.65,0.59,0.16,0.89,0.09,0.25,0.25,0.57,0.17,0.73,0.25,0.61,0.09,0.98,0.01,0.84,0.14,0.93,0.01,0.44,0.14
