ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.64,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.53,0.29,0.0,1.0,0.58,0.29,0.0,1.0
0.73,0.74,0.47,0.33,0.33,0.52,0.48,0.04,0.89,0.28,0.69,0.07,0.89,0.0,0.48,0.73,0.23,0.85,0.14,0.38,0.23,0.26,0.14
0.73,0.63,0.49,0.08,0.3,0.11,0.63,0.04,0.13,0.07,0.38,0.87,0.13,0.32,0.63,0.98,0.01,0.94,0.04,0.88,0.01,0.88,0.04
0.74,0.65,0.51,0.14,0.28,0.18,0.58,0.07,0.14,0.12,0.36,0.86,0.14,0.33,0.58,0.98,0.02,0.93,0.05,0.86,0.02,0.86,0.05
0.68,0.5,0.43,0.08,0.22,0.12,0.43,0.03,0.05,0.07,0.24,0.95,0.05,0.54,0.43,1.0,0.0,0.79,0.15,0.94,0.0,0.68,0.15
0.78,0.79,0.58,0.48,0.25,0.76,0.24,0.1,0.68,0.43,0.46,0.26,0.68,0.09,0.24,0.81,0.16,0.99,0.01,0.53,0.16,0.93,0.01
0.76,0.78,0.55,0.47,0.26,0.76,0.24,0.09,0.79,0.42,0.52,0.14,0.79,0.04,0.24,0.78,0.18,0.99,0.01,0.51,0.18,0.96,0.01
0.79,0.8,0.6,0.67,0.14,0.91,0.09,0.4,0.3,0.66,0.2,0.63,0.3,0.46,0.09,0.9,0.07,0.89,0.1,0.77,0.07,0.47,0.1
0.76,0.78,0.56,0.53,0.22,0.81,0.18,0.15,0.7,0.48,0.44,0.2,0.7,0.08,0.18,0.87,0.1,0.98,0.02,0.71,0.1,0.82,0.02
0.78,0.79,0.58,0.59,0.19,0.85,0.15,0.23,0.51,0.54,0.33,0.39,0.51,0.21,0.15,0.97,0.02,0.94,0.06,0.93,0.02,0.62,0.06
0.78,0.79,0.58,0.74,0.11,0.94,0.05,0.57,0.2,0.75,0.12,0.73,0.2,0.6,0.05,0.81,0.15,0.88,0.11,0.62,0.15,0.42,0.11
0.76,0.68,0.53,0.94,0.01,0.58,0.32,0.41,0.05,0.49,0.18,0.95,0.05,0.42,0.32,0.85,0.14,0.59,0.37,0.25,0.14,0.23,0.37
0.82,0.8,0.64,0.62,0.14,0.95,0.04,0.32,0.16,0.64,0.1,0.82,0.16,0.86,0.04,0.99,0.01,0.78,0.2,0.93,0.01,0.38,0.2
0.82,0.81,0.65,0.59,0.16,0.9,0.09,0.26,0.24,0.58,0.16,0.74,0.24,0.64,0.09,0.99,0.01,0.83,0.15,0.95,0.01,0.42,0.15
