ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.64,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.53,0.29,0.0,1.0,0.58,0.29,0.0,1.0
0.73,0.74,0.47,0.33,0.33,0.52,0.48,0.04,0.89,0.28,0.69,0.07,0.89,0.0,0.48,0.73,0.23,0.85,0.14,0.38,0.23,0.25,0.14
0.73,0.63,0.49,0.08,0.3,0.11,0.62,0.04,0.13,0.07,0.38,0.87,0.13,0.32,0.62,0.98,0.02,0.94,0.04,0.88,0.02,0.87,0.04
0.74,0.65,0.51,0.14,0.28,0.18,0.58,0.06,0.13,0.12,0.35,0.86,0.13,0.33,0.58,0.98,0.01,0.93,0.05,0.89,0.01,0.86,0.05
0.68,0.49,0.42,0.08,0.22,0.12,0.42,0.03,0.05,0.07,0.23,0.95,0.05,0.55,0.42,1.0,0.0,0.78,0.15,0.95,0.0,0.67,0.15
0.78,0.79,0.58,0.48,0.24,0.76,0.24,0.1,0.67,0.43,0.46,0.27,0.67,0.09,0.24,0.82,0.15,0.99,0.01,0.53,0.15,0.95,0.01
0.76,0.78,0.55,0.47,0.26,0.76,0.24,0.09,0.8,0.42,0.52,0.13,0.8,0.04,0.24,0.78,0.18,1.0,0.0,0.51,0.18,0.97,0.0
0.78,0.8,0.59,0.66,0.15,0.9,0.09,0.38,0.33,0.64,0.21,0.59,0.33,0.42,0.09,0.91,0.07,0.9,0.09,0.8,0.07,0.48,0.09
0.76,0.78,0.56,0.53,0.23,0.81,0.19,0.15,0.72,0.48,0.45,0.18,0.72,0.06,0.19,0.86,0.11,0.98,0.02,0.69,0.11,0.85,0.02
0.78,0.79,0.58,0.59,0.19,0.85,0.15,0.23,0.52,0.54,0.34,0.38,0.52,0.19,0.15,0.97,0.02,0.94,0.05,0.92,0.02,0.65,0.05
0.78,0.79,0.58,0.73,0.12,0.93,0.06,0.54,0.22,0.74,0.14,0.71,0.22,0.54,0.06,0.82,0.14,0.89,0.1,0.64,0.14,0.44,0.1
0.76,0.69,0.54,0.97,0.01,0.6,0.31,0.44,0.05,0.52,0.18,0.95,0.05,0.43,0.31,0.85,0.14,0.59,0.36,0.27,0.14,0.23,0.36
0.82,0.8,0.64,0.61,0.14,0.94,0.05,0.29,0.18,0.61,0.11,0.81,0.18,0.81,0.05,1.0,0.0,0.79,0.19,0.98,0.0,0.39,0.19
0.82,0.82,0.65,0.58,0.17,0.87,0.11,0.23,0.28,0.55,0.2,0.7,0.28,0.54,0.11,0.97,0.02,0.86,0.13,0.89,0.02,0.46,0.13
0.79,0.8,0.6,0.49,0.24,0.77,0.22,0.11,0.62,0.44,0.42,0.33,0.62,0.13,0.22,0.83,0.14,0.97,0.03,0.56,0.14,0.82,0.03
0.76,0.78,0.55,0.49,0.25,0.79,0.21,0.11,0.79,0.45,0.5,0.13,0.79,0.05,0.21,0.8,0.16,0.99,0.01,0.56,0.16,0.91,0.01
0.78,0.74,0.56,0.33,0.25,0.47,0.43,0.1,0.26,0.28,0.34,0.74,0.26,0.3,0.43,0.95,0.05,0.93,0.05,0.74,0.05,0.81,0.05
0.77,0.69,0.56,0.54,0.13,0.79,0.12,0.5,0.04,0.65,0.08,0.96,0.04,0.76,0.12,0.93,0.07,0.75,0.2,0.52,0.07,0.51,0.2
0.8,0.78,0.6,0.77,0.08,0.92,0.07,0.75,0.05,0.83,0.06,0.94,0.05,0.74,0.07,0.84,0.14,0.74,0.24,0.53,0.14,0.28,0.24
0.79,0.8,0.6,0.58,0.19,0.84,0.15,0.23,0.47,0.54,0.31,0.45,0.47,0.23,0.15,0.97,0.02,0.94,0.05,0.93,0.02,0.64,0.05
0.82,0.81,0.65,0.58,0.17,0.88,0.11,0.24,0.26,0.56,0.18,0.72,0.26,0.57,0.11,0.98,0.01,0.85,0.13,0.93,0.01,0.46,0.13
0.82,0.81,0.64,0.51,0.2,0.77,0.21,0.16,0.36,0.47,0.28,0.62,0.36,0.31,0.21,0.93,0.06,0.92,0.07,0.73,0.06,0.67,0.07
0.82,0.8,0.64,0.64,0.13,0.98,0.02,0.35,0.15,0.67,0.08,0.83,0.15,0.93,0.02,0.97,0.02,0.77,0.2,0.87,0.02,0.35,0.2
0.82,0.79,0.63,0.64,0.13,0.99,0.01,0.36,0.14,0.68,0.08,0.85,0.14,0.96,0.01,0.97,0.03,0.76,0.21,0.85,0.03,0.36,0.21
0.81,0.8,0.61,0.72,0.1,0.98,0.02,0.58,0.11,0.78,0.07,0.87,0.11,0.91,0.02,0.87,0.1,0.77,0.21,0.62,0.1,0.31,0.21
0.76,0.68,0.55,0.43,0.17,0.61,0.25,0.4,0.05,0.51,0.15,0.95,0.05,0.6,0.25,0.92,0.07,0.8,0.15,0.51,0.07,0.6,0.15
0.82,0.82,0.64,0.58,0.17,0.86,0.13,0.25,0.32,0.55,0.23,0.64,0.32,0.41,0.13,0.99,0.01,0.9,0.09,0.96,0.01,0.53,0.09
0.81,0.81,0.63,0.61,0.17,0.86,0.13,0.29,0.33,0.57,0.23,0.62,0.33,0.37,0.13,0.98,0.02,0.91,0.08,0.93,0.02,0.56,0.08
