ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.76,0.0,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.21,0.0,1.0,0.31,0.21
0.81,0.56,0.44,0.0,0.23,0.01,0.59,0.0,1.0,0.01,0.79,0.0,1.0,0.41,0.59,0.0,1.0,0.91,0.08,0.0,1.0,0.54,0.08
0.77,0.05,0.12,0.06,0.01,0.23,0.02,0.0,1.0,0.12,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.77,0.2,0.0,1.0,0.32,0.2
0.78,0.21,0.23,0.33,0.03,0.37,0.08,0.83,0.0,0.6,0.04,1.0,0.0,0.91,0.08,0.37,0.5,0.79,0.19,0.3,0.5,0.33,0.19
0.79,0.33,0.3,0.33,0.06,0.4,0.14,0.67,0.01,0.54,0.08,0.99,0.01,0.84,0.14,0.4,0.45,0.82,0.17,0.36,0.45,0.35,0.17
0.78,0.22,0.25,0.22,0.04,0.33,0.1,0.5,0.01,0.42,0.06,0.99,0.01,0.9,0.1,0.48,0.42,0.8,0.19,0.33,0.42,0.33,0.19
0.8,0.58,0.45,0.13,0.21,0.18,0.52,0.13,0.16,0.15,0.34,0.84,0.16,0.42,0.52,0.55,0.27,0.92,0.08,0.59,0.27,0.53,0.08
0.81,0.51,0.42,0.07,0.15,0.11,0.4,0.1,0.08,0.11,0.24,0.92,0.08,0.58,0.4,0.55,0.31,0.87,0.12,0.49,0.31,0.44,0.12
0.82,0.51,0.43,0.04,0.16,0.07,0.42,0.04,0.08,0.06,0.25,0.92,0.08,0.57,0.42,0.67,0.23,0.87,0.12,0.56,0.23,0.45,0.12
0.82,0.58,0.47,0.04,0.22,0.06,0.57,0.03,0.15,0.04,0.36,0.85,0.15,0.4,0.57,0.73,0.18,0.92,0.07,0.67,0.18,0.55,0.07
0.82,0.57,0.47,0.04,0.21,0.08,0.54,0.04,0.13,0.06,0.34,0.87,0.13,0.44,0.54,0.72,0.19,0.91,0.08,0.65,0.19,0.53,0.08
0.81,0.46,0.41,0.05,0.13,0.12,0.34,0.05,0.06,0.08,0.2,0.94,0.06,0.65,0.34,0.82,0.13,0.85,0.13,0.66,0.13,0.41,0.13
0.81,0.45,0.41,0.05,0.12,0.11,0.32,0.05,0.05,0.08,0.18,0.95,0.05,0.66,0.32,0.79,0.15,0.85,0.14,0.61,0.15,0.41,0.14
0.78,0.17,0.24,0.05,0.03,0.16,0.09,0.0,1.0,0.08,0.55,0.0,1.0,0.91,0.09,0.0,1.0,0.79,0.19,0.0,1.0,0.33,0.19
0.82,0.54,0.46,0.03,0.17,0.08,0.46,0.02,0.09,0.05,0.28,0.91,0.09,0.52,0.46,0.95,0.03,0.89,0.1,0.9,0.03,0.47,0.1
0.8,0.37,0.37,0.04,0.09,0.14,0.23,0.0,1.0,0.07,0.61,0.0,1.0,0.76,0.23,0.0,1.0,0.83,0.16,0.0,1.0,0.37,0.16
0.82,0.5,0.44,0.05,0.14,0.14,0.37,0.03,0.06,0.09,0.21,0.94,0.06,0.61,0.37,0.95,0.04,0.87,0.12,0.85,0.04,0.43,0.12
0.8,0.36,0.37,0.14,0.08,0.4,0.15,0.11,0.02,0.26,0.08,0.98,0.02,0.83,0.15,0.98,0.02,0.82,0.17,0.91,0.02,0.35,0.17
