ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.65,0.65,0.31,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.83,0.82,0.65,0.58,0.17,0.87,0.11,0.26,0.27,0.56,0.19,0.7,0.27,0.51,0.11,0.99,0.01,0.85,0.13,0.95,0.01,0.45,0.13
0.81,0.81,0.63,0.65,0.14,0.91,0.08,0.42,0.21,0.67,0.14,0.75,0.21,0.59,0.08,0.89,0.09,0.85,0.14,0.68,0.09,0.42,0.14
0.82,0.82,0.64,0.58,0.18,0.86,0.13,0.26,0.32,0.56,0.23,0.64,0.32,0.42,0.13,0.98,0.01,0.88,0.11,0.94,0.01,0.49,0.11
0.82,0.82,0.65,0.54,0.19,0.81,0.17,0.21,0.3,0.51,0.23,0.67,0.3,0.39,0.17,0.99,0.01,0.88,0.1,0.94,0.01,0.55,0.1
0.77,0.77,0.54,0.34,0.31,0.51,0.48,0.06,0.66,0.29,0.57,0.31,0.66,0.05,0.48,0.83,0.15,0.92,0.07,0.51,0.15,0.66,0.07
0.72,0.69,0.43,0.05,0.43,0.07,0.89,0.01,0.63,0.04,0.76,0.37,0.63,0.05,0.89,0.82,0.16,0.83,0.14,0.43,0.16,0.54,0.14
0.77,0.72,0.55,0.27,0.27,0.36,0.5,0.11,0.2,0.23,0.35,0.8,0.2,0.3,0.5,0.98,0.01,0.92,0.06,0.91,0.01,0.81,0.06
0.8,0.81,0.61,0.51,0.22,0.8,0.19,0.13,0.57,0.47,0.38,0.37,0.57,0.17,0.19,0.89,0.09,0.94,0.06,0.68,0.09,0.66,0.06
0.82,0.81,0.63,0.48,0.22,0.71,0.26,0.16,0.32,0.43,0.29,0.66,0.32,0.3,0.26,0.96,0.03,0.92,0.07,0.84,0.03,0.68,0.07
0.72,0.71,0.44,0.16,0.39,0.22,0.76,0.03,0.73,0.12,0.74,0.26,0.73,0.03,0.76,0.83,0.14,0.82,0.16,0.54,0.14,0.43,0.16
0.77,0.75,0.54,0.27,0.32,0.38,0.57,0.06,0.49,0.22,0.53,0.5,0.49,0.1,0.57,0.88,0.1,0.94,0.05,0.6,0.1,0.8,0.05
0.83,0.82,0.66,0.56,0.17,0.85,0.13,0.24,0.24,0.54,0.18,0.74,0.24,0.52,0.13,1.0,0.0,0.84,0.14,1.0,0.0,0.47,0.14
