ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.89,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.28,0.19,0.0,1.0
0.9,0.95,0.22,0.95,0.03,0.95,0.05,0.8,0.2,0.88,0.12,0.14,0.2,0.04,0.05,0.83,0.16,0.88,0.07,0.31,0.16,0.84,0.07
0.9,0.95,0.31,0.89,0.06,0.88,0.12,0.59,0.39,0.73,0.26,0.14,0.39,0.03,0.12,0.87,0.12,0.99,0.0,0.37,0.12,0.99,0.0
0.82,0.89,0.38,0.67,0.15,0.64,0.31,0.26,0.34,0.45,0.33,0.61,0.34,0.29,0.31,0.97,0.03,0.6,0.17,0.56,0.03,0.77,0.17
0.9,0.95,0.31,0.9,0.05,0.9,0.1,0.61,0.37,0.76,0.23,0.12,0.37,0.03,0.1,0.87,0.12,0.97,0.02,0.37,0.12,0.96,0.02
0.9,0.95,0.22,0.96,0.02,0.96,0.04,0.8,0.2,0.88,0.12,0.07,0.2,0.03,0.04,0.83,0.16,0.75,0.17,0.32,0.16,0.67,0.17
0.9,0.95,0.19,0.98,0.01,0.0,1.0,0.88,0.12,0.44,0.56,0.03,0.12,0.0,1.0,0.81,0.17,0.0,1.0,0.3,0.17,0.0,1.0
0.9,0.95,0.16,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.22,0.96,0.02,0.97,0.03,0.81,0.18,0.89,0.1,0.08,0.18,0.02,0.03,0.83,0.16,0.97,0.02,0.31,0.16,0.94,0.02
0.9,0.95,0.34,0.88,0.06,0.87,0.12,0.62,0.34,0.74,0.23,0.26,0.34,0.05,0.12,0.87,0.12,0.96,0.02,0.36,0.12,0.95,0.02
0.9,0.95,0.34,0.87,0.06,0.87,0.13,0.56,0.4,0.72,0.27,0.18,0.4,0.03,0.13,0.88,0.11,0.95,0.03,0.39,0.11,0.92,0.03
0.9,0.95,0.41,0.81,0.09,0.81,0.18,0.39,0.5,0.6,0.34,0.27,0.5,0.07,0.18,0.93,0.07,0.95,0.03,0.49,0.07,0.94,0.03
0.9,0.95,0.34,0.86,0.07,0.86,0.14,0.51,0.45,0.69,0.3,0.14,0.45,0.03,0.14,0.89,0.1,0.97,0.02,0.41,0.1,0.96,0.02
0.9,0.95,0.29,0.91,0.05,0.92,0.08,0.61,0.38,0.77,0.23,0.06,0.38,0.02,0.08,0.87,0.12,0.79,0.13,0.38,0.12,0.73,0.13
0.9,0.95,0.3,0.89,0.05,0.9,0.1,0.59,0.4,0.74,0.25,0.09,0.4,0.04,0.1,0.87,0.12,0.73,0.16,0.38,0.12,0.71,0.16
0.9,0.95,0.3,0.93,0.04,0.94,0.06,0.66,0.33,0.8,0.2,0.06,0.33,0.01,0.06,0.86,0.13,0.91,0.07,0.36,0.13,0.79,0.07
0.9,0.95,0.28,0.93,0.04,0.94,0.06,0.69,0.3,0.81,0.18,0.1,0.3,0.04,0.06,0.85,0.14,0.75,0.16,0.35,0.14,0.67,0.16
0.9,0.95,0.26,0.94,0.03,0.94,0.06,0.73,0.26,0.83,0.16,0.14,0.26,0.05,0.06,0.84,0.14,0.78,0.14,0.33,0.14,0.72,0.14
0.9,0.95,0.21,0.97,0.01,0.0,1.0,0.85,0.15,0.42,0.57,0.07,0.15,0.0,1.0,0.82,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.2,0.97,0.01,0.0,1.0,0.85,0.15,0.42,0.57,0.02,0.15,0.0,1.0,0.82,0.17,0.0,1.0,0.31,0.17,0.0,1.0
0.9,0.95,0.14,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.29,0.18,0.0,1.0
0.9,0.95,0.36,0.84,0.08,0.84,0.16,0.45,0.51,0.65,0.34,0.14,0.51,0.03,0.16,0.91,0.08,0.99,0.01,0.45,0.08,0.98,0.01
0.9,0.95,0.3,0.9,0.05,0.91,0.09,0.6,0.39,0.76,0.24,0.07,0.39,0.02,0.09,0.87,0.12,0.86,0.09,0.38,0.12,0.8,0.09
0.9,0.95,0.25,0.95,0.02,0.0,1.0,0.76,0.24,0.38,0.62,0.05,0.24,0.0,1.0,0.84,0.15,0.0,1.0,0.33,0.15,0.0,1.0
0.9,0.95,0.3,0.92,0.04,0.93,0.07,0.63,0.37,0.78,0.22,0.05,0.37,0.0,0.07,0.87,0.12,0.79,0.17,0.37,0.12,0.49,0.17
