ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.62,0.51,0.33,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.92,0.08,0.0,1.0,0.34,0.08
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.71,0.56,0.41,0.0,0.39,0.0,1.0,0.0,0.51,0.0,0.76,0.49,0.51,0.0,1.0,0.0,1.0,0.94,0.06,0.0,1.0,0.49,0.06
0.76,0.01,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.38,0.18
0.76,0.01,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.38,0.18
0.64,0.52,0.35,0.01,0.43,0.02,0.96,0.0,0.69,0.01,0.82,0.31,0.69,0.01,0.96,0.59,0.26,0.9,0.09,0.58,0.26,0.16,0.09
0.6,0.5,0.31,0.01,0.45,0.03,0.97,0.0,0.78,0.01,0.88,0.22,0.78,0.01,0.97,0.53,0.31,0.9,0.1,0.52,0.31,0.09,0.1
0.78,0.21,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.16,0.0,1.0,0.42,0.16
0.62,0.52,0.35,0.15,0.38,0.16,0.83,0.08,0.64,0.12,0.73,0.32,0.64,0.01,0.83,0.71,0.11,0.91,0.09,0.85,0.11,0.16,0.09
0.57,0.48,0.29,0.05,0.45,0.09,0.91,0.02,0.82,0.06,0.86,0.16,0.82,0.0,0.91,0.8,0.09,0.9,0.1,0.87,0.09,0.09,0.1
0.78,0.14,0.21,0.22,0.02,0.54,0.04,0.19,0.0,0.36,0.02,1.0,0.0,0.96,0.04,0.98,0.02,0.8,0.17,0.88,0.02,0.39,0.17
0.8,0.43,0.35,0.5,0.06,0.75,0.09,0.69,0.02,0.72,0.06,0.98,0.02,0.89,0.09,0.61,0.27,0.85,0.14,0.53,0.27,0.39,0.14
0.7,0.56,0.41,0.05,0.37,0.09,0.85,0.02,0.52,0.06,0.69,0.48,0.52,0.06,0.85,0.88,0.06,0.94,0.06,0.9,0.06,0.48,0.06
0.59,0.5,0.31,0.04,0.44,0.1,0.89,0.01,0.78,0.06,0.83,0.21,0.78,0.01,0.89,0.59,0.24,0.91,0.09,0.63,0.24,0.17,0.09
0.53,0.46,0.25,0.05,0.46,0.12,0.88,0.02,0.92,0.07,0.9,0.07,0.92,0.0,0.88,0.61,0.2,0.9,0.1,0.7,0.2,0.03,0.1
