ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.76,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.38,0.19
0.77,0.11,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.17,0.0,1.0,0.4,0.17
0.78,0.24,0.25,0.55,0.02,0.56,0.07,0.66,0.01,0.61,0.04,0.99,0.01,0.92,0.07,0.4,0.49,0.82,0.16,0.28,0.49,0.4,0.16
0.8,0.39,0.36,0.13,0.1,0.16,0.26,0.21,0.04,0.18,0.15,0.96,0.04,0.73,0.26,0.54,0.34,0.86,0.13,0.43,0.34,0.47,0.13
0.8,0.42,0.36,0.32,0.08,0.37,0.21,0.62,0.02,0.49,0.11,0.98,0.02,0.76,0.21,0.47,0.4,0.86,0.13,0.38,0.4,0.45,0.13
0.75,0.5,0.34,0.71,0.07,0.8,0.13,0.33,0.21,0.57,0.17,0.77,0.21,0.74,0.13,0.31,0.48,0.87,0.13,0.4,0.48,0.34,0.13
0.77,0.32,0.24,0.6,0.05,0.61,0.13,0.22,0.09,0.41,0.11,0.91,0.09,0.83,0.13,0.36,0.5,0.81,0.17,0.3,0.5,0.34,0.17
0.82,0.57,0.46,0.05,0.2,0.09,0.54,0.03,0.13,0.06,0.34,0.87,0.13,0.43,0.54,0.91,0.06,0.93,0.06,0.86,0.06,0.65,0.06
0.81,0.57,0.46,0.03,0.23,0.06,0.59,0.02,0.16,0.04,0.38,0.84,0.16,0.39,0.59,0.98,0.01,0.94,0.05,0.96,0.01,0.69,0.05
0.79,0.6,0.46,0.1,0.26,0.16,0.63,0.07,0.23,0.12,0.43,0.76,0.23,0.29,0.63,0.84,0.09,0.97,0.02,0.83,0.09,0.81,0.02
0.82,0.49,0.42,0.21,0.11,0.31,0.29,0.3,0.04,0.3,0.16,0.95,0.04,0.67,0.29,0.64,0.27,0.88,0.11,0.49,0.27,0.49,0.11
0.82,0.54,0.45,0.13,0.15,0.22,0.39,0.14,0.07,0.18,0.23,0.93,0.07,0.57,0.39,0.75,0.18,0.9,0.09,0.62,0.18,0.55,0.09
0.78,0.61,0.48,0.05,0.31,0.1,0.76,0.03,0.32,0.07,0.54,0.68,0.32,0.17,0.76,0.94,0.03,0.98,0.02,0.93,0.03,0.83,0.02
0.79,0.61,0.48,0.25,0.22,0.33,0.52,0.22,0.2,0.28,0.36,0.79,0.2,0.3,0.52,0.66,0.19,0.98,0.02,0.69,0.19,0.81,0.02
0.82,0.48,0.42,0.13,0.12,0.21,0.32,0.15,0.05,0.18,0.18,0.95,0.05,0.64,0.32,0.74,0.19,0.88,0.11,0.57,0.19,0.5,0.11
0.82,0.59,0.48,0.03,0.21,0.08,0.57,0.02,0.13,0.05,0.35,0.87,0.13,0.4,0.57,0.87,0.1,0.94,0.05,0.71,0.1,0.69,0.05
