ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.86,0.92,0.36,0.83,0.08,0.8,0.19,0.58,0.26,0.69,0.23,0.6,0.26,0.25,0.19,0.91,0.08,0.75,0.11,0.4,0.08,0.83,0.11
0.85,0.91,0.36,0.78,0.1,0.74,0.24,0.49,0.3,0.61,0.27,0.58,0.3,0.25,0.24,0.93,0.07,0.74,0.11,0.43,0.07,0.84,0.11
0.88,0.93,0.3,0.87,0.07,0.84,0.16,0.62,0.3,0.73,0.23,0.4,0.3,0.15,0.16,0.89,0.1,0.81,0.09,0.4,0.1,0.86,0.09
0.89,0.94,0.24,0.93,0.03,0.93,0.07,0.73,0.25,0.83,0.16,0.2,0.25,0.09,0.07,0.87,0.12,0.76,0.14,0.38,0.12,0.76,0.14
0.89,0.94,0.23,0.93,0.03,0.93,0.07,0.73,0.26,0.83,0.17,0.13,0.26,0.08,0.07,0.87,0.12,0.63,0.21,0.39,0.12,0.66,0.21
0.89,0.94,0.25,0.93,0.03,0.93,0.07,0.73,0.25,0.83,0.16,0.2,0.25,0.09,0.07,0.87,0.12,0.79,0.12,0.39,0.12,0.78,0.12
0.89,0.94,0.24,0.93,0.03,0.93,0.07,0.73,0.26,0.83,0.17,0.17,0.26,0.09,0.07,0.87,0.12,0.72,0.17,0.39,0.12,0.72,0.17
0.89,0.94,0.25,0.93,0.04,0.92,0.08,0.71,0.27,0.81,0.18,0.17,0.27,0.08,0.08,0.87,0.12,0.73,0.16,0.39,0.12,0.74,0.16
0.89,0.94,0.25,0.93,0.04,0.92,0.08,0.71,0.27,0.81,0.18,0.17,0.27,0.08,0.08,0.87,0.12,0.75,0.14,0.39,0.12,0.76,0.14
0.9,0.94,0.23,0.95,0.03,0.95,0.05,0.77,0.23,0.86,0.14,0.1,0.23,0.04,0.05,0.86,0.13,0.79,0.13,0.38,0.13,0.74,0.13
0.89,0.94,0.21,0.96,0.02,0.96,0.04,0.78,0.21,0.87,0.12,0.05,0.21,0.05,0.04,0.86,0.13,0.5,0.33,0.38,0.13,0.5,0.33
0.89,0.94,0.19,0.96,0.02,0.97,0.03,0.81,0.19,0.89,0.11,0.04,0.19,0.04,0.03,0.85,0.14,0.44,0.37,0.37,0.14,0.48,0.37
0.89,0.94,0.2,0.96,0.02,0.96,0.04,0.79,0.21,0.88,0.12,0.05,0.21,0.04,0.04,0.85,0.13,0.58,0.27,0.38,0.13,0.56,0.27
0.89,0.94,0.21,0.96,0.02,0.96,0.04,0.79,0.2,0.88,0.12,0.06,0.2,0.04,0.04,0.85,0.13,0.68,0.2,0.37,0.13,0.63,0.2
0.89,0.94,0.22,0.95,0.02,0.96,0.04,0.77,0.22,0.86,0.13,0.07,0.22,0.05,0.04,0.86,0.13,0.65,0.22,0.38,0.13,0.62,0.22
0.9,0.94,0.22,0.95,0.02,0.96,0.04,0.77,0.22,0.86,0.13,0.05,0.22,0.04,0.04,0.86,0.13,0.56,0.29,0.38,0.13,0.53,0.29
0.9,0.94,0.23,0.95,0.02,0.96,0.04,0.77,0.23,0.86,0.14,0.09,0.23,0.05,0.04,0.86,0.13,0.7,0.19,0.38,0.13,0.64,0.19
0.9,0.94,0.23,0.95,0.03,0.96,0.04,0.76,0.24,0.86,0.14,0.08,0.24,0.06,0.04,0.86,0.13,0.62,0.25,0.39,0.13,0.59,0.25
0.89,0.94,0.2,0.96,0.02,0.97,0.03,0.8,0.2,0.89,0.12,0.03,0.2,0.04,0.03,0.85,0.14,0.5,0.33,0.37,0.14,0.51,0.33
