ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.89,0.94,0.12,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.16,0.0,1.0,0.34,0.16,0.0,1.0
0.89,0.94,0.21,0.94,0.03,0.93,0.07,0.78,0.21,0.85,0.14,0.21,0.21,0.11,0.07,0.85,0.13,0.69,0.16,0.37,0.13,0.75,0.16
0.89,0.94,0.3,0.91,0.04,0.89,0.1,0.74,0.21,0.81,0.15,0.48,0.21,0.2,0.1,0.87,0.12,0.79,0.11,0.37,0.12,0.81,0.11
0.89,0.94,0.28,0.92,0.04,0.91,0.09,0.72,0.24,0.81,0.16,0.33,0.24,0.13,0.09,0.87,0.12,0.8,0.11,0.38,0.12,0.81,0.11
0.89,0.94,0.28,0.92,0.04,0.92,0.08,0.73,0.24,0.82,0.16,0.33,0.24,0.13,0.08,0.87,0.12,0.82,0.1,0.38,0.12,0.81,0.1
0.89,0.94,0.28,0.92,0.04,0.92,0.07,0.71,0.26,0.81,0.17,0.29,0.26,0.14,0.07,0.87,0.12,0.75,0.15,0.39,0.12,0.74,0.15
0.89,0.94,0.27,0.93,0.03,0.93,0.07,0.73,0.25,0.83,0.16,0.25,0.25,0.13,0.07,0.87,0.12,0.72,0.17,0.39,0.12,0.71,0.17
0.89,0.94,0.26,0.94,0.03,0.95,0.05,0.73,0.25,0.84,0.15,0.22,0.25,0.14,0.05,0.87,0.12,0.66,0.22,0.39,0.12,0.63,0.22
0.9,0.94,0.25,0.95,0.02,0.96,0.04,0.78,0.21,0.87,0.12,0.2,0.21,0.11,0.04,0.86,0.13,0.74,0.17,0.38,0.13,0.66,0.17
0.9,0.94,0.23,0.96,0.02,0.97,0.03,0.79,0.2,0.88,0.12,0.15,0.2,0.1,0.03,0.86,0.13,0.69,0.21,0.38,0.13,0.59,0.21
0.9,0.94,0.22,0.96,0.02,0.97,0.03,0.8,0.2,0.89,0.12,0.13,0.2,0.11,0.03,0.86,0.13,0.58,0.29,0.37,0.13,0.52,0.29
0.89,0.94,0.22,0.96,0.02,0.97,0.03,0.8,0.2,0.89,0.12,0.13,0.2,0.09,0.03,0.85,0.13,0.63,0.25,0.37,0.13,0.58,0.25
0.9,0.94,0.22,0.96,0.02,0.96,0.03,0.81,0.19,0.89,0.11,0.13,0.19,0.07,0.03,0.85,0.13,0.76,0.16,0.37,0.13,0.68,0.16
0.9,0.94,0.22,0.96,0.02,0.96,0.04,0.79,0.2,0.88,0.12,0.09,0.2,0.05,0.04,0.86,0.13,0.75,0.17,0.37,0.13,0.67,0.17
0.9,0.94,0.22,0.96,0.02,0.96,0.04,0.79,0.2,0.88,0.12,0.09,0.2,0.05,0.04,0.86,0.13,0.75,0.17,0.37,0.13,0.67,0.17
0.9,0.94,0.22,0.96,0.02,0.96,0.04,0.79,0.21,0.88,0.12,0.08,0.21,0.05,0.04,0.86,0.13,0.68,0.21,0.38,0.13,0.61,0.21
0.9,0.94,0.22,0.96,0.02,0.96,0.04,0.79,0.21,0.88,0.12,0.08,0.21,0.05,0.04,0.86,0.13,0.68,0.21,0.38,0.13,0.61,0.21
0.9,0.94,0.22,0.96,0.02,0.96,0.04,0.79,0.21,0.88,0.12,0.08,0.21,0.04,0.04,0.86,0.13,0.75,0.17,0.38,0.13,0.67,0.17
0.9,0.94,0.23,0.96,0.02,0.96,0.04,0.8,0.2,0.88,0.12,0.11,0.2,0.04,0.04,0.86,0.13,0.88,0.08,0.37,0.13,0.8,0.08
0.9,0.94,0.23,0.96,0.02,0.96,0.04,0.79,0.2,0.88,0.12,0.11,0.2,0.04,0.04,0.86,0.13,0.87,0.09,0.38,0.13,0.79,0.09
0.9,0.94,0.23,0.96,0.02,0.96,0.04,0.78,0.21,0.87,0.12,0.11,0.21,0.04,0.04,0.86,0.13,0.86,0.09,0.38,0.13,0.77,0.09
0.9,0.94,0.23,0.96,0.02,0.96,0.04,0.78,0.21,0.87,0.12,0.11,0.21,0.05,0.04,0.86,0.13,0.79,0.14,0.38,0.13,0.7,0.14
0.9,0.94,0.23,0.95,0.02,0.96,0.04,0.78,0.21,0.87,0.12,0.12,0.21,0.06,0.04,0.86,0.13,0.79,0.14,0.38,0.13,0.7,0.14
0.9,0.94,0.24,0.95,0.02,0.96,0.04,0.77,0.22,0.86,0.13,0.13,0.22,0.06,0.04,0.86,0.13,0.78,0.15,0.38,0.13,0.67,0.15
0.9,0.95,0.26,0.95,0.02,0.96,0.04,0.75,0.24,0.85,0.14,0.14,0.24,0.08,0.04,0.87,0.12,0.74,0.18,0.39,0.12,0.62,0.18
0.9,0.95,0.27,0.95,0.03,0.96,0.04,0.73,0.26,0.84,0.15,0.13,0.26,0.1,0.04,0.87,0.12,0.67,0.24,0.4,0.12,0.55,0.24
0.9,0.95,0.27,0.95,0.03,0.96,0.04,0.71,0.28,0.83,0.16,0.11,0.28,0.1,0.04,0.88,0.11,0.6,0.29,0.41,0.11,0.48,0.29
0.9,0.95,0.28,0.95,0.03,0.96,0.04,0.71,0.28,0.83,0.16,0.12,0.28,0.08,0.04,0.88,0.11,0.72,0.21,0.41,0.11,0.57,0.21
0.9,0.95,0.26,0.95,0.03,0.96,0.04,0.74,0.25,0.85,0.14,0.11,0.25,0.06,0.04,0.87,0.12,0.8,0.14,0.39,0.12,0.67,0.14
0.9,0.94,0.24,0.96,0.02,0.96,0.04,0.78,0.22,0.87,0.13,0.1,0.22,0.05,0.04,0.86,0.13,0.79,0.14,0.38,0.13,0.69,0.14
0.9,0.94,0.23,0.96,0.02,0.96,0.04,0.77,0.22,0.86,0.13,0.07,0.22,0.04,0.04,0.86,0.13,0.73,0.18,0.38,0.13,0.63,0.18
0.9,0.94,0.22,0.96,0.02,0.96,0.04,0.79,0.21,0.88,0.12,0.08,0.21,0.03,0.04,0.86,0.13,0.94,0.04,0.38,0.13,0.89,0.04
0.9,0.94,0.22,0.96,0.02,0.96,0.04,0.79,0.21,0.88,0.12,0.08,0.21,0.03,0.04,0.86,0.13,0.94,0.04,0.38,0.13,0.89,0.04
0.9,0.94,0.22,0.96,0.02,0.96,0.04,0.79,0.21,0.88,0.12,0.08,0.21,0.03,0.04,0.86,0.13,0.94,0.04,0.38,0.13,0.89,0.04
0.9,0.94,0.23,0.96,0.02,0.96,0.04,0.78,0.21,0.87,0.12,0.08,0.21,0.03,0.04,0.86,0.13,0.93,0.05,0.38,0.13,0.87,0.05
0.9,0.94,0.23,0.96,0.02,0.96,0.04,0.78,0.22,0.87,0.13,0.08,0.22,0.03,0.04,0.86,0.13,0.92,0.05,0.38,0.13,0.86,0.05
0.9,0.94,0.23,0.95,0.02,0.96,0.04,0.77,0.22,0.86,0.13,0.07,0.22,0.03,0.04,0.86,0.13,0.81,0.13,0.38,0.13,0.71,0.13
0.9,0.94,0.24,0.95,0.02,0.96,0.04,0.77,0.23,0.86,0.14,0.09,0.23,0.04,0.04,0.86,0.13,0.81,0.13,0.38,0.13,0.71,0.13
