ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.77,0.01,0.05,0.46,0.0,0.0,1.0,0.21,0.0,0.1,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.78,0.4,0.3,0.81,0.02,0.54,0.16,0.59,0.04,0.56,0.1,0.95,0.04,0.81,0.16,0.24,0.53,0.85,0.13,0.36,0.53,0.42,0.13
0.77,0.04,0.1,0.72,0.0,0.98,0.0,0.09,0.0,0.54,0.0,1.0,0.0,1.0,0.0,0.47,0.51,0.79,0.19,0.05,0.51,0.35,0.19
0.58,0.51,0.35,0.73,0.11,0.74,0.25,0.66,0.2,0.7,0.23,0.66,0.2,0.15,0.25,0.42,0.23,0.99,0.01,0.72,0.23,0.86,0.01
0.77,0.06,0.14,0.63,0.0,0.86,0.0,0.32,0.0,0.59,0.0,1.0,0.0,1.0,0.0,0.64,0.34,0.79,0.19,0.16,0.34,0.35,0.19
0.78,0.14,0.21,0.52,0.01,0.83,0.01,0.53,0.0,0.68,0.01,1.0,0.0,0.99,0.01,0.57,0.39,0.8,0.18,0.21,0.39,0.35,0.18
0.8,0.34,0.31,0.6,0.03,0.85,0.03,0.76,0.01,0.8,0.02,0.99,0.01,0.96,0.03,0.51,0.39,0.82,0.16,0.35,0.39,0.35,0.16
0.79,0.29,0.3,0.49,0.03,0.8,0.04,0.97,0.0,0.89,0.02,1.0,0.0,0.96,0.04,0.59,0.33,0.81,0.17,0.36,0.33,0.35,0.17
0.77,0.05,0.13,0.55,0.0,0.72,0.01,0.64,0.0,0.68,0.01,1.0,0.0,0.99,0.01,0.88,0.11,0.79,0.19,0.28,0.11,0.34,0.19
0.78,0.18,0.23,0.82,0.01,0.7,0.04,0.36,0.01,0.53,0.03,0.99,0.01,0.95,0.04,0.62,0.35,0.79,0.19,0.23,0.35,0.33,0.19
0.78,0.09,0.17,0.71,0.0,0.69,0.02,0.32,0.0,0.51,0.01,1.0,0.0,0.98,0.02,0.72,0.27,0.79,0.19,0.18,0.27,0.34,0.19
0.8,0.54,0.42,0.38,0.12,0.62,0.2,0.41,0.08,0.52,0.14,0.92,0.08,0.71,0.2,0.65,0.22,0.88,0.11,0.63,0.22,0.4,0.11
0.79,0.24,0.28,0.28,0.04,0.59,0.06,0.5,0.01,0.54,0.03,0.99,0.01,0.93,0.06,0.77,0.2,0.81,0.17,0.42,0.2,0.36,0.17
0.81,0.49,0.39,0.46,0.09,0.63,0.16,0.65,0.03,0.64,0.1,0.97,0.03,0.78,0.16,0.53,0.32,0.86,0.13,0.49,0.32,0.39,0.13
0.79,0.23,0.28,0.26,0.04,0.54,0.07,0.48,0.01,0.51,0.04,0.99,0.01,0.93,0.07,0.75,0.21,0.81,0.17,0.41,0.21,0.36,0.17
0.81,0.54,0.43,0.31,0.14,0.52,0.26,0.31,0.09,0.42,0.17,0.9,0.09,0.64,0.26,0.69,0.2,0.88,0.11,0.66,0.2,0.43,0.11
0.65,0.54,0.39,0.49,0.21,0.67,0.31,0.35,0.37,0.51,0.34,0.54,0.37,0.17,0.31,0.65,0.14,0.99,0.01,0.8,0.14,0.85,0.01
0.79,0.19,0.26,0.14,0.03,0.37,0.07,0.13,0.01,0.25,0.04,0.99,0.01,0.92,0.07,0.97,0.03,0.81,0.17,0.84,0.03,0.36,0.17
0.81,0.37,0.36,0.16,0.08,0.4,0.16,0.16,0.03,0.28,0.1,0.97,0.03,0.82,0.16,0.91,0.07,0.84,0.15,0.76,0.07,0.39,0.15
0.81,0.36,0.35,0.27,0.06,0.54,0.12,0.37,0.02,0.46,0.07,0.98,0.02,0.86,0.12,0.75,0.19,0.83,0.15,0.52,0.19,0.37,0.15
0.81,0.46,0.39,0.14,0.13,0.31,0.27,0.11,0.07,0.21,0.17,0.93,0.07,0.69,0.27,0.93,0.05,0.86,0.13,0.87,0.05,0.42,0.13
0.81,0.37,0.36,0.16,0.08,0.38,0.17,0.14,0.03,0.26,0.1,0.97,0.03,0.81,0.17,0.93,0.06,0.84,0.15,0.81,0.06,0.39,0.15
0.78,0.08,0.18,0.41,0.01,0.93,0.0,0.97,0.0,0.95,0.0,1.0,0.0,1.0,0.0,0.92,0.08,0.79,0.19,0.31,0.08,0.34,0.19
0.81,0.58,0.46,0.24,0.16,0.48,0.3,0.2,0.12,0.34,0.21,0.88,0.12,0.58,0.3,0.83,0.11,0.9,0.09,0.78,0.11,0.46,0.09
