ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.56,0.71,0.13,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.63,0.73,0.28,0.84,0.08,0.0,1.0,0.6,0.4,0.3,0.7,0.02,0.4,0.0,1.0,0.93,0.05,0.0,1.0,0.89,0.05,0.0,1.0
0.65,0.72,0.29,0.76,0.12,0.78,0.22,0.47,0.51,0.62,0.36,0.06,0.51,0.06,0.22,0.98,0.01,0.79,0.15,0.96,0.01,0.66,0.15
0.66,0.73,0.32,0.76,0.12,0.77,0.23,0.46,0.49,0.61,0.36,0.14,0.49,0.06,0.23,0.98,0.02,0.92,0.06,0.96,0.02,0.8,0.06
0.66,0.73,0.32,0.75,0.12,0.76,0.23,0.45,0.48,0.6,0.35,0.2,0.48,0.11,0.23,0.98,0.01,1.0,0.0,0.97,0.01,0.99,0.0
0.69,0.73,0.36,0.7,0.14,0.7,0.28,0.4,0.46,0.55,0.37,0.32,0.46,0.12,0.28,1.0,0.0,0.88,0.09,1.0,0.0,0.71,0.09
0.69,0.73,0.37,0.72,0.13,0.73,0.26,0.43,0.43,0.58,0.34,0.37,0.43,0.17,0.26,0.99,0.01,0.94,0.04,0.98,0.01,0.86,0.04
0.69,0.73,0.36,0.72,0.13,0.73,0.26,0.43,0.42,0.58,0.34,0.38,0.42,0.19,0.26,0.99,0.01,0.96,0.03,0.97,0.01,0.9,0.03
0.68,0.73,0.36,0.72,0.13,0.74,0.24,0.45,0.39,0.59,0.32,0.43,0.39,0.24,0.24,0.98,0.02,1.0,0.0,0.95,0.02,1.0,0.0
0.68,0.73,0.35,0.74,0.12,0.75,0.24,0.49,0.37,0.62,0.3,0.43,0.37,0.22,0.24,0.95,0.03,0.97,0.02,0.91,0.03,0.93,0.02
0.68,0.72,0.35,0.73,0.12,0.73,0.25,0.46,0.37,0.59,0.31,0.46,0.37,0.26,0.25,0.97,0.02,1.0,0.0,0.93,0.02,0.99,0.0
0.68,0.72,0.34,0.75,0.11,0.76,0.22,0.51,0.34,0.64,0.28,0.47,0.34,0.28,0.22,0.94,0.04,0.99,0.01,0.89,0.04,0.98,0.01
0.68,0.72,0.35,0.75,0.11,0.76,0.21,0.51,0.32,0.64,0.27,0.52,0.32,0.34,0.21,0.95,0.04,0.95,0.03,0.9,0.04,0.91,0.03
0.68,0.72,0.35,0.76,0.11,0.77,0.21,0.53,0.3,0.65,0.26,0.54,0.3,0.35,0.21,0.94,0.04,0.96,0.03,0.87,0.04,0.91,0.03
0.68,0.72,0.35,0.77,0.1,0.77,0.2,0.54,0.28,0.66,0.24,0.57,0.28,0.37,0.2,0.93,0.05,0.95,0.03,0.86,0.05,0.91,0.03
0.68,0.72,0.35,0.76,0.11,0.76,0.21,0.53,0.31,0.65,0.26,0.52,0.31,0.3,0.21,0.94,0.05,0.99,0.01,0.87,0.05,0.98,0.01
0.68,0.72,0.35,0.76,0.1,0.77,0.2,0.54,0.29,0.66,0.24,0.57,0.29,0.38,0.2,0.94,0.04,0.95,0.04,0.87,0.04,0.9,0.04
0.68,0.72,0.36,0.77,0.1,0.78,0.2,0.54,0.28,0.66,0.24,0.58,0.28,0.38,0.2,0.94,0.04,0.95,0.03,0.87,0.04,0.9,0.03
0.68,0.72,0.36,0.77,0.1,0.79,0.18,0.56,0.25,0.68,0.21,0.63,0.25,0.45,0.18,0.93,0.05,0.92,0.05,0.85,0.05,0.86,0.05
0.68,0.72,0.36,0.77,0.1,0.79,0.18,0.58,0.23,0.69,0.21,0.66,0.23,0.46,0.18,0.92,0.06,0.94,0.04,0.83,0.06,0.88,0.04
0.69,0.72,0.36,0.76,0.1,0.77,0.2,0.54,0.28,0.66,0.24,0.59,0.28,0.37,0.2,0.94,0.04,0.96,0.02,0.86,0.04,0.93,0.02
0.68,0.72,0.36,0.77,0.1,0.77,0.2,0.56,0.25,0.67,0.23,0.63,0.25,0.41,0.2,0.93,0.05,0.96,0.03,0.84,0.05,0.92,0.03
0.68,0.72,0.36,0.79,0.09,0.79,0.18,0.59,0.25,0.69,0.21,0.62,0.25,0.4,0.18,0.92,0.06,0.96,0.03,0.83,0.06,0.91,0.03
0.68,0.72,0.36,0.78,0.1,0.78,0.19,0.59,0.24,0.69,0.21,0.64,0.24,0.4,0.19,0.92,0.06,0.97,0.02,0.82,0.06,0.94,0.02
0.68,0.72,0.36,0.8,0.09,0.81,0.17,0.62,0.22,0.72,0.2,0.65,0.22,0.45,0.17,0.91,0.06,0.94,0.04,0.82,0.06,0.88,0.04
0.68,0.72,0.35,0.8,0.08,0.81,0.16,0.65,0.19,0.73,0.17,0.72,0.19,0.5,0.16,0.9,0.07,0.93,0.05,0.79,0.07,0.87,0.05
0.68,0.72,0.35,0.8,0.09,0.81,0.16,0.61,0.22,0.71,0.19,0.66,0.22,0.47,0.16,0.91,0.06,0.93,0.05,0.82,0.06,0.87,0.05
