ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.53,0.27,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.97,0.01,0.0,1.0,0.97,0.01
0.57,0.5,0.16,0.07,0.45,0.06,0.92,0.01,0.84,0.03,0.88,0.15,0.84,0.03,0.92,0.74,0.22,0.64,0.29,0.4,0.22,0.39,0.29
0.61,0.64,0.22,0.46,0.27,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.1,0.0,1.0,0.75,0.1,0.0,1.0
0.5,0.12,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.06,0.0,1.0,0.89,0.06
0.47,0.02,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.83,0.1
0.59,0.44,0.27,0.44,0.14,0.44,0.26,0.33,0.11,0.39,0.18,0.88,0.11,0.67,0.26,0.97,0.02,0.94,0.03,0.9,0.02,0.93,0.03
0.57,0.7,0.18,0.93,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.07,0.0,1.0,0.86,0.07,0.0,1.0
0.53,0.69,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.64,0.71,0.29,0.83,0.08,0.79,0.21,0.7,0.21,0.74,0.21,0.57,0.21,0.16,0.21,0.89,0.07,0.81,0.15,0.83,0.07,0.53,0.15
0.65,0.69,0.29,0.63,0.18,0.6,0.39,0.33,0.57,0.46,0.48,0.2,0.57,0.06,0.39,0.94,0.04,0.8,0.16,0.89,0.04,0.55,0.16
0.64,0.69,0.27,0.65,0.18,0.62,0.38,0.34,0.63,0.48,0.51,0.08,0.63,0.01,0.38,0.93,0.05,0.72,0.25,0.88,0.05,0.28,0.25
0.65,0.63,0.31,0.56,0.18,0.53,0.37,0.33,0.32,0.43,0.34,0.62,0.32,0.37,0.37,0.98,0.02,0.96,0.02,0.95,0.02,0.94,0.02
0.66,0.72,0.32,0.78,0.1,0.75,0.24,0.57,0.32,0.66,0.28,0.45,0.32,0.13,0.24,0.95,0.03,0.82,0.15,0.91,0.03,0.53,0.15
0.56,0.36,0.2,0.42,0.1,0.37,0.2,0.21,0.09,0.29,0.15,0.91,0.09,0.78,0.2,0.83,0.15,0.75,0.14,0.45,0.15,0.75,0.14
0.63,0.59,0.29,0.8,0.06,0.86,0.08,0.65,0.11,0.76,0.1,0.87,0.11,0.85,0.08,0.97,0.03,0.84,0.1,0.91,0.03,0.8,0.1
0.62,0.71,0.25,0.94,0.03,0.9,0.09,0.95,0.04,0.93,0.07,0.88,0.04,0.32,0.09,0.83,0.11,0.86,0.11,0.76,0.11,0.63,0.11
0.6,0.71,0.23,0.93,0.03,0.91,0.09,0.87,0.11,0.89,0.1,0.61,0.11,0.21,0.09,0.86,0.09,0.87,0.11,0.8,0.09,0.61,0.11
0.62,0.72,0.26,0.92,0.04,0.87,0.12,0.9,0.07,0.89,0.1,0.78,0.07,0.19,0.12,0.84,0.1,0.81,0.17,0.76,0.1,0.44,0.17
0.62,0.65,0.23,0.76,0.09,0.68,0.25,0.52,0.25,0.6,0.25,0.66,0.25,0.49,0.25,0.8,0.15,0.75,0.17,0.64,0.15,0.65,0.17
0.57,0.42,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.65,0.21,0.0,1.0,0.64,0.21
0.59,0.6,0.18,0.42,0.23,0.35,0.51,0.16,0.44,0.26,0.47,0.51,0.44,0.3,0.51,0.72,0.23,0.67,0.23,0.43,0.23,0.58,0.23
