ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.88,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.22,0.0,1.0,0.26,0.22,0.0,1.0
0.89,0.94,0.12,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.22,0.0,1.0,0.27,0.22,0.0,1.0
0.88,0.94,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.22,0.0,1.0,0.26,0.22,0.0,1.0
0.89,0.94,0.22,0.96,0.02,0.96,0.04,0.85,0.15,0.91,0.1,0.13,0.15,0.01,0.04,0.79,0.2,0.77,0.2,0.28,0.2,0.42,0.2
0.89,0.94,0.32,0.9,0.05,0.9,0.1,0.65,0.32,0.78,0.21,0.16,0.32,0.02,0.1,0.83,0.15,0.89,0.08,0.32,0.15,0.79,0.08
0.89,0.94,0.2,0.96,0.02,0.0,1.0,0.85,0.15,0.42,0.57,0.05,0.15,0.0,1.0,0.79,0.2,0.0,1.0,0.28,0.2,0.0,1.0
0.89,0.94,0.24,0.95,0.03,0.95,0.05,0.8,0.19,0.88,0.12,0.12,0.19,0.01,0.05,0.8,0.19,0.76,0.21,0.29,0.19,0.37,0.21
0.89,0.94,0.2,0.97,0.02,0.0,1.0,0.85,0.15,0.42,0.57,0.02,0.15,0.0,1.0,0.79,0.2,0.0,1.0,0.28,0.2,0.0,1.0
0.89,0.94,0.21,0.96,0.02,0.0,1.0,0.82,0.18,0.41,0.59,0.02,0.18,0.0,1.0,0.79,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.89,0.94,0.21,0.96,0.02,0.0,1.0,0.83,0.17,0.41,0.58,0.02,0.17,0.0,1.0,0.79,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.89,0.94,0.28,0.94,0.03,0.94,0.06,0.75,0.24,0.84,0.15,0.13,0.24,0.02,0.06,0.81,0.17,0.87,0.1,0.3,0.17,0.7,0.1
0.89,0.94,0.3,0.91,0.04,0.92,0.08,0.67,0.31,0.8,0.2,0.09,0.31,0.01,0.08,0.83,0.16,0.86,0.11,0.32,0.16,0.7,0.11
0.89,0.94,0.31,0.91,0.05,0.91,0.09,0.65,0.33,0.78,0.21,0.09,0.33,0.01,0.09,0.83,0.16,0.79,0.17,0.33,0.16,0.52,0.17
0.89,0.94,0.3,0.91,0.04,0.92,0.08,0.67,0.31,0.8,0.2,0.09,0.31,0.01,0.08,0.83,0.16,0.86,0.11,0.32,0.16,0.7,0.11
0.89,0.94,0.24,0.95,0.03,0.0,1.0,0.78,0.21,0.39,0.6,0.06,0.21,0.0,1.0,0.8,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.89,0.94,0.24,0.94,0.03,0.0,1.0,0.76,0.23,0.38,0.61,0.03,0.23,0.0,1.0,0.8,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.89,0.94,0.27,0.94,0.03,0.95,0.05,0.76,0.23,0.85,0.14,0.13,0.23,0.01,0.05,0.81,0.18,0.82,0.14,0.3,0.18,0.56,0.14
0.9,0.94,0.33,0.89,0.06,0.9,0.1,0.6,0.38,0.75,0.24,0.09,0.38,0.01,0.1,0.85,0.14,0.81,0.15,0.35,0.14,0.59,0.15
0.89,0.94,0.24,0.94,0.03,0.0,1.0,0.77,0.22,0.39,0.61,0.06,0.22,0.0,1.0,0.8,0.18,0.0,1.0,0.3,0.18,0.0,1.0
0.9,0.94,0.32,0.89,0.06,0.9,0.1,0.59,0.4,0.74,0.25,0.07,0.4,0.01,0.1,0.85,0.14,0.8,0.16,0.35,0.14,0.55,0.16
0.89,0.94,0.33,0.87,0.06,0.87,0.13,0.55,0.43,0.71,0.28,0.06,0.43,0.0,0.13,0.85,0.13,0.77,0.18,0.36,0.13,0.52,0.18
0.89,0.94,0.22,0.96,0.02,0.0,1.0,0.83,0.17,0.41,0.58,0.04,0.17,0.0,1.0,0.79,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.89,0.94,0.3,0.93,0.04,0.94,0.06,0.71,0.28,0.82,0.17,0.12,0.28,0.01,0.06,0.82,0.17,0.82,0.15,0.31,0.17,0.53,0.15
0.89,0.94,0.15,0.98,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.05,0.07,0.0,1.0,0.77,0.21,0.0,1.0,0.27,0.21,0.0,1.0
0.89,0.94,0.2,0.97,0.01,0.0,1.0,0.88,0.12,0.44,0.56,0.06,0.12,0.0,1.0,0.78,0.2,0.0,1.0,0.28,0.2,0.0,1.0
0.89,0.94,0.22,0.95,0.02,0.0,1.0,0.81,0.19,0.41,0.59,0.04,0.19,0.0,1.0,0.8,0.19,0.0,1.0,0.29,0.19,0.0,1.0
0.89,0.94,0.28,0.92,0.04,0.92,0.08,0.68,0.31,0.8,0.2,0.06,0.31,0.01,0.08,0.82,0.16,0.92,0.06,0.32,0.16,0.83,0.06
0.89,0.94,0.32,0.89,0.05,0.9,0.1,0.62,0.36,0.76,0.23,0.1,0.36,0.01,0.1,0.84,0.15,0.74,0.22,0.34,0.15,0.41,0.22
0.89,0.94,0.19,0.97,0.02,0.0,1.0,0.86,0.14,0.43,0.57,0.03,0.14,0.0,1.0,0.78,0.2,0.0,1.0,0.28,0.2,0.0,1.0
0.9,0.94,0.31,0.91,0.05,0.92,0.08,0.66,0.32,0.79,0.2,0.12,0.32,0.01,0.08,0.83,0.16,0.87,0.09,0.33,0.16,0.72,0.09
0.9,0.94,0.35,0.88,0.06,0.88,0.12,0.59,0.37,0.73,0.24,0.18,0.37,0.03,0.12,0.85,0.14,0.91,0.06,0.34,0.14,0.84,0.06
0.9,0.94,0.35,0.85,0.08,0.85,0.15,0.49,0.48,0.67,0.32,0.1,0.48,0.02,0.15,0.87,0.12,0.95,0.03,0.39,0.12,0.92,0.03
