ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.81,0.79,0.63,0.77,0.08,0.88,0.09,0.83,0.02,0.85,0.06,0.97,0.02,0.68,0.09,0.87,0.12,0.71,0.26,0.46,0.12,0.28,0.26
0.81,0.79,0.63,0.78,0.07,0.86,0.11,0.88,0.01,0.87,0.06,0.98,0.01,0.65,0.11,0.87,0.12,0.7,0.27,0.44,0.12,0.27,0.27
0.81,0.78,0.63,0.78,0.07,0.86,0.11,0.93,0.01,0.9,0.06,0.99,0.01,0.64,0.11,0.87,0.12,0.69,0.27,0.43,0.12,0.27,0.27
0.81,0.79,0.63,0.78,0.07,0.86,0.11,0.93,0.01,0.9,0.06,0.99,0.01,0.64,0.11,0.87,0.12,0.7,0.27,0.43,0.12,0.27,0.27
0.81,0.79,0.63,0.78,0.07,0.86,0.11,0.94,0.01,0.9,0.06,0.99,0.01,0.64,0.11,0.87,0.12,0.69,0.27,0.42,0.12,0.27,0.27
0.81,0.79,0.63,0.78,0.07,0.86,0.11,0.87,0.02,0.86,0.07,0.98,0.02,0.64,0.11,0.87,0.11,0.69,0.27,0.45,0.11,0.27,0.27
0.81,0.79,0.63,0.78,0.07,0.86,0.11,0.88,0.01,0.87,0.06,0.98,0.01,0.64,0.11,0.87,0.11,0.7,0.27,0.45,0.11,0.27,0.27
0.81,0.79,0.63,0.78,0.07,0.86,0.11,0.87,0.02,0.86,0.07,0.98,0.02,0.64,0.11,0.88,0.11,0.7,0.27,0.45,0.11,0.27,0.27
0.81,0.79,0.63,0.78,0.07,0.86,0.11,0.9,0.01,0.88,0.06,0.99,0.01,0.65,0.11,0.87,0.12,0.7,0.27,0.43,0.12,0.27,0.27
0.81,0.79,0.63,0.77,0.07,0.86,0.11,0.86,0.02,0.86,0.07,0.98,0.02,0.65,0.11,0.88,0.11,0.7,0.27,0.45,0.11,0.27,0.27
0.81,0.79,0.63,0.78,0.07,0.86,0.11,0.91,0.01,0.89,0.06,0.99,0.01,0.64,0.11,0.87,0.12,0.7,0.27,0.43,0.12,0.27,0.27
0.81,0.79,0.63,0.77,0.07,0.86,0.11,0.83,0.02,0.84,0.07,0.98,0.02,0.65,0.11,0.88,0.11,0.7,0.27,0.47,0.11,0.27,0.27
0.81,0.79,0.63,0.78,0.07,0.86,0.11,0.89,0.01,0.88,0.06,0.99,0.01,0.65,0.11,0.87,0.11,0.7,0.27,0.44,0.11,0.27,0.27
0.81,0.79,0.63,0.77,0.07,0.87,0.11,0.85,0.02,0.86,0.07,0.98,0.02,0.66,0.11,0.88,0.11,0.7,0.27,0.45,0.11,0.27,0.27
0.81,0.79,0.63,0.78,0.07,0.86,0.11,0.91,0.01,0.89,0.06,0.99,0.01,0.64,0.11,0.87,0.12,0.7,0.27,0.43,0.12,0.27,0.27
0.82,0.79,0.64,0.76,0.08,0.88,0.09,0.79,0.03,0.83,0.06,0.97,0.03,0.69,0.09,0.88,0.11,0.71,0.26,0.48,0.11,0.28,0.26
0.81,0.79,0.63,0.77,0.07,0.87,0.11,0.85,0.02,0.86,0.07,0.98,0.02,0.66,0.11,0.88,0.11,0.7,0.27,0.45,0.11,0.27,0.27
0.81,0.79,0.63,0.77,0.07,0.86,0.11,0.89,0.01,0.88,0.06,0.99,0.01,0.65,0.11,0.88,0.11,0.7,0.27,0.44,0.11,0.27,0.27
0.82,0.79,0.64,0.76,0.08,0.88,0.1,0.84,0.02,0.86,0.06,0.98,0.02,0.67,0.1,0.88,0.11,0.71,0.26,0.46,0.11,0.27,0.26
0.82,0.79,0.63,0.76,0.08,0.87,0.1,0.84,0.02,0.85,0.06,0.98,0.02,0.67,0.1,0.88,0.11,0.7,0.27,0.46,0.11,0.28,0.27
0.81,0.79,0.63,0.77,0.08,0.87,0.1,0.85,0.02,0.86,0.06,0.98,0.02,0.66,0.1,0.88,0.11,0.7,0.27,0.45,0.11,0.27,0.27
0.82,0.79,0.64,0.76,0.08,0.88,0.09,0.81,0.02,0.84,0.06,0.97,0.02,0.68,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.79,0.63,0.77,0.08,0.87,0.1,0.86,0.02,0.86,0.06,0.98,0.02,0.67,0.1,0.87,0.11,0.71,0.27,0.45,0.11,0.27,0.27
0.82,0.79,0.64,0.77,0.08,0.87,0.1,0.86,0.02,0.86,0.06,0.98,0.02,0.66,0.1,0.87,0.11,0.71,0.27,0.45,0.11,0.27,0.27
0.82,0.79,0.63,0.77,0.07,0.87,0.1,0.86,0.02,0.86,0.06,0.98,0.02,0.66,0.1,0.87,0.11,0.7,0.27,0.45,0.11,0.27,0.27
0.82,0.79,0.64,0.77,0.08,0.88,0.1,0.84,0.02,0.86,0.06,0.98,0.02,0.67,0.1,0.88,0.11,0.71,0.26,0.46,0.11,0.27,0.26
0.82,0.79,0.64,0.77,0.08,0.88,0.1,0.85,0.02,0.86,0.06,0.98,0.02,0.67,0.1,0.88,0.11,0.71,0.26,0.45,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.88,0.09,0.8,0.02,0.84,0.06,0.97,0.02,0.68,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.88,0.09,0.8,0.03,0.84,0.06,0.97,0.03,0.69,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.88,0.1,0.84,0.02,0.86,0.06,0.98,0.02,0.67,0.1,0.88,0.11,0.71,0.26,0.46,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.88,0.09,0.82,0.02,0.85,0.06,0.98,0.02,0.69,0.09,0.88,0.11,0.71,0.26,0.46,0.11,0.28,0.26
0.82,0.8,0.64,0.75,0.08,0.89,0.09,0.78,0.03,0.83,0.06,0.97,0.03,0.7,0.09,0.88,0.11,0.71,0.26,0.48,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.88,0.09,0.81,0.02,0.84,0.06,0.97,0.02,0.69,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.8,0.64,0.76,0.08,0.89,0.09,0.8,0.03,0.84,0.06,0.97,0.03,0.69,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.89,0.09,0.8,0.03,0.84,0.06,0.97,0.03,0.69,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.8,0.64,0.76,0.08,0.89,0.09,0.8,0.02,0.84,0.06,0.97,0.02,0.69,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.88,0.09,0.81,0.02,0.84,0.06,0.97,0.02,0.69,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.88,0.09,0.82,0.02,0.85,0.06,0.97,0.02,0.69,0.09,0.88,0.11,0.71,0.26,0.46,0.11,0.28,0.26
0.82,0.8,0.64,0.75,0.08,0.89,0.08,0.77,0.03,0.83,0.06,0.97,0.03,0.71,0.08,0.88,0.11,0.72,0.26,0.48,0.11,0.28,0.26
0.82,0.8,0.64,0.75,0.08,0.9,0.08,0.77,0.03,0.83,0.06,0.97,0.03,0.71,0.08,0.88,0.11,0.72,0.25,0.48,0.11,0.28,0.25
0.82,0.79,0.64,0.76,0.08,0.89,0.09,0.8,0.02,0.84,0.06,0.97,0.02,0.7,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.88,0.09,0.82,0.02,0.85,0.06,0.98,0.02,0.69,0.09,0.88,0.11,0.71,0.26,0.46,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.88,0.09,0.83,0.02,0.85,0.06,0.98,0.02,0.68,0.09,0.88,0.11,0.71,0.26,0.46,0.11,0.28,0.26
0.82,0.8,0.64,0.76,0.08,0.89,0.09,0.8,0.02,0.84,0.06,0.97,0.02,0.7,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.88,0.09,0.82,0.02,0.85,0.06,0.98,0.02,0.68,0.09,0.88,0.11,0.71,0.26,0.46,0.11,0.28,0.26
0.82,0.8,0.64,0.75,0.08,0.9,0.08,0.79,0.03,0.84,0.06,0.97,0.03,0.71,0.08,0.88,0.11,0.72,0.25,0.47,0.11,0.28,0.25
0.82,0.8,0.64,0.75,0.08,0.89,0.09,0.8,0.02,0.84,0.06,0.97,0.02,0.7,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.8,0.64,0.75,0.08,0.89,0.08,0.78,0.03,0.83,0.06,0.97,0.03,0.71,0.08,0.88,0.11,0.72,0.26,0.48,0.11,0.28,0.26
0.82,0.8,0.64,0.75,0.08,0.89,0.08,0.79,0.03,0.84,0.06,0.97,0.03,0.71,0.08,0.88,0.11,0.72,0.26,0.47,0.11,0.28,0.26
0.82,0.8,0.64,0.75,0.08,0.89,0.09,0.79,0.03,0.84,0.06,0.97,0.03,0.7,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.8,0.64,0.75,0.08,0.9,0.08,0.78,0.03,0.84,0.06,0.97,0.03,0.71,0.08,0.88,0.11,0.72,0.26,0.48,0.11,0.28,0.26
0.82,0.79,0.64,0.75,0.08,0.89,0.09,0.8,0.03,0.84,0.06,0.97,0.03,0.7,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.79,0.64,0.76,0.08,0.88,0.1,0.83,0.02,0.85,0.06,0.98,0.02,0.68,0.1,0.88,0.11,0.71,0.26,0.46,0.11,0.28,0.26
0.82,0.8,0.64,0.75,0.08,0.89,0.09,0.79,0.03,0.84,0.06,0.97,0.03,0.7,0.09,0.88,0.11,0.72,0.26,0.47,0.11,0.28,0.26
0.82,0.79,0.64,0.75,0.08,0.89,0.09,0.8,0.03,0.84,0.06,0.97,0.03,0.7,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
0.82,0.8,0.64,0.75,0.08,0.9,0.08,0.78,0.03,0.84,0.06,0.97,0.03,0.72,0.08,0.88,0.1,0.72,0.25,0.48,0.1,0.29,0.25
0.82,0.79,0.64,0.76,0.08,0.89,0.09,0.82,0.02,0.85,0.06,0.98,0.02,0.7,0.09,0.88,0.11,0.71,0.26,0.46,0.11,0.28,0.26
0.82,0.8,0.64,0.75,0.08,0.89,0.09,0.8,0.02,0.84,0.06,0.97,0.02,0.7,0.09,0.88,0.11,0.71,0.26,0.47,0.11,0.28,0.26
