ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.36,0.2
0.76,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.36,0.2
0.77,0.12,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.38,0.18
0.8,0.38,0.34,0.03,0.11,0.05,0.29,0.02,0.05,0.04,0.17,0.95,0.05,0.7,0.29,0.85,0.11,0.85,0.14,0.73,0.11,0.45,0.14
0.8,0.44,0.38,0.08,0.13,0.13,0.33,0.09,0.07,0.11,0.2,0.93,0.07,0.66,0.33,0.7,0.21,0.86,0.12,0.59,0.21,0.46,0.12
0.81,0.48,0.4,0.12,0.14,0.21,0.34,0.13,0.08,0.17,0.21,0.92,0.08,0.63,0.34,0.73,0.18,0.87,0.11,0.63,0.18,0.47,0.11
0.81,0.5,0.41,0.15,0.14,0.23,0.34,0.16,0.08,0.2,0.21,0.92,0.08,0.62,0.34,0.68,0.22,0.88,0.11,0.59,0.22,0.48,0.11
0.81,0.5,0.41,0.16,0.14,0.25,0.34,0.18,0.08,0.21,0.21,0.92,0.08,0.62,0.34,0.67,0.23,0.88,0.11,0.59,0.23,0.48,0.11
0.81,0.52,0.42,0.16,0.15,0.27,0.35,0.17,0.09,0.22,0.22,0.91,0.09,0.6,0.35,0.7,0.2,0.88,0.1,0.62,0.2,0.49,0.1
0.81,0.52,0.42,0.16,0.15,0.28,0.35,0.16,0.09,0.22,0.22,0.91,0.09,0.6,0.35,0.75,0.17,0.88,0.1,0.67,0.17,0.48,0.1
0.81,0.52,0.42,0.16,0.15,0.29,0.35,0.16,0.09,0.22,0.22,0.91,0.09,0.6,0.35,0.75,0.17,0.88,0.1,0.67,0.17,0.48,0.1
0.81,0.53,0.43,0.15,0.16,0.26,0.37,0.15,0.09,0.21,0.23,0.9,0.09,0.58,0.37,0.75,0.16,0.89,0.1,0.67,0.16,0.5,0.1
0.81,0.52,0.42,0.14,0.16,0.25,0.36,0.13,0.09,0.19,0.22,0.91,0.09,0.59,0.36,0.77,0.16,0.89,0.1,0.68,0.16,0.49,0.1
0.81,0.54,0.43,0.13,0.17,0.23,0.4,0.12,0.1,0.17,0.25,0.89,0.1,0.54,0.4,0.76,0.16,0.9,0.09,0.68,0.16,0.52,0.09
0.81,0.53,0.43,0.11,0.17,0.2,0.4,0.11,0.1,0.15,0.25,0.9,0.1,0.55,0.4,0.77,0.15,0.89,0.1,0.69,0.15,0.51,0.1
0.81,0.52,0.43,0.11,0.16,0.19,0.4,0.11,0.1,0.15,0.25,0.9,0.1,0.56,0.4,0.74,0.17,0.89,0.1,0.66,0.17,0.51,0.1
0.81,0.51,0.42,0.08,0.16,0.18,0.39,0.06,0.09,0.12,0.24,0.91,0.09,0.58,0.39,0.96,0.02,0.88,0.1,0.93,0.02,0.5,0.1
0.81,0.53,0.43,0.08,0.17,0.17,0.41,0.06,0.1,0.12,0.26,0.9,0.1,0.55,0.41,0.96,0.03,0.89,0.1,0.92,0.03,0.51,0.1
0.81,0.54,0.44,0.08,0.18,0.18,0.43,0.05,0.12,0.11,0.28,0.88,0.12,0.52,0.43,1.0,0.0,0.9,0.09,0.99,0.0,0.53,0.09
0.81,0.53,0.44,0.08,0.17,0.2,0.41,0.05,0.1,0.12,0.26,0.89,0.1,0.55,0.41,0.97,0.02,0.89,0.1,0.93,0.02,0.51,0.1
0.81,0.54,0.44,0.08,0.18,0.2,0.42,0.05,0.11,0.12,0.27,0.89,0.11,0.53,0.42,0.96,0.03,0.9,0.09,0.91,0.03,0.52,0.09
0.81,0.55,0.45,0.09,0.18,0.21,0.42,0.04,0.12,0.12,0.27,0.88,0.12,0.52,0.42,0.91,0.06,0.9,0.09,0.82,0.06,0.53,0.09
0.82,0.55,0.45,0.09,0.18,0.23,0.41,0.05,0.11,0.14,0.26,0.89,0.11,0.54,0.41,0.91,0.07,0.9,0.09,0.8,0.07,0.52,0.09
0.82,0.55,0.45,0.09,0.18,0.22,0.42,0.04,0.12,0.13,0.27,0.88,0.12,0.53,0.42,0.89,0.08,0.9,0.09,0.77,0.08,0.53,0.09
0.82,0.56,0.46,0.09,0.18,0.22,0.42,0.05,0.11,0.14,0.27,0.89,0.11,0.52,0.42,0.92,0.06,0.9,0.09,0.82,0.06,0.53,0.09
