ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.67,0.65,0.33,0.03,0.47,0.04,0.96,0.0,0.89,0.02,0.93,0.1,0.89,0.0,0.96,0.7,0.28,0.71,0.27,0.22,0.28,0.18,0.27
0.77,0.79,0.57,0.49,0.24,0.77,0.23,0.1,0.76,0.43,0.49,0.17,0.76,0.03,0.23,0.8,0.16,0.94,0.05,0.53,0.16,0.54,0.05
0.74,0.65,0.52,0.16,0.27,0.2,0.57,0.1,0.11,0.15,0.34,0.89,0.11,0.33,0.57,0.94,0.05,0.94,0.04,0.64,0.05,0.88,0.04
0.79,0.74,0.59,0.46,0.18,0.64,0.26,0.28,0.1,0.46,0.18,0.9,0.1,0.51,0.26,0.96,0.04,0.85,0.12,0.74,0.04,0.65,0.12
0.83,0.82,0.66,0.63,0.14,0.93,0.05,0.33,0.17,0.63,0.11,0.82,0.17,0.77,0.05,0.98,0.02,0.81,0.17,0.91,0.02,0.41,0.17
0.83,0.83,0.66,0.59,0.17,0.86,0.12,0.23,0.31,0.55,0.21,0.65,0.31,0.43,0.12,0.97,0.03,0.9,0.09,0.88,0.03,0.54,0.09
0.82,0.82,0.65,0.61,0.16,0.88,0.11,0.28,0.3,0.58,0.2,0.66,0.3,0.44,0.11,0.99,0.0,0.9,0.09,0.98,0.0,0.52,0.09
0.83,0.81,0.65,0.61,0.15,0.89,0.09,0.3,0.17,0.59,0.13,0.82,0.17,0.69,0.09,0.99,0.01,0.82,0.16,0.93,0.01,0.45,0.16
0.82,0.81,0.64,0.71,0.11,0.98,0.02,0.52,0.1,0.75,0.06,0.88,0.1,0.92,0.02,0.92,0.07,0.77,0.21,0.67,0.07,0.33,0.21
0.83,0.81,0.65,0.61,0.14,0.9,0.08,0.3,0.16,0.6,0.12,0.82,0.16,0.71,0.08,0.99,0.01,0.81,0.16,0.95,0.01,0.44,0.16
0.81,0.78,0.63,0.57,0.15,0.82,0.13,0.32,0.12,0.57,0.12,0.87,0.12,0.65,0.13,0.97,0.02,0.81,0.16,0.84,0.02,0.52,0.16
0.82,0.81,0.65,0.67,0.12,1.0,0.0,0.41,0.11,0.7,0.06,0.88,0.11,1.0,0.0,0.96,0.03,0.77,0.21,0.79,0.03,0.36,0.21
0.82,0.81,0.65,0.6,0.15,0.89,0.09,0.28,0.17,0.58,0.13,0.82,0.17,0.69,0.09,1.0,0.0,0.81,0.16,1.0,0.0,0.46,0.16
0.82,0.81,0.65,0.7,0.11,0.97,0.03,0.49,0.1,0.73,0.07,0.9,0.1,0.89,0.03,0.94,0.06,0.76,0.22,0.7,0.06,0.33,0.22
