ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.48,0.65,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.54,0.29,0.0,1.0,0.57,0.29,0.0,1.0
0.61,0.71,0.35,0.83,0.08,0.95,0.05,0.6,0.4,0.77,0.23,0.03,0.4,0.03,0.05,0.71,0.18,0.9,0.09,0.68,0.18,0.38,0.09
0.75,0.78,0.54,0.63,0.18,0.85,0.15,0.29,0.55,0.57,0.35,0.3,0.55,0.12,0.15,0.96,0.02,0.97,0.02,0.93,0.02,0.8,0.02
0.81,0.81,0.62,0.6,0.17,0.86,0.12,0.26,0.34,0.56,0.23,0.61,0.34,0.43,0.12,1.0,0.0,0.87,0.11,0.99,0.0,0.49,0.11
0.82,0.81,0.63,0.66,0.13,0.95,0.04,0.39,0.18,0.67,0.11,0.8,0.18,0.83,0.04,0.94,0.05,0.79,0.19,0.79,0.05,0.37,0.19
0.81,0.79,0.62,0.74,0.09,0.91,0.07,0.7,0.05,0.8,0.06,0.95,0.05,0.77,0.07,0.89,0.1,0.72,0.25,0.53,0.1,0.31,0.25
0.8,0.78,0.6,0.83,0.06,0.86,0.11,0.86,0.02,0.86,0.07,0.98,0.02,0.63,0.11,0.82,0.17,0.7,0.27,0.37,0.17,0.28,0.27
0.76,0.74,0.52,0.96,0.01,0.75,0.22,0.36,0.17,0.55,0.2,0.82,0.17,0.39,0.22,0.68,0.29,0.66,0.31,0.21,0.29,0.22,0.31
0.75,0.74,0.51,0.94,0.02,0.76,0.21,0.34,0.21,0.55,0.21,0.77,0.21,0.36,0.21,0.64,0.33,0.67,0.3,0.21,0.33,0.21,0.3
0.78,0.76,0.55,0.95,0.02,0.8,0.17,0.52,0.11,0.66,0.14,0.88,0.11,0.46,0.17,0.72,0.25,0.68,0.29,0.27,0.25,0.23,0.29
0.79,0.77,0.58,0.89,0.04,0.83,0.14,0.71,0.06,0.77,0.1,0.94,0.06,0.54,0.14,0.77,0.21,0.69,0.28,0.34,0.21,0.25,0.28
0.78,0.77,0.56,0.91,0.03,0.83,0.15,0.68,0.07,0.76,0.11,0.92,0.07,0.51,0.15,0.75,0.22,0.69,0.28,0.33,0.22,0.24,0.28
0.75,0.75,0.5,0.97,0.01,0.79,0.19,0.45,0.18,0.62,0.18,0.79,0.18,0.39,0.19,0.65,0.31,0.68,0.29,0.26,0.31,0.22,0.29
0.73,0.73,0.47,0.92,0.03,0.78,0.2,0.37,0.25,0.57,0.23,0.71,0.25,0.33,0.2,0.6,0.35,0.68,0.29,0.24,0.35,0.2,0.29
0.74,0.73,0.48,0.89,0.04,0.74,0.23,0.29,0.26,0.52,0.24,0.71,0.26,0.31,0.23,0.61,0.36,0.67,0.31,0.2,0.36,0.2,0.31
0.76,0.74,0.51,0.95,0.02,0.75,0.22,0.34,0.19,0.55,0.21,0.79,0.19,0.37,0.22,0.66,0.31,0.67,0.31,0.21,0.31,0.21,0.31
0.77,0.75,0.54,1.0,0.0,0.76,0.21,0.4,0.14,0.58,0.17,0.84,0.14,0.41,0.21,0.7,0.27,0.67,0.3,0.23,0.27,0.22,0.3
0.78,0.76,0.56,0.94,0.02,0.77,0.19,0.51,0.09,0.64,0.14,0.9,0.09,0.47,0.19,0.76,0.23,0.67,0.3,0.26,0.23,0.24,0.3
0.79,0.77,0.59,0.87,0.04,0.81,0.15,0.66,0.05,0.74,0.1,0.94,0.05,0.56,0.15,0.8,0.18,0.68,0.29,0.31,0.18,0.26,0.29
0.8,0.79,0.6,0.79,0.07,0.91,0.07,0.85,0.03,0.88,0.05,0.97,0.03,0.73,0.07,0.83,0.15,0.73,0.24,0.47,0.15,0.29,0.24
0.76,0.78,0.54,0.85,0.06,0.97,0.03,0.92,0.03,0.95,0.03,0.96,0.03,0.81,0.03,0.72,0.23,0.8,0.19,0.47,0.23,0.3,0.19
0.7,0.75,0.45,0.91,0.04,0.98,0.02,0.99,0.0,0.98,0.01,0.99,0.0,0.73,0.02,0.64,0.27,0.82,0.17,0.49,0.27,0.26,0.17
0.67,0.73,0.42,0.92,0.04,0.99,0.01,0.96,0.02,0.97,0.01,0.94,0.02,0.85,0.01,0.63,0.27,0.85,0.14,0.51,0.27,0.29,0.14
0.64,0.72,0.38,0.95,0.02,0.98,0.02,0.96,0.02,0.97,0.02,0.94,0.02,0.68,0.02,0.6,0.29,0.85,0.14,0.5,0.29,0.26,0.14
0.64,0.72,0.38,0.96,0.02,0.98,0.02,0.93,0.05,0.96,0.04,0.87,0.05,0.6,0.02,0.59,0.3,0.84,0.15,0.49,0.3,0.25,0.15
0.64,0.72,0.38,0.96,0.02,0.98,0.02,0.95,0.04,0.96,0.03,0.9,0.04,0.65,0.02,0.59,0.29,0.85,0.14,0.49,0.29,0.26,0.14
0.64,0.72,0.38,0.96,0.02,0.98,0.02,0.93,0.05,0.96,0.04,0.88,0.05,0.63,0.02,0.59,0.3,0.85,0.14,0.49,0.3,0.26,0.14
0.65,0.72,0.39,0.96,0.02,0.97,0.02,0.9,0.07,0.94,0.05,0.84,0.07,0.6,0.02,0.59,0.3,0.85,0.14,0.47,0.3,0.26,0.14
