ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.7,0.73,0.39,0.75,0.11,0.77,0.2,0.48,0.3,0.62,0.25,0.59,0.3,0.4,0.2,0.99,0.01,0.99,0.01,0.97,0.01,0.98,0.01
0.7,0.73,0.38,0.75,0.11,0.77,0.19,0.48,0.29,0.62,0.24,0.6,0.29,0.43,0.19,0.99,0.01,0.97,0.02,0.97,0.01,0.94,0.02
0.69,0.73,0.38,0.78,0.09,0.8,0.17,0.54,0.26,0.67,0.22,0.63,0.26,0.46,0.17,0.99,0.01,0.96,0.02,0.97,0.01,0.93,0.02
0.69,0.73,0.37,0.79,0.09,0.81,0.16,0.56,0.25,0.69,0.21,0.64,0.25,0.48,0.16,0.99,0.01,0.95,0.03,0.97,0.01,0.91,0.03
0.69,0.73,0.36,0.81,0.08,0.82,0.15,0.6,0.23,0.71,0.19,0.65,0.23,0.48,0.15,0.97,0.02,0.96,0.03,0.93,0.02,0.92,0.03
0.69,0.73,0.37,0.8,0.08,0.83,0.15,0.58,0.23,0.7,0.19,0.67,0.23,0.53,0.15,0.98,0.02,0.94,0.04,0.95,0.02,0.88,0.04
0.69,0.72,0.36,0.8,0.08,0.83,0.14,0.59,0.22,0.71,0.18,0.68,0.22,0.56,0.14,0.98,0.02,0.92,0.05,0.95,0.02,0.86,0.05
0.68,0.71,0.36,0.81,0.08,0.85,0.12,0.6,0.21,0.72,0.16,0.7,0.21,0.64,0.12,0.98,0.01,0.88,0.08,0.95,0.01,0.81,0.08
0.68,0.71,0.36,0.82,0.07,0.87,0.1,0.61,0.2,0.74,0.15,0.71,0.2,0.67,0.1,0.98,0.02,0.87,0.09,0.95,0.02,0.79,0.09
0.69,0.72,0.36,0.82,0.07,0.84,0.13,0.63,0.19,0.73,0.16,0.71,0.19,0.58,0.13,0.96,0.03,0.93,0.05,0.91,0.03,0.87,0.05
0.69,0.72,0.37,0.81,0.08,0.83,0.14,0.6,0.21,0.71,0.17,0.69,0.21,0.55,0.14,0.97,0.02,0.93,0.05,0.93,0.02,0.88,0.05
0.69,0.72,0.36,0.79,0.09,0.82,0.15,0.57,0.23,0.69,0.19,0.66,0.23,0.53,0.15,0.98,0.01,0.93,0.05,0.96,0.01,0.88,0.05
0.68,0.72,0.36,0.8,0.08,0.81,0.16,0.59,0.22,0.7,0.19,0.68,0.22,0.52,0.16,0.97,0.02,0.95,0.03,0.92,0.02,0.9,0.03
0.68,0.72,0.36,0.8,0.08,0.81,0.16,0.59,0.22,0.7,0.19,0.68,0.22,0.52,0.16,0.97,0.02,0.95,0.04,0.93,0.02,0.9,0.04
0.68,0.72,0.36,0.81,0.08,0.82,0.15,0.62,0.2,0.72,0.17,0.7,0.2,0.52,0.15,0.96,0.03,0.95,0.03,0.9,0.03,0.91,0.03
0.68,0.72,0.36,0.79,0.09,0.8,0.17,0.58,0.23,0.69,0.2,0.67,0.23,0.49,0.17,0.97,0.02,0.96,0.03,0.93,0.02,0.92,0.03
0.68,0.71,0.36,0.79,0.08,0.83,0.14,0.56,0.23,0.7,0.18,0.67,0.23,0.58,0.14,0.99,0.01,0.9,0.07,0.97,0.01,0.83,0.07
0.68,0.72,0.35,0.8,0.08,0.81,0.16,0.6,0.21,0.71,0.18,0.69,0.21,0.52,0.16,0.96,0.03,0.95,0.03,0.91,0.03,0.91,0.03
0.68,0.72,0.35,0.81,0.08,0.82,0.15,0.6,0.21,0.71,0.18,0.68,0.21,0.53,0.15,0.96,0.03,0.94,0.04,0.92,0.03,0.89,0.04
0.68,0.72,0.35,0.8,0.09,0.82,0.15,0.58,0.23,0.7,0.19,0.66,0.23,0.53,0.15,0.97,0.02,0.93,0.05,0.94,0.02,0.88,0.05
0.68,0.72,0.36,0.78,0.09,0.8,0.17,0.56,0.24,0.68,0.21,0.65,0.24,0.49,0.17,0.98,0.02,0.95,0.03,0.95,0.02,0.91,0.03
0.68,0.71,0.35,0.81,0.08,0.83,0.13,0.61,0.2,0.72,0.17,0.71,0.2,0.59,0.13,0.96,0.03,0.91,0.06,0.92,0.03,0.85,0.06
0.68,0.72,0.36,0.83,0.07,0.84,0.13,0.67,0.17,0.76,0.15,0.74,0.17,0.57,0.13,0.94,0.04,0.94,0.04,0.87,0.04,0.9,0.04
0.68,0.71,0.35,0.83,0.07,0.84,0.12,0.67,0.16,0.76,0.14,0.76,0.16,0.62,0.12,0.94,0.04,0.92,0.05,0.87,0.04,0.87,0.05
0.68,0.72,0.35,0.83,0.07,0.84,0.13,0.66,0.18,0.75,0.15,0.73,0.18,0.59,0.13,0.95,0.04,0.93,0.05,0.88,0.04,0.88,0.05
0.69,0.73,0.36,0.83,0.07,0.85,0.13,0.67,0.17,0.76,0.15,0.74,0.17,0.57,0.13,0.94,0.04,0.95,0.04,0.87,0.04,0.9,0.04
0.69,0.73,0.36,0.84,0.07,0.85,0.13,0.69,0.16,0.77,0.15,0.75,0.16,0.57,0.13,0.94,0.05,0.95,0.03,0.86,0.05,0.91,0.03
0.68,0.72,0.36,0.84,0.07,0.85,0.12,0.68,0.16,0.77,0.14,0.75,0.16,0.59,0.12,0.94,0.04,0.94,0.04,0.87,0.04,0.88,0.04
0.69,0.73,0.37,0.86,0.06,0.88,0.1,0.73,0.14,0.8,0.12,0.78,0.14,0.61,0.1,0.93,0.05,0.94,0.04,0.84,0.05,0.88,0.04
0.69,0.73,0.37,0.86,0.06,0.88,0.1,0.71,0.15,0.79,0.12,0.76,0.15,0.62,0.1,0.94,0.05,0.93,0.05,0.86,0.05,0.86,0.05
0.69,0.73,0.37,0.85,0.06,0.87,0.11,0.71,0.15,0.79,0.13,0.76,0.15,0.6,0.11,0.94,0.05,0.94,0.04,0.86,0.05,0.88,0.04
0.69,0.73,0.37,0.84,0.07,0.85,0.13,0.69,0.16,0.77,0.15,0.74,0.16,0.54,0.13,0.94,0.05,0.96,0.02,0.86,0.05,0.93,0.02
0.69,0.73,0.36,0.84,0.07,0.85,0.13,0.68,0.17,0.77,0.15,0.73,0.17,0.55,0.13,0.94,0.04,0.96,0.03,0.87,0.04,0.91,0.03
0.69,0.73,0.36,0.83,0.07,0.85,0.12,0.66,0.18,0.76,0.15,0.72,0.18,0.58,0.12,0.95,0.04,0.93,0.05,0.89,0.04,0.88,0.05
0.68,0.72,0.36,0.83,0.07,0.85,0.13,0.66,0.18,0.76,0.15,0.72,0.18,0.58,0.13,0.95,0.04,0.93,0.05,0.89,0.04,0.88,0.05
0.68,0.72,0.35,0.84,0.07,0.86,0.11,0.67,0.17,0.77,0.14,0.75,0.17,0.64,0.11,0.95,0.04,0.91,0.06,0.88,0.04,0.84,0.06
0.68,0.72,0.36,0.84,0.06,0.87,0.11,0.69,0.16,0.78,0.14,0.76,0.16,0.65,0.11,0.94,0.04,0.91,0.06,0.87,0.04,0.84,0.06
