ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.48,0.11,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.91,0.04,0.0,1.0,0.92,0.04
0.46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.07,0.0,1.0,0.88,0.07
0.46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.07,0.0,1.0,0.88,0.07
0.55,0.7,0.07,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.06,0.0,1.0,0.86,0.06,0.0,1.0
0.46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.07,0.0,1.0,0.88,0.07
0.58,0.49,0.21,0.67,0.08,0.66,0.15,0.38,0.14,0.52,0.15,0.84,0.14,0.79,0.15,0.81,0.16,0.85,0.08,0.53,0.16,0.84,0.08
0.58,0.63,0.15,0.41,0.26,0.34,0.57,0.16,0.57,0.25,0.57,0.36,0.57,0.19,0.57,0.73,0.21,0.68,0.22,0.5,0.21,0.59,0.22
0.46,0.01,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.85,0.07,0.0,1.0,0.88,0.07
0.51,0.6,-0.01,0.18,0.41,0.14,0.85,0.03,0.95,0.09,0.9,0.02,0.95,0.0,0.85,0.6,0.35,0.5,0.44,0.26,0.35,0.2,0.44
0.48,0.1,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.09,0.0,1.0,0.85,0.09
0.58,0.54,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.62,0.25,0.0,1.0,0.57,0.25
0.58,0.5,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.65,0.22,0.0,1.0,0.62,0.22
0.48,0.09,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.09,0.0,1.0,0.85,0.09
